date,value
1994-01-01,88.93
1994-02-01,90.27
1994-03-01,88.98
1994-04-01,89.25
1994-05-01,89.71
1994-06-01,90.26
1994-07-01,88.91
1994-08-01,89.28
1994-09-01,88.57
1994-10-01,87.48
1994-11-01,89.74
1994-12-01,93.37
1995-01-01,91.84
1995-02-01,89.1
1995-03-01,85.69
1995-04-01,83.68
1995-05-01,83.27
1995-06-01,82.35
1995-07-01,83.91
1995-08-01,88.15
1995-09-01,90.98
1995-10-01,90.95
1995-11-01,89.91
1995-12-01,89.81
1996-01-01,90.4
1996-02-01,91.85
1996-03-01,93.77
1996-04-01,95.83
1996-05-01,97.37
1996-06-01,97.15
1996-07-01,96.72
1996-08-01,95.32
1996-09-01,96.64
1996-10-01,96.83
1996-11-01,96.84
1996-12-01,97.68
1997-01-01,96.29
1997-02-01,96.62
1997-03-01,99.63
1997-04-01,98.4
1997-05-01,96.47
1997-06-01,93.3
1997-07-01,92.92
1997-08-01,94.46
1997-09-01,92.46
1997-10-01,92.58
1997-11-01,90.23
1997-12-01,90.0
1998-01-01,92.08
1998-02-01,92.57
1998-03-01,91.77
1998-04-01,89.11
1998-05-01,86.76
1998-06-01,85.06
1998-07-01,87.21
1998-08-01,83.73
1998-09-01,81.16
1998-10-01,82.23
1998-11-01,84.51
1998-12-01,81.93
1999-01-01,83.19
1999-02-01,85.36
1999-03-01,85.3
1999-04-01,86.67
1999-05-01,89.82
1999-06-01,89.73
1999-07-01,90.12
1999-08-01,87.29
1999-09-01,87.26
1999-10-01,87.0
1999-11-01,85.78
1999-12-01,86.23
2000-01-01,88.81
2000-02-01,86.22
2000-03-01,83.35
2000-04-01,81.6
2000-05-01,81.15
2000-06-01,83.56
2000-07-01,84.67
2000-08-01,85.18
2000-09-01,82.12
2000-10-01,79.06
2000-11-01,78.28
2000-12-01,81.3
2001-01-01,82.71
2001-02-01,80.33
2001-03-01,77.07
2001-04-01,77.5
2001-05-01,80.47
2001-06-01,80.9
2001-07-01,79.94
2001-08-01,80.5
2001-09-01,77.28
2001-10-01,78.15
2001-11-01,81.01
2001-12-01,81.32
2002-01-01,82.52
2002-02-01,82.34
2002-03-01,83.7
2002-04-01,84.82
2002-05-01,85.6
2002-06-01,87.17
2002-07-01,83.59
2002-08-01,82.55
2002-09-01,83.4
2002-10-01,84.33
2002-11-01,85.14
2002-12-01,85.29
2003-01-01,86.84
2003-02-01,88.41
2003-03-01,89.28
2003-04-01,90.09
2003-05-01,93.52
2003-06-01,95.92
2003-07-01,96.49
2003-08-01,95.5
2003-09-01,95.89
2003-10-01,98.42
2003-11-01,101.57
2003-12-01,103.18
2004-01-01,106.33
2004-02-01,107.09
2004-03-01,104.36
2004-04-01,103.66
2004-05-01,99.42
2004-06-01,97.16
2004-07-01,99.77
2004-08-01,99.42
2004-09-01,98.04
2004-10-01,101.17
2004-11-01,104.27
2004-12-01,102.76
2005-01-01,103.13
2005-02-01,104.98
2005-03-01,104.96
2005-04-01,104.19
2005-05-01,103.84
2005-06-01,106.01
2005-07-01,105.3
2005-08-01,105.3
2005-09-01,105.69
2005-10-01,105.12
2005-11-01,103.86
2005-12-01,104.42
2006-01-01,103.88
2006-02-01,103.44
2006-03-01,101.76
2006-04-01,102.3
2006-05-01,104.41
2006-06-01,102.68
2006-07-01,104.58
2006-08-01,105.52
2006-09-01,104.61
2006-10-01,104.66
2006-11-01,105.78
2006-12-01,105.8
2007-01-01,106.13
2007-02-01,105.48
2007-03-01,106.12
2007-04-01,109.86
2007-05-01,109.63
2007-06-01,112.26
2007-07-01,114.02
2007-08-01,109.21
2007-09-01,110.34
2007-10-01,115.59
2007-11-01,113.52
2007-12-01,110.89
2008-01-01,111.05
2008-02-01,113.96
2008-03-01,113.34
2008-04-01,113.46
2008-05-01,116.76
2008-06-01,117.33
2008-07-01,118.11
2008-08-01,111.24
2008-09-01,104.96
2008-10-01,90.9
2008-11-01,89.21
2008-12-01,89.76
2009-01-01,90.84
2009-02-01,88.96
2009-03-01,91.69
2009-04-01,96.77
2009-05-01,101.71
2009-06-01,105.72
2009-07-01,106.05
2009-08-01,109.21
2009-09-01,111.26
2009-10-01,115.83
2009-11-01,116.91
2009-12-01,115.67
2010-01-01,117.69
2010-02-01,115.53
2010-03-01,118.62
2010-04-01,120.43
2010-05-01,115.41
2010-06-01,114.38
2010-07-01,115.42
2010-08-01,117.34
2010-09-01,120.65
2010-10-01,122.65
2010-11-01,123.84
2010-12-01,125.79
2011-01-01,125.46
2011-02-01,126.15
2011-03-01,125.52
2011-04-01,129.49
2011-05-01,130.41
2011-06-01,129.47
2011-07-01,131.03
2011-08-01,127.06
2011-09-01,125.73
2011-10-01,125.05
2011-11-01,125.25
2011-12-01,126.44
2012-01-01,129.29
2012-02-01,131.48
2012-03-01,129.39
2012-04-01,126.98
2012-05-01,124.18
2012-06-01,126.36
2012-07-01,131.32
2012-08-01,132.76
2012-09-01,129.74
2012-10-01,127.95
2012-11-01,129.85
2012-12-01,129.97
2013-01-01,130.67
2013-02-01,128.51
2013-03-01,130.1
2013-04-01,130.53
2013-05-01,125.04
2013-06-01,119.7
2013-07-01,117.44
2013-08-01,115.59
2013-09-01,118.46
2013-10-01,120.29
2013-11-01,118.86
2013-12-01,114.73
2014-01-01,113.62
2014-02-01,114.79
2014-03-01,116.12
2014-04-01,118.99
2014-05-01,118.77
2014-06-01,119.93
2014-07-01,120.14
2014-08-01,119.72
2014-09-01,117.79
2014-10-01,115.28
2014-11-01,115.28
2014-12-01,111.38
2015-01-01,111.07
2015-02-01,107.52
2015-03-01,108.17
2015-04-01,107.63
2015-05-01,109.55
2015-06-01,107.81
2015-07-01,104.5
2015-08-01,104.16
2015-09-01,101.37
2015-10-01,103.03
2015-11-01,103.89
2015-12-01,105.38
2016-01-01,103.06
2016-02-01,102.98
2016-03-01,107.06
2016-04-01,108.13
2016-05-01,104.12
2016-06-01,105.5
2016-07-01,108.25
2016-08-01,108.89
2016-09-01,108.41
2016-10-01,110.1
2016-11-01,110.86
2016-12-01,109.78
2017-01-01,110.9
2017-02-01,113.02
2017-03-01,112.48
2017-04-01,110.46
2017-05-01,108.39
2017-06-01,109.28
2017-07-01,112.19
2017-08-01,112.51
2017-09-01,112.36
2017-10-01,110.95
2017-11-01,108.68
2017-12-01,108.34
2018-01-01,110.25
2018-02-01,107.54
2018-03-01,106.28
2018-04-01,105.44
2018-05-01,105.16
2018-06-01,105.91
2018-07-01,106.33
2018-08-01,106.14
2018-09-01,104.18
2018-10-01,103.67
2018-11-01,106.32
2018-12-01,104.85
2019-01-01,103.44
2019-02-01,102.57
2019-03-01,101.84
2019-04-01,102.56
2019-05-01,101.23
2019-06-01,101.1
2019-07-01,101.66
2019-08-01,99.8
2019-09-01,100.5
2019-10-01,99.73
2019-11-01,100.04
2019-12-01,100.84
2020-01-01,100.12
2020-02-01,97.83
2020-03-01,91.64
2020-04-01,93.4
2020-05-01,96.15
2020-06-01,100.32
2020-07-01,101.93
2020-08-01,103.72
2020-09-01,104.06
2020-10-01,102.2
2020-11-01,103.35
2020-12-01,105.28
2021-01-01,107.19
2021-02-01,107.47
2021-03-01,108.38
2021-04-01,108.44
2021-05-01,108.4
2021-06-01,107.1
2021-07-01,105.26
2021-08-01,103.82
2021-09-01,103.86
2021-10-01,105.34
2021-11-01,104.49
2021-12-01,103.33
2022-01-01,103.73
2022-02-01,103.28
2022-03-01,107.34
2022-04-01,108.99
2022-05-01,107.06
2022-06-01,107.07
2022-07-01,106.48
2022-08-01,108.89
2022-09-01,107.58
2022-10-01,104.25
2022-11-01,106.94
2022-12-01,106.87
2023-01-01,107.84
2023-02-01,108.12
2023-03-01,105.3
2023-04-01,104.83
2023-05-01,105.48
2023-06-01,107.97
2023-07-01,108.02
2023-08-01,105.25
2023-09-01,105.52
2023-10-01,105.1
2023-11-01,106.6
2023-12-01,108.54
2024-01-01,108.53
2024-02-01,106.92
2024-03-01,107.8
2024-04-01,108.51
2024-05-01,110.31
2024-06-01,111.14
2024-07-01,111.1
2024-08-01,108.3
2024-09-01,108.89
2024-10-01,108.94
2024-11-01,108.5
2024-12-01,106.11
2025-01-01,105.31
2025-02-01,105.8
2025-03-01,104.8
2025-04-01,103.71
2025-05-01,105.15
2025-06-01,105.6
2025-07-01,106.28
2025-08-01,106.14
2025-09-01,107.36
2025-10-01,107.04
2025-11-01,107.13
2025-12-01,108.8
2026-01-01,111.21
2026-02-01,114.57
2026-03-01,115.44
2026-04-01,115.41
2026-05-01,116.75
2026-06-01,115.06
2026-07-01,115.03
2026-08-01,116.11
