date,value
1994-01-01,52.99
1994-02-01,53.26
1994-03-01,53.43
1994-04-01,54.36
1994-05-01,54.71
1994-06-01,54.93
1994-07-01,54.32
1994-08-01,56.32
1994-09-01,58.21
1994-10-01,58.33
1994-11-01,58.94
1994-12-01,60.52
1995-01-01,62.18
1995-02-01,62.18
1995-03-01,60.38
1995-04-01,59.6
1995-05-01,60.83
1995-06-01,60.19
1995-07-01,60.1
1995-08-01,62.59
1995-09-01,64.98
1995-10-01,64.36
1995-11-01,64.73
1995-12-01,65.09
1996-01-01,67.03
1996-02-01,67.62
1996-03-01,67.87
1996-04-01,69.09
1996-05-01,68.94
1996-06-01,68.81
1996-07-01,68.11
1996-08-01,68.5
1996-09-01,70.08
1996-10-01,70.04
1996-11-01,69.8
1996-12-01,70.62
1997-01-01,72.31
1997-02-01,74.3
1997-03-01,73.99
1997-04-01,74.87
1997-05-01,73.34
1997-06-01,72.08
1997-07-01,72.14
1997-08-01,73.56
1997-09-01,74.98
1997-10-01,74.44
1997-11-01,75.57
1997-12-01,78.99
1998-01-01,81.61
1998-02-01,80.34
1998-03-01,80.01
1998-04-01,79.71
1998-05-01,79.06
1998-06-01,79.5
1998-07-01,78.41
1998-08-01,79.59
1998-09-01,79.14
1998-10-01,75.76
1998-11-01,75.36
1998-12-01,74.6
1999-01-01,74.75
1999-02-01,76.16
1999-03-01,76.95
1999-04-01,76.37
1999-05-01,75.58
1999-06-01,74.89
1999-07-01,74.51
1999-08-01,73.57
1999-09-01,74.3
1999-10-01,73.39
1999-11-01,73.1
1999-12-01,72.74
2000-01-01,73.94
2000-02-01,75.89
2000-03-01,74.49
2000-04-01,74.21
2000-05-01,74.98
2000-06-01,73.29
2000-07-01,73.34
2000-08-01,74.1
2000-09-01,75.75
2000-10-01,76.3
2000-11-01,77.08
2000-12-01,76.92
2001-01-01,77.94
2001-02-01,78.11
2001-03-01,78.94
2001-04-01,79.88
2001-05-01,78.94
2001-06-01,78.73
2001-07-01,78.91
2001-08-01,77.26
2001-09-01,77.29
2001-10-01,77.91
2001-11-01,78.52
2001-12-01,79.16
2002-01-01,80.48
2002-02-01,81.7
2002-03-01,79.85
2002-04-01,78.94
2002-05-01,76.87
2002-06-01,75.03
2002-07-01,73.17
2002-08-01,73.73
2002-09-01,74.51
2002-10-01,74.99
2002-11-01,74.11
2002-12-01,73.96
2003-01-01,73.44
2003-02-01,73.87
2003-03-01,73.11
2003-04-01,72.91
2003-05-01,70.41
2003-06-01,69.6
2003-07-01,69.91
2003-08-01,70.52
2003-09-01,70.15
2003-10-01,68.96
2003-11-01,70.01
2003-12-01,69.17
2004-01-01,69.06
2004-02-01,68.61
2004-03-01,69.3
2004-04-01,69.77
2004-05-01,70.43
2004-06-01,69.23
2004-07-01,68.92
2004-08-01,69.52
2004-09-01,69.77
2004-10-01,68.57
2004-11-01,66.84
2004-12-01,65.85
2005-01-01,66.66
2005-02-01,67.73
2005-03-01,66.31
2005-04-01,66.65
2005-05-01,66.6
2005-06-01,67.17
2005-07-01,68.4
2005-08-01,68.43
2005-09-01,68.64
2005-10-01,69.53
2005-11-01,70.62
2005-12-01,70.49
2006-01-01,69.93
2006-02-01,70.94
2006-03-01,69.94
2006-04-01,69.21
2006-05-01,67.41
2006-06-01,67.97
2006-07-01,67.79
2006-08-01,67.71
2006-09-01,68.78
2006-10-01,69.42
2006-11-01,69.4
2006-12-01,69.65
2007-01-01,71.15
2007-02-01,72.12
2007-03-01,70.96
2007-04-01,70.09
2007-05-01,70.57
2007-06-01,71.35
2007-07-01,71.61
2007-08-01,72.37
2007-09-01,72.17
2007-10-01,71.15
2007-11-01,71.23
2007-12-01,72.62
2008-01-01,74.01
2008-02-01,76.26
2008-03-01,74.3
2008-04-01,74.67
2008-05-01,74.94
2008-06-01,75.33
2008-07-01,75.29
2008-08-01,77.05
2008-09-01,79.18
2008-10-01,82.63
2008-11-01,84.79
2008-12-01,82.82
2009-01-01,84.43
2009-02-01,86.68
2009-03-01,86.51
2009-04-01,84.5
2009-05-01,81.78
2009-06-01,80.17
2009-07-01,79.85
2009-08-01,79.21
2009-09-01,78.46
2009-10-01,77.21
2009-11-01,77.03
2009-12-01,78.28
2010-01-01,78.86
2010-02-01,80.88
2010-03-01,79.7
2010-04-01,79.65
2010-05-01,81.67
2010-06-01,82.08
2010-07-01,81.19
2010-08-01,80.35
2010-09-01,80.33
2010-10-01,79.14
2010-11-01,80.68
2010-12-01,81.71
2011-01-01,81.99
2011-02-01,82.42
2011-03-01,81.14
2011-04-01,80.21
2011-05-01,80.35
2011-06-01,80.6
2011-07-01,80.86
2011-08-01,81.52
2011-09-01,84.12
2011-10-01,85.16
2011-11-01,85.71
2011-12-01,87.05
2012-01-01,88.27
2012-02-01,87.07
2012-03-01,87.25
2012-04-01,87.14
2012-05-01,87.87
2012-06-01,87.74
2012-07-01,87.67
2012-08-01,87.33
2012-09-01,86.64
2012-10-01,86.84
2012-11-01,88.36
2012-12-01,88.6
2013-01-01,89.86
2013-02-01,91.33
2013-03-01,91.61
2013-04-01,92.51
2013-05-01,93.3
2013-06-01,93.32
2013-07-01,94.11
2013-08-01,94.17
2013-09-01,94.44
2013-10-01,93.42
2013-11-01,94.56
2013-12-01,95.41
2014-01-01,97.24
2014-02-01,97.17
2014-03-01,94.28
2014-04-01,92.18
2014-05-01,91.67
2014-06-01,91.67
2014-07-01,92.2
2014-08-01,93.76
2014-09-01,96.0
2014-10-01,97.51
2014-11-01,99.68
2014-12-01,100.86
2015-01-01,102.56
2015-02-01,104.13
2015-03-01,104.98
2015-04-01,104.37
2015-05-01,103.02
2015-06-01,103.64
2015-07-01,105.27
2015-08-01,104.79
2015-09-01,104.72
2015-10-01,103.77
2015-11-01,105.41
2015-12-01,104.88
2016-01-01,104.47
2016-02-01,105.45
2016-03-01,103.66
2016-04-01,101.73
2016-05-01,100.94
2016-06-01,99.33
2016-07-01,98.35
2016-08-01,97.63
2016-09-01,97.96
2016-10-01,97.76
2016-11-01,98.32
2016-12-01,99.19
2017-01-01,99.59
2017-02-01,98.63
2017-03-01,97.28
2017-04-01,96.45
2017-05-01,95.7
2017-06-01,95.96
2017-07-01,96.06
2017-08-01,96.64
2017-09-01,97.95
2017-10-01,98.19
2017-11-01,98.09
2017-12-01,98.27
2018-01-01,99.17
2018-02-01,101.54
2018-03-01,100.04
2018-04-01,100.29
2018-05-01,100.91
2018-06-01,100.23
2018-07-01,97.34
2018-08-01,96.47
2018-09-01,97.02
2018-10-01,96.64
2018-11-01,96.6
2018-12-01,97.49
2019-01-01,98.3
2019-02-01,100.26
2019-03-01,100.14
2019-04-01,99.84
2019-05-01,98.38
2019-06-01,96.94
2019-07-01,97.57
2019-08-01,96.48
2019-09-01,96.63
2019-10-01,97.33
2019-11-01,98.72
2019-12-01,98.41
2020-01-01,100.32
2020-02-01,101.85
2020-03-01,101.37
2020-04-01,101.11
2020-05-01,99.35
2020-06-01,97.49
2020-07-01,98.1
2020-08-01,98.05
2020-09-01,99.99
2020-10-01,100.65
2020-11-01,100.91
2020-12-01,100.79
2021-01-01,101.7
2021-02-01,103.22
2021-03-01,103.06
2021-04-01,101.77
2021-05-01,101.54
2021-06-01,101.54
2021-07-01,102.48
2021-08-01,102.41
2021-09-01,102.49
2021-10-01,104.24
2021-11-01,105.47
2021-12-01,106.27
2022-01-01,105.32
2022-02-01,106.22
2022-03-01,107.31
2022-04-01,106.34
2022-05-01,102.83
2022-06-01,103.12
