date,value
1994-01-01,105.93
1994-02-01,108.65
1994-03-01,109.9
1994-04-01,110.94
1994-05-01,110.17
1994-06-01,111.67
1994-07-01,113.05
1994-08-01,114.05
1994-09-01,112.08
1994-10-01,111.05
1994-11-01,113.57
1994-12-01,116.63
1995-01-01,116.79
1995-02-01,119.1
1995-03-01,118.22
1995-04-01,116.92
1995-05-01,117.97
1995-06-01,119.19
1995-07-01,117.58
1995-08-01,114.47
1995-09-01,112.79
1995-10-01,110.54
1995-11-01,110.31
1995-12-01,113.04
1996-01-01,113.16
1996-02-01,115.2
1996-03-01,115.4
1996-04-01,116.78
1996-05-01,116.95
1996-06-01,117.73
1996-07-01,119.88
1996-08-01,122.65
1996-09-01,124.85
1996-10-01,129.72
1996-11-01,132.41
1996-12-01,133.61
1997-01-01,133.63
1997-02-01,133.04
1997-03-01,136.91
1997-04-01,139.31
1997-05-01,138.68
1997-06-01,139.07
1997-07-01,138.5
1997-08-01,137.4
1997-09-01,128.14
1997-10-01,124.76
1997-11-01,123.4
1997-12-01,126.45
1998-01-01,127.46
1998-02-01,128.36
1998-03-01,130.39
1998-04-01,133.42
1998-05-01,132.75
1998-06-01,135.61
1998-07-01,137.55
1998-08-01,136.52
1998-09-01,123.43
1998-10-01,116.36
1998-11-01,118.89
1998-12-01,122.64
1999-01-01,122.85
1999-02-01,127.54
1999-03-01,130.74
1999-04-01,128.56
1999-05-01,123.57
1999-06-01,121.17
1999-07-01,113.2
1999-08-01,108.94
1999-09-01,103.43
1999-10-01,103.3
1999-11-01,105.9
1999-12-01,109.56
2000-01-01,108.51
2000-02-01,109.75
2000-03-01,110.72
2000-04-01,110.4
2000-05-01,108.98
2000-06-01,104.34
2000-07-01,102.23
2000-08-01,101.88
2000-09-01,101.5
2000-10-01,104.16
2000-11-01,106.79
2000-12-01,103.84
2001-01-01,101.63
2001-02-01,103.7
2001-03-01,104.32
2001-04-01,103.93
2001-05-01,103.28
2001-06-01,105.93
2001-07-01,106.57
2001-08-01,106.32
2001-09-01,104.72
2001-10-01,105.82
2001-11-01,106.42
2001-12-01,106.71
2002-01-01,109.34
2002-02-01,111.41
2002-03-01,111.62
2002-04-01,112.6
2002-05-01,110.58
2002-06-01,108.3
2002-07-01,101.29
2002-08-01,96.71
2002-09-01,93.6
2002-10-01,92.5
2002-11-01,95.22
2002-12-01,92.18
2003-01-01,88.73
2003-02-01,88.07
2003-03-01,88.03
2003-04-01,89.04
2003-05-01,89.58
2003-06-01,90.35
2003-07-01,89.64
2003-08-01,90.39
2003-09-01,90.39
2003-10-01,88.08
2003-11-01,89.22
2003-12-01,89.92
