date,value
1994-01-01,53.49
1994-02-01,53.26
1994-03-01,53.27
1994-04-01,53.51
1994-05-01,53.19
1994-06-01,53.7
1994-07-01,53.77
1994-08-01,53.91
1994-09-01,54.2
1994-10-01,54.49
1994-11-01,55.18
1994-12-01,55.49
1995-01-01,56.01
1995-02-01,56.41
1995-03-01,56.56
1995-04-01,56.76
1995-05-01,56.66
1995-06-01,56.81
1995-07-01,56.65
1995-08-01,56.6
1995-09-01,56.92
1995-10-01,57.3
1995-11-01,57.57
1995-12-01,57.69
1996-01-01,58.67
1996-02-01,58.75
1996-03-01,58.61
1996-04-01,58.83
1996-05-01,59.16
1996-06-01,59.28
1996-07-01,60.9
1996-08-01,61.85
1996-09-01,62.12
1996-10-01,61.57
1996-11-01,61.62
1996-12-01,61.8
1997-01-01,63.39
1997-02-01,64.03
1997-03-01,62.63
1997-04-01,61.6
1997-05-01,58.99
1997-06-01,57.62
1997-07-01,58.77
1997-08-01,59.52
1997-09-01,59.79
1997-10-01,60.45
1997-11-01,59.46
1997-12-01,58.54
1998-01-01,60.91
1998-02-01,62.32
1998-03-01,63.47
1998-04-01,63.71
1998-05-01,65.26
1998-06-01,64.61
1998-07-01,68.99
1998-08-01,68.06
1998-09-01,69.55
1998-10-01,70.67
1998-11-01,70.3
1998-12-01,69.34
1999-01-01,68.51
1999-02-01,64.25
1999-03-01,63.44
1999-04-01,63.05
1999-05-01,63.28
1999-06-01,63.82
1999-07-01,65.31
1999-08-01,65.81
1999-09-01,65.47
1999-10-01,65.2
1999-11-01,65.21
1999-12-01,65.2
2000-01-01,66.29
2000-02-01,66.42
2000-03-01,65.92
2000-04-01,64.17
2000-05-01,63.36
2000-06-01,65.41
2000-07-01,66.16
2000-08-01,66.02
2000-09-01,65.05
2000-10-01,65.26
2000-11-01,66.5
2000-12-01,66.83
2001-01-01,68.51
2001-02-01,69.06
2001-03-01,68.91
2001-04-01,68.54
2001-05-01,68.5
2001-06-01,69.6
2001-07-01,71.06
2001-08-01,71.43
2001-09-01,70.52
2001-10-01,71.68
2001-11-01,71.81
2001-12-01,73.35
2002-01-01,75.36
2002-02-01,75.63
2002-03-01,76.28
2002-04-01,78.74
2002-05-01,78.65
2002-06-01,79.92
2002-07-01,82.78
2002-08-01,79.52
2002-09-01,80.5
2002-10-01,78.82
2002-11-01,78.63
2002-12-01,77.64
2003-01-01,78.02
2003-02-01,77.95
2003-03-01,77.47
2003-04-01,77.94
2003-05-01,79.66
2003-06-01,79.78
2003-07-01,78.42
2003-08-01,76.7
2003-09-01,75.94
2003-10-01,77.3
2003-11-01,77.69
2003-12-01,77.56
2004-01-01,78.32
2004-02-01,78.03
2004-03-01,76.71
2004-04-01,76.97
2004-05-01,78.72
2004-06-01,79.63
2004-07-01,80.3
2004-08-01,79.86
2004-09-01,79.13
2004-10-01,79.81
2004-11-01,80.7
2004-12-01,82.5
2005-01-01,83.79
2005-02-01,84.21
2005-03-01,84.48
2005-04-01,83.07
2005-05-01,82.42
2005-06-01,82.5
2005-07-01,82.33
2005-08-01,83.91
2005-09-01,83.87
2005-10-01,83.24
2005-11-01,84.09
2005-12-01,84.58
2006-01-01,86.83
2006-02-01,87.2
2006-03-01,86.49
2006-04-01,86.81
2006-05-01,88.2
2006-06-01,88.33
2006-07-01,88.67
2006-08-01,89.48
2006-09-01,88.07
2006-10-01,87.48
2006-11-01,88.31
2006-12-01,89.23
