date,value
1994-01-01,84.96
1994-02-01,84.0
1994-03-01,83.33
1994-04-01,84.09
1994-05-01,83.97
1994-06-01,83.32
1994-07-01,83.57
1994-08-01,79.22
1994-09-01,79.61
1994-10-01,80.68
1994-11-01,81.29
1994-12-01,81.73
1995-01-01,83.2
1995-02-01,83.96
1995-03-01,80.58
1995-04-01,78.45
1995-05-01,78.6
1995-06-01,77.27
1995-07-01,76.59
1995-08-01,76.08
1995-09-01,76.21
1995-10-01,76.01
1995-11-01,76.02
1995-12-01,76.07
1996-01-01,78.26
1996-02-01,78.58
1996-03-01,79.13
1996-04-01,79.48
1996-05-01,80.06
1996-06-01,80.02
1996-07-01,79.33
1996-08-01,78.51
1996-09-01,78.67
1996-10-01,78.96
1996-11-01,78.37
1996-12-01,78.08
1997-01-01,81.44
1997-02-01,82.34
1997-03-01,82.99
1997-04-01,82.86
1997-05-01,82.57
1997-06-01,82.83
1997-07-01,81.45
1997-08-01,81.06
1997-09-01,81.51
1997-10-01,81.32
1997-11-01,81.28
1997-12-01,82.03
1998-01-01,84.34
1998-02-01,84.37
1998-03-01,84.24
1998-04-01,84.18
1998-05-01,84.53
1998-06-01,83.46
1998-07-01,82.79
1998-08-01,81.13
1998-09-01,79.7
1998-10-01,79.63
1998-11-01,80.52
1998-12-01,80.72
1999-01-01,83.71
1999-02-01,84.27
1999-03-01,83.49
1999-04-01,84.09
1999-05-01,85.05
1999-06-01,84.97
1999-07-01,85.02
1999-08-01,84.63
1999-09-01,83.84
1999-10-01,83.83
1999-11-01,84.03
1999-12-01,83.91
2000-01-01,84.84
2000-02-01,84.51
2000-03-01,84.13
2000-04-01,83.76
2000-05-01,83.2
2000-06-01,84.32
2000-07-01,84.73
2000-08-01,83.81
2000-09-01,83.12
2000-10-01,82.99
2000-11-01,83.05
2000-12-01,84.24
2001-01-01,87.03
2001-02-01,87.4
2001-03-01,87.65
2001-04-01,87.33
2001-05-01,89.97
2001-06-01,93.51
2001-07-01,93.67
2001-08-01,93.94
2001-09-01,92.59
2001-10-01,93.0
2001-11-01,93.88
2001-12-01,95.38
2002-01-01,97.57
2002-02-01,98.03
2002-03-01,97.94
2002-04-01,99.47
2002-05-01,100.12
2002-06-01,101.39
2002-07-01,100.65
2002-08-01,100.66
2002-09-01,101.64
2002-10-01,102.27
2002-11-01,104.79
2002-12-01,106.02
2003-01-01,106.51
2003-02-01,105.38
2003-03-01,105.99
2003-04-01,105.97
2003-05-01,107.89
2003-06-01,101.89
2003-07-01,100.68
2003-08-01,101.33
2003-09-01,103.16
2003-10-01,104.55
2003-11-01,103.72
2003-12-01,102.72
2004-01-01,105.61
2004-02-01,107.14
2004-03-01,110.41
2004-04-01,110.72
2004-05-01,110.74
2004-06-01,110.64
2004-07-01,112.38
2004-08-01,112.19
2004-09-01,112.69
2004-10-01,113.72
2004-11-01,115.04
2004-12-01,114.94
2005-01-01,114.9
2005-02-01,115.57
2005-03-01,115.66
2005-04-01,114.2
2005-05-01,112.35
2005-06-01,112.62
2005-07-01,113.75
2005-08-01,114.05
2005-09-01,112.8
2005-10-01,109.66
2005-11-01,110.01
2005-12-01,108.9
2006-01-01,110.03
2006-02-01,109.03
2006-03-01,105.74
2006-04-01,104.43
2006-05-01,107.15
2006-06-01,103.72
2006-07-01,102.09
2006-08-01,103.05
2006-09-01,105.46
2006-10-01,108.52
2006-11-01,112.32
2006-12-01,114.63
2007-01-01,115.99
2007-02-01,117.43
2007-03-01,119.72
2007-04-01,121.82
2007-05-01,121.06
2007-06-01,120.21
2007-07-01,122.17
2007-08-01,117.81
2007-09-01,119.46
2007-10-01,121.22
2007-11-01,120.29
2007-12-01,120.74
2008-01-01,120.63
2008-02-01,118.05
2008-03-01,120.5
2008-04-01,123.73
2008-05-01,127.03
2008-06-01,129.16
2008-07-01,134.92
2008-08-01,130.93
2008-09-01,127.43
2008-10-01,116.78
2008-11-01,114.5
2008-12-01,117.28
2009-01-01,112.41
2009-02-01,106.2
2009-03-01,105.18
2009-04-01,108.25
2009-05-01,115.18
2009-06-01,116.41
2009-07-01,121.79
2009-08-01,122.0
2009-09-01,121.42
2009-10-01,123.23
2009-11-01,122.16
2009-12-01,120.14
2010-01-01,122.45
2010-02-01,120.07
2010-03-01,122.08
2010-04-01,121.35
2010-05-01,115.75
2010-06-01,113.28
2010-07-01,113.67
2010-08-01,113.44
2010-09-01,112.8
2010-10-01,117.99
2010-11-01,116.77
2010-12-01,114.8
2011-01-01,116.43
2011-02-01,118.8
2011-03-01,120.09
2011-04-01,123.56
2011-05-01,122.36
2011-06-01,122.38
2011-07-01,121.55
2011-08-01,119.47
2011-09-01,113.13
2011-10-01,109.32
2011-11-01,105.31
2011-12-01,106.19
2012-01-01,106.34
2012-02-01,113.04
2012-03-01,112.45
2012-04-01,111.88
2012-05-01,111.7
2012-06-01,111.72
2012-07-01,113.69
2012-08-01,116.33
2012-09-01,115.1
2012-10-01,116.12
2012-11-01,115.78
2012-12-01,114.71
2013-01-01,113.43
2013-02-01,113.86
2013-03-01,108.8
2013-04-01,110.77
2013-05-01,113.03
2013-06-01,112.96
2013-07-01,113.18
2013-08-01,111.58
2013-09-01,111.55
2013-10-01,113.43
2013-11-01,112.29
2013-12-01,111.38
2014-01-01,111.48
2014-02-01,108.46
2014-03-01,108.17
2014-04-01,109.32
2014-05-01,109.68
2014-06-01,108.86
2014-07-01,107.76
2014-08-01,105.82
2014-09-01,104.81
2014-10-01,106.09
2014-11-01,106.25
2014-12-01,104.43
2015-01-01,101.91
2015-02-01,104.13
2015-03-01,103.8
2015-04-01,104.69
2015-05-01,103.83
2015-06-01,102.67
2015-07-01,102.63
2015-08-01,103.18
2015-09-01,102.53
2015-10-01,103.05
2015-11-01,101.71
2015-12-01,101.52
2016-01-01,102.85
2016-02-01,104.35
2016-03-01,102.87
2016-04-01,103.75
2016-05-01,103.01
2016-06-01,103.08
2016-07-01,102.81
2016-08-01,103.82
2016-09-01,104.32
2016-10-01,105.16
2016-11-01,104.71
2016-12-01,103.26
2017-01-01,105.11
2017-02-01,104.89
2017-03-01,104.15
2017-04-01,103.17
2017-05-01,104.79
2017-06-01,105.68
2017-07-01,107.19
2017-08-01,108.5
2017-09-01,106.78
2017-10-01,106.24
2017-11-01,105.95
2017-12-01,105.41
2018-01-01,107.61
2018-02-01,106.71
2018-03-01,106.23
2018-04-01,106.77
2018-05-01,104.87
2018-06-01,103.14
2018-07-01,103.55
2018-08-01,104.16
2018-09-01,103.96
2018-10-01,104.04
2018-11-01,104.16
2018-12-01,103.71
2019-01-01,105.17
2019-02-01,105.7
2019-03-01,106.31
2019-04-01,104.86
2019-05-01,104.43
2019-06-01,104.96
2019-07-01,104.09
2019-08-01,103.76
2019-09-01,101.54
2019-10-01,102.13
2019-11-01,101.36
2019-12-01,102.31
2020-01-01,101.77
2020-02-01,100.49
2020-03-01,100.4
2020-04-01,97.08
2020-05-01,99.21
2020-06-01,100.83
2020-07-01,101.33
2020-08-01,102.96
2020-09-01,99.13
2020-10-01,98.64
2020-11-01,98.69
2020-12-01,99.47
2021-01-01,99.56
2021-02-01,99.67
2021-03-01,98.08
2021-04-01,100.09
2021-05-01,102.51
2021-06-01,103.5
2021-07-01,101.33
2021-08-01,102.53
2021-09-01,102.08
2021-10-01,99.67
2021-11-01,98.54
2021-12-01,97.55
2022-01-01,100.04
2022-02-01,100.82
2022-03-01,94.79
2022-04-01,94.97
2022-05-01,93.59
2022-06-01,91.41
2022-07-01,90.52
2022-08-01,92.04
2022-09-01,94.82
2022-10-01,93.24
2022-11-01,98.19
