date,value
1994-01-01,92.55
1994-02-01,92.29
1994-03-01,92.38
1994-04-01,93.79
1994-05-01,93.37
1994-06-01,93.78
1994-07-01,92.97
1994-08-01,93.14
1994-09-01,92.25
1994-10-01,92.03
1994-11-01,92.45
1994-12-01,94.38
1995-01-01,94.63
1995-02-01,94.22
1995-03-01,90.88
1995-04-01,91.14
1995-05-01,92.04
1995-06-01,91.71
1995-07-01,92.42
1995-08-01,93.53
1995-09-01,89.37
1995-10-01,85.01
1995-11-01,85.19
1995-12-01,84.77
1996-01-01,83.05
1996-02-01,81.1
1996-03-01,85.94
1996-04-01,87.58
1996-05-01,86.56
1996-06-01,86.79
1996-07-01,86.36
1996-08-01,86.06
1996-09-01,86.25
1996-10-01,86.44
1996-11-01,85.71
1996-12-01,86.64
1997-01-01,87.44
1997-02-01,89.42
1997-03-01,89.96
1997-04-01,91.61
1997-05-01,90.71
1997-06-01,91.01
1997-07-01,92.52
1997-08-01,93.77
1997-09-01,92.78
1997-10-01,93.23
1997-11-01,90.73
1997-12-01,89.23
1998-01-01,92.23
1998-02-01,91.31
1998-03-01,89.72
1998-04-01,90.48
1998-05-01,89.6
1998-06-01,87.76
1998-07-01,88.09
1998-08-01,87.76
1998-09-01,86.55
1998-10-01,85.13
1998-11-01,85.89
1998-12-01,84.87
1999-01-01,84.46
1999-02-01,86.13
1999-03-01,87.45
1999-04-01,87.27
1999-05-01,87.42
1999-06-01,87.51
1999-07-01,87.49
1999-08-01,86.57
1999-09-01,86.5
1999-10-01,86.61
1999-11-01,87.68
1999-12-01,87.26
2000-01-01,86.82
2000-02-01,88.08
2000-03-01,90.22
2000-04-01,91.81
2000-05-01,93.09
2000-06-01,90.55
2000-07-01,90.94
2000-08-01,90.24
2000-09-01,91.56
2000-10-01,93.3
2000-11-01,92.85
2000-12-01,91.76
2001-01-01,91.27
2001-02-01,91.79
2001-03-01,92.85
2001-04-01,93.83
2001-05-01,93.71
2001-06-01,94.72
2001-07-01,94.8
2001-08-01,93.15
2001-09-01,91.51
2001-10-01,91.91
2001-11-01,92.52
2001-12-01,92.62
2002-01-01,91.8
2002-02-01,91.36
2002-03-01,91.25
2002-04-01,90.22
2002-05-01,88.76
2002-06-01,88.36
2002-07-01,87.59
2002-08-01,89.3
2002-09-01,89.58
2002-10-01,89.99
2002-11-01,89.17
2002-12-01,88.32
2003-01-01,87.18
2003-02-01,87.74
2003-03-01,88.8
2003-04-01,89.76
2003-05-01,87.92
2003-06-01,88.43
2003-07-01,90.21
2003-08-01,91.51
2003-09-01,91.71
2003-10-01,90.79
2003-11-01,90.8
2003-12-01,88.78
2004-01-01,88.55
2004-02-01,88.9
2004-03-01,90.32
2004-04-01,93.24
2004-05-01,91.57
2004-06-01,90.39
2004-07-01,89.73
2004-08-01,90.73
2004-09-01,90.76
2004-10-01,90.25
2004-11-01,90.12
2004-12-01,90.01
2005-01-01,91.49
2005-02-01,91.29
2005-03-01,90.83
2005-04-01,92.46
2005-05-01,93.13
2005-06-01,94.99
2005-07-01,96.68
2005-08-01,95.03
2005-09-01,94.63
2005-10-01,93.76
2005-11-01,93.18
2005-12-01,92.09
2006-01-01,93.65
2006-02-01,94.01
2006-03-01,93.42
2006-04-01,92.72
2006-05-01,90.5
2006-06-01,91.18
2006-07-01,90.76
2006-08-01,90.42
2006-09-01,92.06
2006-10-01,94.15
2006-11-01,94.12
2006-12-01,92.76
2007-01-01,94.29
2007-02-01,94.02
2007-03-01,93.9
2007-04-01,98.12
2007-05-01,100.81
2007-06-01,101.01
2007-07-01,101.04
2007-08-01,100.48
2007-09-01,100.41
2007-10-01,100.78
2007-11-01,99.11
2007-12-01,99.12
2008-01-01,98.79
2008-02-01,97.81
2008-03-01,96.18
2008-04-01,97.29
2008-05-01,92.74
2008-06-01,93.23
2008-07-01,93.07
2008-08-01,95.33
2008-09-01,91.58
2008-10-01,89.79
2008-11-01,90.72
2008-12-01,88.62
2009-01-01,88.67
2009-02-01,88.54
2009-03-01,85.08
2009-04-01,86.5
2009-05-01,87.78
2009-06-01,88.61
2009-07-01,88.07
2009-08-01,88.34
2009-09-01,87.57
2009-10-01,89.94
2009-11-01,90.96
2009-12-01,91.79
2010-01-01,94.78
2010-02-01,94.93
2010-03-01,97.06
2010-04-01,100.8
2010-05-01,100.61
2010-06-01,100.61
2010-07-01,98.66
2010-08-01,98.3
2010-09-01,98.89
2010-10-01,99.84
2010-11-01,99.32
2010-12-01,101.75
2011-01-01,101.28
2011-02-01,100.04
2011-03-01,100.65
2011-04-01,101.94
2011-05-01,100.56
2011-06-01,101.01
2011-07-01,102.5
2011-08-01,100.33
2011-09-01,98.1
2011-10-01,95.67
2011-11-01,93.34
2011-12-01,90.89
2012-01-01,93.96
2012-02-01,96.63
2012-03-01,95.26
2012-04-01,93.91
2012-05-01,90.72
2012-06-01,89.77
2012-07-01,91.6
2012-08-01,91.33
2012-09-01,92.24
2012-10-01,93.98
2012-11-01,91.52
2012-12-01,90.97
2013-01-01,90.32
2013-02-01,91.48
2013-03-01,91.54
2013-04-01,92.01
2013-05-01,91.7
2013-06-01,88.34
2013-07-01,88.14
2013-08-01,83.98
2013-09-01,83.29
2013-10-01,86.27
2013-11-01,86.54
2013-12-01,85.95
2014-01-01,85.25
2014-02-01,84.77
2014-03-01,86.65
2014-04-01,87.99
2014-05-01,89.87
2014-06-01,90.15
2014-07-01,91.48
2014-08-01,91.55
2014-09-01,92.28
2014-10-01,92.43
2014-11-01,93.34
2014-12-01,92.44
2015-01-01,95.37
2015-02-01,96.01
2015-03-01,96.87
2015-04-01,96.26
2015-05-01,94.27
2015-06-01,95.69
2015-07-01,97.34
2015-08-01,97.1
2015-09-01,96.25
2015-10-01,97.91
2015-11-01,98.23
2015-12-01,97.51
2016-01-01,97.83
