date,value
1994-01-01,164.24
1994-02-01,170.81
1994-03-01,172.33
1994-04-01,174.96
1994-05-01,172.85
1994-06-01,172.6
1994-07-01,176.74
1994-08-01,173.47
1994-09-01,173.79
1994-10-01,174.01
1994-11-01,174.31
1994-12-01,170.66
1995-01-01,169.7
1995-02-01,170.61
1995-03-01,182.21
1995-04-01,194.05
1995-05-01,191.48
1995-06-01,191.36
1995-07-01,184.24
1995-08-01,171.17
1995-09-01,162.01
1995-10-01,159.55
1995-11-01,157.65
1995-12-01,158.22
1996-01-01,151.85
1996-02-01,150.67
1996-03-01,150.19
1996-04-01,148.55
1996-05-01,150.3
1996-06-01,146.36
1996-07-01,145.5
1996-08-01,146.36
1996-09-01,143.92
1996-10-01,141.18
1996-11-01,140.01
1996-12-01,138.82
1997-01-01,134.42
1997-02-01,129.41
1997-03-01,130.61
1997-04-01,129.94
1997-05-01,137.61
1997-06-01,142.82
1997-07-01,143.35
1997-08-01,142.19
1997-09-01,139.9
1997-10-01,141.07
1997-11-01,136.5
1997-12-01,137.79
1998-01-01,142.98
1998-02-01,143.79
1998-03-01,138.85
1998-04-01,134.17
1998-05-01,132.17
1998-06-01,128.84
1998-07-01,127.5
1998-08-01,123.91
1998-09-01,132.29
1998-10-01,145.28
1998-11-01,145.13
1998-12-01,147.96
1999-01-01,152.49
1999-02-01,148.47
1999-03-01,146.55
1999-04-01,146.52
1999-05-01,143.46
1999-06-01,145.01
1999-07-01,146.07
1999-08-01,153.86
1999-09-01,163.2
1999-10-01,163.84
1999-11-01,165.69
1999-12-01,168.7
2000-01-01,163.14
2000-02-01,156.68
2000-03-01,161.92
2000-04-01,164.2
2000-05-01,162.78
2000-06-01,163.94
2000-07-01,161.36
2000-08-01,162.25
2000-09-01,164.83
2000-10-01,163.73
2000-11-01,163.14
2000-12-01,157.39
2001-01-01,149.54
2001-02-01,149.99
2001-03-01,144.42
2001-04-01,142.83
2001-05-01,145.24
2001-06-01,145.28
2001-07-01,142.51
2001-08-01,144.3
2001-09-01,146.82
2001-10-01,144.51
2001-11-01,142.99
2001-12-01,137.49
2002-01-01,131.71
2002-02-01,129.79
2002-03-01,132.22
2002-04-01,131.84
2002-05-01,134.93
2002-06-01,136.52
2002-07-01,140.63
2002-08-01,140.69
2002-09-01,138.45
2002-10-01,135.06
2002-11-01,136.42
2002-12-01,135.03
2003-01-01,135.81
2003-02-01,133.8
2003-03-01,135.04
2003-04-01,133.54
2003-05-01,134.15
2003-06-01,132.44
2003-07-01,132.57
2003-08-01,133.13
2003-09-01,136.44
2003-10-01,141.14
2003-11-01,140.49
2003-12-01,140.58
2004-01-01,140.12
2004-02-01,139.17
2004-03-01,137.49
2004-04-01,138.43
2004-05-01,133.87
2004-06-01,136.85
2004-07-01,135.85
2004-08-01,134.7
2004-09-01,134.95
2004-10-01,135.7
2004-11-01,138.2
