date,value
1994-01-01,117.22
1994-02-01,116.64
1994-03-01,116.76
1994-04-01,115.91
1994-05-01,115.41
1994-06-01,115.26
1994-07-01,114.33
1994-08-01,114.85
1994-09-01,113.52
1994-10-01,112.53
1994-11-01,112.92
1994-12-01,114.72
1995-01-01,115.05
1995-02-01,114.46
1995-03-01,113.69
1995-04-01,112.28
1995-05-01,113.53
1995-06-01,112.73
1995-07-01,114.48
1995-08-01,117.06
1995-09-01,119.0
1995-10-01,118.53
1995-11-01,118.4
1995-12-01,119.29
1996-01-01,118.65
1996-02-01,119.79
1996-03-01,120.13
1996-04-01,120.91
1996-05-01,121.43
1996-06-01,119.33
1996-07-01,117.66
1996-08-01,116.68
1996-09-01,116.33
1996-10-01,116.07
1996-11-01,115.23
1996-12-01,114.81
1997-01-01,115.22
1997-02-01,115.69
1997-03-01,114.55
1997-04-01,113.36
1997-05-01,112.01
1997-06-01,111.86
1997-07-01,113.22
1997-08-01,115.08
1997-09-01,113.97
1997-10-01,112.21
1997-11-01,102.16
1997-12-01,73.61
1998-01-01,68.25
1998-02-01,71.11
1998-03-01,77.56
1998-04-01,83.4
1998-05-01,82.85
1998-06-01,84.4
1998-07-01,91.5
1998-08-01,91.15
1998-09-01,84.97
1998-10-01,83.86
1998-11-01,86.86
1998-12-01,91.95
1999-01-01,94.52
1999-02-01,95.17
1999-03-01,93.25
1999-04-01,94.76
1999-05-01,95.69
1999-06-01,97.71
1999-07-01,95.66
1999-08-01,94.32
1999-09-01,93.05
1999-10-01,92.62
1999-11-01,95.08
1999-12-01,98.08
2000-01-01,99.03
2000-02-01,100.53
2000-03-01,101.95
2000-04-01,102.18
2000-05-01,102.51
2000-06-01,101.98
2000-07-01,103.31
2000-08-01,104.36
2000-09-01,105.72
2000-10-01,105.44
2000-11-01,102.47
2000-12-01,97.7
2001-01-01,93.92
2001-02-01,96.24
2001-03-01,95.57
2001-04-01,94.01
2001-05-01,95.85
2001-06-01,97.04
2001-07-01,97.27
2001-08-01,97.42
2001-09-01,95.69
2001-10-01,95.91
2001-11-01,97.5
2001-12-01,98.05
2002-01-01,97.3
2002-02-01,97.61
2002-03-01,97.3
2002-04-01,97.73
2002-05-01,101.14
2002-06-01,103.08
2002-07-01,104.38
2002-08-01,104.26
2002-09-01,103.93
2002-10-01,101.79
2002-11-01,103.15
2002-12-01,103.34
2003-01-01,104.56
2003-02-01,103.48
2003-03-01,100.46
2003-04-01,100.37
2003-05-01,100.86
2003-06-01,101.29
2003-07-01,103.06
2003-08-01,104.01
2003-09-01,104.7
2003-10-01,102.33
2003-11-01,100.28
2003-12-01,98.76
2004-01-01,98.66
2004-02-01,100.31
2004-03-01,102.05
2004-04-01,103.02
2004-05-01,101.92
2004-06-01,102.76
2004-07-01,103.03
2004-08-01,104.3
2004-09-01,104.53
2004-10-01,103.89
2004-11-01,106.37
2004-12-01,109.1
2005-01-01,111.75
2005-02-01,113.53
2005-03-01,115.37
2005-04-01,115.9
2005-05-01,116.9
2005-06-01,117.12
2005-07-01,115.38
2005-08-01,115.95
2005-09-01,115.18
2005-10-01,114.22
2005-11-01,115.76
2005-12-01,117.68
2006-01-01,120.91
2006-02-01,123.16
2006-03-01,122.96
2006-04-01,124.48
2006-05-01,123.53
2006-06-01,123.04
2006-07-01,123.95
2006-08-01,122.5
2006-09-01,124.17
2006-10-01,124.0
2006-11-01,124.4
2006-12-01,124.46
2007-01-01,124.05
2007-02-01,123.99
2007-03-01,122.6
2007-04-01,123.52
2007-05-01,123.62
2007-06-01,123.61
2007-07-01,123.71
2007-08-01,120.88
2007-09-01,120.71
2007-10-01,121.02
2007-11-01,117.85
2007-12-01,116.68
2008-01-01,113.64
2008-02-01,111.99
2008-03-01,105.89
2008-04-01,104.87
2008-05-01,100.85
2008-06-01,101.65
2008-07-01,102.84
2008-08-01,101.83
2008-09-01,95.08
2008-10-01,83.35
2008-11-01,80.04
2008-12-01,80.44
2009-01-01,81.66
2009-02-01,78.88
2009-03-01,79.31
2009-04-01,85.72
2009-05-01,89.54
2009-06-01,88.09
2009-07-01,87.98
2009-08-01,89.14
2009-09-01,89.85
2009-10-01,91.72
2009-11-01,92.09
2009-12-01,92.57
2010-01-01,95.71
2010-02-01,94.73
2010-03-01,96.33
2010-04-01,98.61
2010-05-01,95.72
2010-06-01,92.42
2010-07-01,91.57
2010-08-01,92.81
2010-09-01,93.96
2010-10-01,94.43
2010-11-01,93.29
2010-12-01,92.83
2011-01-01,94.99
2011-02-01,94.65
2011-03-01,93.75
2011-04-01,95.67
2011-05-01,95.3
2011-06-01,95.52
2011-07-01,97.53
2011-08-01,95.94
2011-09-01,93.0
2011-10-01,90.64
2011-11-01,92.55
2011-12-01,92.23
2012-01-01,92.36
2012-02-01,93.29
2012-03-01,93.46
2012-04-01,92.42
2012-05-01,91.66
2012-06-01,92.11
2012-07-01,93.72
2012-08-01,94.16
2012-09-01,94.11
2012-10-01,95.0
2012-11-01,96.84
2012-12-01,97.69
2013-01-01,99.48
2013-02-01,97.99
2013-03-01,97.39
2013-04-01,95.66
2013-05-01,96.96
2013-06-01,94.6
2013-07-01,96.22
2013-08-01,96.92
2013-09-01,99.56
2013-10-01,99.74
2013-11-01,100.89
2013-12-01,101.86
2014-01-01,101.5
2014-02-01,101.01
2014-03-01,101.28
2014-04-01,103.83
2014-05-01,105.55
2014-06-01,106.18
2014-07-01,105.89
2014-08-01,106.02
2014-09-01,105.76
2014-10-01,103.61
2014-11-01,101.55
2014-12-01,102.75
2015-01-01,106.42
2015-02-01,105.31
2015-03-01,105.3
2015-04-01,107.21
2015-05-01,105.99
2015-06-01,104.6
2015-07-01,102.43
2015-08-01,100.89
2015-09-01,100.35
2015-10-01,103.43
2015-11-01,103.78
2015-12-01,102.62
2016-01-01,101.47
2016-02-01,98.95
2016-03-01,100.35
2016-04-01,102.36
2016-05-01,100.49
2016-06-01,101.09
2016-07-01,103.63
2016-08-01,105.88
2016-09-01,106.6
2016-10-01,105.84
2016-11-01,104.21
2016-12-01,104.13
2017-01-01,104.8
2017-02-01,107.58
2017-03-01,108.35
2017-04-01,107.35
2017-05-01,107.76
2017-06-01,106.03
2017-07-01,105.47
2017-08-01,104.6
2017-09-01,103.45
2017-10-01,104.28
2017-11-01,106.36
2017-12-01,107.73
2018-01-01,107.58
2018-02-01,105.24
2018-03-01,106.1
2018-04-01,106.73
2018-05-01,107.8
2018-06-01,106.88
2018-07-01,105.48
2018-08-01,107.45
2018-09-01,108.25
2018-10-01,107.37
2018-11-01,107.58
2018-12-01,107.23
2019-01-01,106.12
2019-02-01,105.62
2019-03-01,104.52
2019-04-01,103.86
2019-05-01,101.19
2019-06-01,101.62
2019-07-01,100.66
2019-08-01,99.17
2019-09-01,100.94
2019-10-01,101.39
2019-11-01,101.59
2019-12-01,100.93
2020-01-01,101.06
2020-02-01,99.46
2020-03-01,98.38
2020-04-01,99.11
2020-05-01,98.54
2020-06-01,99.15
2020-07-01,98.57
2020-08-01,98.76
2020-09-01,99.45
2020-10-01,101.33
2020-11-01,102.92
2020-12-01,103.27
2021-01-01,102.64
2021-02-01,101.58
2021-03-01,101.51
2021-04-01,102.79
2021-05-01,101.19
2021-06-01,101.3
2021-07-01,100.21
2021-08-01,99.17
2021-09-01,98.14
2021-10-01,97.58
2021-11-01,97.92
2021-12-01,98.23
2022-01-01,97.42
2022-02-01,96.92
2022-03-01,96.3
2022-04-01,96.79
2022-05-01,97.04
2022-06-01,96.76
2022-07-01,96.2
2022-08-01,95.13
2022-09-01,92.32
2022-10-01,91.77
2022-11-01,94.72
2022-12-01,96.72
2023-01-01,98.83
2023-02-01,96.86
2023-03-01,95.3
2023-04-01,93.48
2023-05-01,94.46
2023-06-01,97.9
2023-07-01,98.51
2023-08-01,97.26
2023-09-01,97.87
2023-10-01,97.51
2023-11-01,99.32
2023-12-01,97.99
2024-01-01,97.09
2024-02-01,97.22
2024-03-01,97.39
2024-04-01,95.74
2024-05-01,95.84
2024-06-01,94.83
2024-07-01,94.45
2024-08-01,94.63
2024-09-01,95.09
2024-10-01,94.05
2024-11-01,93.43
2024-12-01,91.37
2025-01-01,91.7
2025-02-01,91.36
2025-03-01,89.58
2025-04-01,89.67
2025-05-01,91.67
2025-06-01,92.44
2025-07-01,91.36
2025-08-01,90.7
2025-09-01,90.53
2025-10-01,89.15
2025-11-01,87.23
2025-12-01,86.49
2026-01-01,87.02
2026-02-01,86.49
2026-03-01,85.07
2026-04-01,85.04
2026-05-01,84.72
2026-06-01,83.05
2026-07-01,85.5
