date,value
1994-01-01,87.46
1994-02-01,87.56
1994-03-01,86.46
1994-04-01,85.59
1994-05-01,87.11
1994-06-01,87.72
1994-07-01,88.13
1994-08-01,88.17
1994-09-01,87.88
1994-10-01,88.46
1994-11-01,90.04
1994-12-01,92.88
1995-01-01,93.11
1995-02-01,92.42
1995-03-01,92.45
1995-04-01,93.31
1995-05-01,93.97
1995-06-01,94.21
1995-07-01,95.02
1995-08-01,94.14
1995-09-01,94.61
1995-10-01,94.61
1995-11-01,94.56
1995-12-01,94.63
1996-01-01,96.97
1996-02-01,98.41
1996-03-01,98.8
1996-04-01,98.72
1996-05-01,99.03
1996-06-01,98.32
1996-07-01,100.35
1996-08-01,100.06
1996-09-01,101.35
1996-10-01,102.68
1996-11-01,103.6
1996-12-01,103.33
1997-01-01,104.16
1997-02-01,104.18
1997-03-01,104.84
1997-04-01,104.36
1997-05-01,103.45
1997-06-01,103.11
1997-07-01,100.67
1997-08-01,99.19
1997-09-01,99.02
1997-10-01,99.37
1997-11-01,99.37
1997-12-01,98.08
1998-01-01,97.98
1998-02-01,96.48
1998-03-01,94.78
1998-04-01,92.0
1998-05-01,90.72
1998-06-01,88.71
1998-07-01,89.77
1998-08-01,88.35
1998-09-01,86.46
1998-10-01,85.51
1998-11-01,86.59
1998-12-01,84.64
1999-01-01,86.35
1999-02-01,88.01
1999-03-01,87.37
1999-04-01,88.61
1999-05-01,89.74
1999-06-01,87.04
1999-07-01,86.04
1999-08-01,85.23
1999-09-01,83.8
1999-10-01,81.84
1999-11-01,82.17
1999-12-01,81.51
2000-01-01,82.06
2000-02-01,80.0
2000-03-01,80.57
2000-04-01,82.14
2000-05-01,79.43
2000-06-01,78.44
2000-07-01,77.47
2000-08-01,75.68
2000-09-01,72.3
2000-10-01,70.97
2000-11-01,71.31
2000-12-01,75.46
2001-01-01,77.49
2001-02-01,76.48
2001-03-01,75.41
2001-04-01,74.04
2001-05-01,76.43
2001-06-01,75.8
2001-07-01,75.32
2001-08-01,77.8
2001-09-01,75.81
2001-10-01,75.72
2001-11-01,76.24
2001-12-01,76.66
2002-01-01,78.74
2002-02-01,78.22
2002-03-01,80.07
2002-04-01,81.43
2002-05-01,83.33
2002-06-01,86.71
2002-07-01,84.4
2002-08-01,82.29
2002-09-01,83.43
2002-10-01,85.84
2002-11-01,87.53
2002-12-01,89.5
2003-01-01,92.56
2003-02-01,93.99
2003-03-01,93.55
2003-04-01,92.64
2003-05-01,93.89
2003-06-01,94.12
2003-07-01,95.81
2003-08-01,95.89
2003-09-01,94.95
2003-10-01,95.3
2003-11-01,99.0
2003-12-01,99.81
2004-01-01,101.59
2004-02-01,104.12
2004-03-01,101.01
2004-04-01,98.36
2004-05-01,96.76
2004-06-01,98.61
2004-07-01,100.55
2004-08-01,102.36
2004-09-01,103.18
2004-10-01,105.23
2004-11-01,105.04
2004-12-01,106.39
2005-01-01,105.22
2005-02-01,106.19
2005-03-01,107.84
2005-04-01,107.61
2005-05-01,108.22
2005-06-01,108.42
2005-07-01,105.23
2005-08-01,106.59
2005-09-01,107.05
2005-10-01,108.21
2005-11-01,108.7
2005-12-01,108.9
2006-01-01,106.07
2006-02-01,104.54
2006-03-01,99.0
2006-04-01,96.18
2006-05-01,95.5
2006-06-01,95.33
2006-07-01,94.97
2006-08-01,96.7
2006-09-01,100.15
2006-10-01,101.58
2006-11-01,101.19
2006-12-01,103.2
2007-01-01,104.61
2007-02-01,104.01
2007-03-01,103.95
2007-04-01,107.74
2007-05-01,107.39
2007-06-01,110.58
2007-07-01,112.98
2007-08-01,105.08
2007-09-01,102.9
2007-10-01,106.65
2007-11-01,105.82
2007-12-01,107.55
2008-01-01,106.48
2008-02-01,107.96
2008-03-01,106.59
2008-04-01,104.55
2008-05-01,103.37
2008-06-01,101.58
2008-07-01,100.15
2008-08-01,97.89
2008-09-01,95.55
2008-10-01,91.07
2008-11-01,86.97
2008-12-01,84.7
2009-01-01,83.54
2009-02-01,80.11
2009-03-01,82.65
2009-04-01,86.59
2009-05-01,88.73
2009-06-01,92.77
2009-07-01,93.85
2009-08-01,97.37
2009-09-01,99.62
2009-10-01,102.32
2009-11-01,100.02
2009-12-01,99.0
2010-01-01,100.38
2010-02-01,97.64
2010-03-01,97.65
2010-04-01,98.48
2010-05-01,99.05
2010-06-01,99.22
2010-07-01,100.39
2010-08-01,99.64
2010-09-01,100.55
2010-10-01,101.4
2010-11-01,104.75
2010-12-01,102.7
2011-01-01,103.72
2011-02-01,101.81
2011-03-01,98.27
2011-04-01,102.65
2011-05-01,103.47
2011-06-01,106.08
2011-07-01,109.5
2011-08-01,108.32
2011-09-01,106.65
2011-10-01,103.81
2011-11-01,101.69
2011-12-01,102.26
2012-01-01,105.61
2012-02-01,108.67
2012-03-01,107.48
2012-04-01,107.35
2012-05-01,103.07
2012-06-01,105.0
2012-07-01,107.08
2012-08-01,107.43
2012-09-01,106.94
2012-10-01,106.87
2012-11-01,106.96
2012-12-01,108.06
2013-01-01,109.16
2013-02-01,109.94
2013-03-01,109.34
2013-04-01,111.82
2013-05-01,109.91
2013-06-01,106.52
2013-07-01,107.71
2013-08-01,108.02
2013-09-01,110.05
2013-10-01,111.17
2013-11-01,111.11
2013-12-01,111.35
2014-01-01,112.73
2014-02-01,112.43
2014-03-01,115.38
2014-04-01,115.62
2014-05-01,115.51
2014-06-01,115.89
2014-07-01,116.76
2014-08-01,113.94
2014-09-01,111.42
2014-10-01,108.93
2014-11-01,110.04
2014-12-01,111.0
2015-01-01,111.21
2015-02-01,109.16
2015-03-01,110.67
2015-04-01,111.93
2015-05-01,108.14
2015-06-01,103.21
2015-07-01,99.62
2015-08-01,99.19
2015-09-01,96.37
2015-10-01,100.72
2015-11-01,100.02
2015-12-01,102.82
2016-01-01,101.16
2016-02-01,101.09
2016-03-01,101.11
2016-04-01,101.97
2016-05-01,101.9
2016-06-01,105.31
2016-07-01,107.17
2016-08-01,107.66
2016-09-01,108.83
2016-10-01,107.41
2016-11-01,109.33
2016-12-01,109.87
2017-01-01,110.8
2017-02-01,111.31
2017-03-01,107.99
2017-04-01,106.79
2017-05-01,106.02
2017-06-01,109.24
2017-07-01,110.31
2017-08-01,107.99
2017-09-01,106.1
2017-10-01,104.03
2017-11-01,101.87
2017-12-01,102.46
2018-01-01,104.36
2018-02-01,103.92
2018-03-01,103.52
2018-04-01,103.62
2018-05-01,101.41
2018-06-01,102.5
2018-07-01,102.07
2018-08-01,101.26
2018-09-01,100.15
2018-10-01,99.77
2018-11-01,103.61
2018-12-01,104.17
2019-01-01,102.75
2019-02-01,103.13
2019-03-01,103.34
2019-04-01,101.67
2019-05-01,100.49
2019-06-01,100.96
2019-07-01,102.28
2019-08-01,99.87
2019-09-01,98.57
2019-10-01,97.86
2019-11-01,98.56
2019-12-01,101.41
2020-01-01,101.37
2020-02-01,99.34
2020-03-01,95.87
2020-04-01,96.13
2020-05-01,97.0
2020-06-01,100.41
2020-07-01,101.58
2020-08-01,100.31
2020-09-01,100.95
2020-10-01,100.28
2020-11-01,102.62
2020-12-01,104.16
2021-01-01,104.76
2021-02-01,105.44
2021-03-01,105.31
2021-04-01,105.52
2021-05-01,106.42
2021-06-01,105.78
2021-07-01,106.04
2021-08-01,106.89
2021-09-01,108.22
2021-10-01,108.22
2021-11-01,108.28
2021-12-01,105.73
2022-01-01,104.97
2022-02-01,103.6
2022-03-01,107.03
2022-04-01,106.85
2022-05-01,104.17
2022-06-01,103.97
2022-07-01,103.7
2022-08-01,105.38
2022-09-01,102.8
2022-10-01,100.57
2022-11-01,105.24
2022-12-01,107.58
2023-01-01,106.04
2023-02-01,105.24
2023-03-01,104.91
2023-04-01,104.3
2023-05-01,105.77
2023-06-01,105.72
2023-07-01,107.39
2023-08-01,105.17
2023-09-01,105.29
2023-10-01,105.49
2023-11-01,105.92
2023-12-01,108.3
2024-01-01,108.26
2024-02-01,107.84
2024-03-01,107.04
2024-04-01,105.93
2024-05-01,107.25
2024-06-01,109.01
2024-07-01,106.83
2024-08-01,105.84
2024-09-01,107.04
2024-10-01,105.85
2024-11-01,105.39
2024-12-01,103.59
2025-01-01,102.6
2025-02-01,102.67
2025-03-01,102.6
2025-04-01,103.57
2025-05-01,104.11
2025-06-01,104.84
2025-07-01,104.16
2025-08-01,103.01
2025-09-01,102.22
