date,value
1994-01-01,74.47
1994-02-01,73.42
1994-03-01,73.29
1994-04-01,73.95
1994-05-01,73.43
1994-06-01,73.67
1994-07-01,72.92
1994-08-01,72.9
1994-09-01,74.48
1994-10-01,75.11
1994-11-01,75.39
1994-12-01,75.9
1995-01-01,77.41
1995-02-01,77.42
1995-03-01,77.22
1995-04-01,77.54
1995-05-01,79.52
1995-06-01,81.05
1995-07-01,78.93
1995-08-01,78.55
1995-09-01,80.71
1995-10-01,80.88
1995-11-01,80.66
1995-12-01,81.52
1996-01-01,85.0
1996-02-01,84.91
1996-03-01,85.09
1996-04-01,86.1
1996-05-01,86.23
1996-06-01,85.48
1996-07-01,84.55
1996-08-01,83.87
1996-09-01,84.41
1996-10-01,84.79
1996-11-01,84.86
1996-12-01,85.92
1997-01-01,85.8
1997-02-01,88.72
1997-03-01,89.03
1997-04-01,88.9
1997-05-01,87.49
1997-06-01,87.57
1997-07-01,84.92
1997-08-01,84.98
1997-09-01,85.18
1997-10-01,85.77
1997-11-01,84.17
1997-12-01,86.91
1998-01-01,91.46
1998-02-01,92.15
1998-03-01,94.66
1998-04-01,95.55
1998-05-01,94.79
1998-06-01,94.21
1998-07-01,94.64
1998-08-01,91.24
1998-09-01,88.63
1998-10-01,88.97
1998-11-01,92.16
1998-12-01,91.15
1999-01-01,91.89
1999-02-01,88.64
1999-03-01,87.87
1999-04-01,88.25
1999-05-01,90.62
1999-06-01,92.03
1999-07-01,93.3
1999-08-01,90.04
1999-09-01,88.76
1999-10-01,87.72
1999-11-01,87.74
1999-12-01,91.46
2000-01-01,94.25
2000-02-01,96.08
2000-03-01,99.35
2000-04-01,97.67
2000-05-01,95.98
2000-06-01,95.14
2000-07-01,98.31
2000-08-01,99.64
2000-09-01,100.14
2000-10-01,99.17
2000-11-01,101.32
2000-12-01,103.17
2001-01-01,106.03
2001-02-01,108.09
2001-03-01,110.37
2001-04-01,113.61
2001-05-01,117.06
2001-06-01,119.51
2001-07-01,112.18
2001-08-01,106.83
2001-09-01,106.59
2001-10-01,109.74
2001-11-01,112.55
2001-12-01,114.03
2002-01-01,114.11
2002-02-01,111.97
2002-03-01,112.41
2002-04-01,113.34
2002-05-01,110.18
2002-06-01,106.89
2002-07-01,100.94
2002-08-01,100.43
2002-09-01,100.74
2002-10-01,101.62
2002-11-01,103.98
