date,value
1994-01-01,99.51
1994-02-01,98.43
1994-03-01,98.41
1994-04-01,98.13
1994-05-01,98.34
1994-06-01,98.55
1994-07-01,97.34
1994-08-01,97.17
1994-09-01,97.41
1994-10-01,96.68
1994-11-01,96.27
1994-12-01,96.51
1995-01-01,96.2
1995-02-01,96.13
1995-03-01,94.18
1995-04-01,92.21
1995-05-01,92.95
1995-06-01,93.09
1995-07-01,93.96
1995-08-01,96.97
1995-09-01,98.87
1995-10-01,99.39
1995-11-01,99.56
1995-12-01,99.86
1996-01-01,100.79
1996-02-01,101.32
1996-03-01,101.32
1996-04-01,101.63
1996-05-01,101.82
1996-06-01,102.21
1996-07-01,102.34
1996-08-01,102.83
1996-09-01,102.86
1996-10-01,103.57
1996-11-01,103.91
1996-12-01,104.07
1997-01-01,105.05
1997-02-01,106.74
1997-03-01,107.65
1997-04-01,107.48
1997-05-01,107.33
1997-06-01,111.84
1997-07-01,92.2
1997-08-01,90.06
1997-09-01,83.53
1997-10-01,79.65
1997-11-01,78.17
1997-12-01,71.81
1998-01-01,62.48
1998-02-01,70.84
1998-03-01,79.28
1998-04-01,83.17
1998-05-01,85.33
1998-06-01,81.11
1998-07-01,83.55
1998-08-01,83.92
1998-09-01,83.46
1998-10-01,84.29
1998-11-01,87.46
1998-12-01,87.25
1999-01-01,86.11
1999-02-01,86.45
1999-03-01,86.49
1999-04-01,85.81
1999-05-01,86.98
1999-06-01,87.13
1999-07-01,86.77
1999-08-01,83.55
1999-09-01,78.38
1999-10-01,78.71
1999-11-01,80.4
1999-12-01,81.67
2000-01-01,83.89
2000-02-01,84.5
2000-03-01,83.87
2000-04-01,83.46
2000-05-01,83.02
2000-06-01,81.79
2000-07-01,80.06
2000-08-01,79.72
2000-09-01,78.06
2000-10-01,76.15
2000-11-01,75.75
2000-12-01,76.48
2001-01-01,76.87
2001-02-01,78.28
2001-03-01,77.26
2001-04-01,75.89
2001-05-01,75.81
2001-06-01,76.59
2001-07-01,76.48
2001-08-01,76.03
2001-09-01,76.6
2001-10-01,76.36
2001-11-01,77.3
2001-12-01,78.63
2002-01-01,79.57
2002-02-01,80.28
2002-03-01,80.51
2002-04-01,80.25
2002-05-01,79.99
2002-06-01,79.73
2002-07-01,80.01
2002-08-01,78.67
2002-09-01,78.01
2002-10-01,77.55
2002-11-01,76.9
2002-12-01,76.56
2003-01-01,76.76
2003-02-01,76.27
2003-03-01,76.22
2003-04-01,76.18
2003-05-01,76.18
2003-06-01,76.89
2003-07-01,77.15
2003-08-01,78.04
2003-09-01,79.02
2003-10-01,78.82
2003-11-01,78.52
2003-12-01,77.72
2004-01-01,78.23
2004-02-01,78.48
2004-03-01,78.65
2004-04-01,78.77
2004-05-01,77.99
2004-06-01,77.0
2004-07-01,76.53
2004-08-01,75.95
2004-09-01,75.78
2004-10-01,75.14
2004-11-01,75.07
2004-12-01,76.34
2005-01-01,77.33
2005-02-01,78.12
2005-03-01,78.34
2005-04-01,77.46
2005-05-01,77.44
2005-06-01,76.65
2005-07-01,77.07
2005-08-01,77.55
2005-09-01,78.16
2005-10-01,79.48
2005-11-01,79.44
2005-12-01,78.96
2006-01-01,80.48
2006-02-01,81.33
2006-03-01,82.86
2006-04-01,84.89
2006-05-01,83.54
2006-06-01,83.9
2006-07-01,84.84
2006-08-01,85.21
2006-09-01,85.5
2006-10-01,86.58
2006-11-01,87.41
2006-12-01,88.17
2007-01-01,89.8
2007-02-01,92.37
2007-03-01,95.52
2007-04-01,95.88
2007-05-01,95.29
2007-06-01,97.11
2007-07-01,101.81
2007-08-01,96.49
2007-09-01,95.1
2007-10-01,95.87
2007-11-01,94.73
2007-12-01,98.42
2008-01-01,97.25
2008-02-01,93.73
2008-03-01,91.14
2008-04-01,91.73
2008-05-01,92.68
2008-06-01,90.1
2008-07-01,88.79
2008-08-01,87.17
2008-09-01,87.49
2008-10-01,88.26
2008-11-01,87.57
2008-12-01,84.89
2009-01-01,85.31
2009-02-01,86.88
2009-03-01,87.01
2009-04-01,87.28
2009-05-01,86.96
2009-06-01,87.75
2009-07-01,87.5
2009-08-01,87.07
2009-09-01,86.4
2009-10-01,86.33
2009-11-01,86.34
2009-12-01,86.77
2010-01-01,87.82
2010-02-01,88.41
2010-03-01,89.91
2010-04-01,90.83
2010-05-01,92.08
2010-06-01,92.73
2010-07-01,91.36
2010-08-01,91.88
2010-09-01,93.32
2010-10-01,93.27
2010-11-01,93.84
2010-12-01,93.72
2011-01-01,91.68
2011-02-01,90.57
2011-03-01,91.07
2011-04-01,92.15
2011-05-01,91.18
2011-06-01,90.16
2011-07-01,90.91
2011-08-01,91.17
2011-09-01,90.61
2011-10-01,89.92
2011-11-01,90.3
2011-12-01,89.69
2012-01-01,88.26
2012-02-01,90.06
2012-03-01,91.35
2012-04-01,90.98
2012-05-01,90.74
2012-06-01,90.94
2012-07-01,91.14
2012-08-01,91.26
2012-09-01,91.56
2012-10-01,92.29
2012-11-01,92.52
2012-12-01,92.94
2013-01-01,95.68
2013-02-01,97.22
2013-03-01,99.27
2013-04-01,101.25
2013-05-01,99.75
2013-06-01,96.27
2013-07-01,96.14
2013-08-01,94.27
2013-09-01,93.78
2013-10-01,94.18
2013-11-01,93.84
2013-12-01,92.39
2014-01-01,91.55
2014-02-01,92.08
2014-03-01,92.79
2014-04-01,92.95
2014-05-01,92.31
2014-06-01,92.4
2014-07-01,93.18
2014-08-01,93.67
2014-09-01,94.14
2014-10-01,94.11
2014-11-01,95.02
2014-12-01,95.79
2015-01-01,96.99
2015-02-01,97.98
2015-03-01,99.01
2015-04-01,98.5
2015-05-01,95.13
2015-06-01,95.41
2015-07-01,94.3
2015-08-01,92.38
2015-09-01,91.16
2015-10-01,91.54
2015-11-01,92.23
2015-12-01,91.51
2016-01-01,91.79
2016-02-01,91.65
2016-03-01,91.54
2016-04-01,90.93
2016-05-01,91.23
2016-06-01,91.2
2016-07-01,91.59
2016-08-01,91.45
2016-09-01,91.52
2016-10-01,91.51
2016-11-01,92.61
2016-12-01,93.4
2017-01-01,93.75
2017-02-01,93.84
2017-03-01,93.7
2017-04-01,94.15
2017-05-01,93.98
2017-06-01,94.51
2017-07-01,94.8
2017-08-01,94.83
2017-09-01,94.82
2017-10-01,95.63
2017-11-01,96.39
2017-12-01,96.34
2018-01-01,96.56
2018-02-01,96.19
2018-03-01,96.9
2018-04-01,97.44
2018-05-01,97.6
2018-06-01,96.86
2018-07-01,95.82
2018-08-01,97.34
2018-09-01,99.0
2018-10-01,99.01
2018-11-01,98.46
2018-12-01,98.31
2019-01-01,99.87
2019-02-01,101.23
2019-03-01,100.35
2019-04-01,100.35
2019-05-01,101.7
2019-06-01,103.1
2019-07-01,103.9
2019-08-01,104.9
2019-09-01,105.7
2019-10-01,105.61
2019-11-01,105.35
2019-12-01,105.1
2020-01-01,103.45
2020-02-01,101.28
2020-03-01,99.29
2020-04-01,97.05
2020-05-01,98.68
2020-06-01,101.85
2020-07-01,100.56
2020-08-01,100.18
2020-09-01,98.81
2020-10-01,98.65
2020-11-01,100.18
2020-12-01,100.01
2021-01-01,99.38
2021-02-01,98.19
2021-03-01,97.4
2021-04-01,97.08
2021-05-01,95.44
2021-06-01,95.4
2021-07-01,92.51
2021-08-01,90.88
2021-09-01,92.03
2021-10-01,91.76
2021-11-01,93.01
2021-12-01,91.45
2022-01-01,92.99
2022-02-01,94.97
2022-03-01,94.56
2022-04-01,94.64
2022-05-01,96.27
2022-06-01,95.94
2022-07-01,93.03
2022-08-01,94.37
2022-09-01,94.03
2022-10-01,93.73
2022-11-01,95.73
2022-12-01,96.94
2023-01-01,98.99
2023-02-01,97.18
2023-03-01,96.3
2023-04-01,96.55
2023-05-01,97.07
2023-06-01,96.85
2023-07-01,97.19
2023-08-01,97.53
2023-09-01,95.73
2023-10-01,94.31
2023-11-01,95.91
2023-12-01,95.21
2024-01-01,95.21
2024-02-01,93.63
2024-03-01,93.51
2024-04-01,93.31
2024-05-01,94.06
2024-06-01,93.98
2024-07-01,94.86
2024-08-01,96.13
2024-09-01,98.8
2024-10-01,99.84
2024-11-01,98.68
2024-12-01,99.92
2025-01-01,100.36
2025-02-01,100.5
2025-03-01,99.31
2025-04-01,98.07
2025-05-01,99.2
2025-06-01,99.45
2025-07-01,99.44
2025-08-01,99.66
2025-09-01,100.67
2025-10-01,99.3
2025-11-01,100.69
2025-12-01,102.64
2026-01-01,102.89
2026-02-01,101.46
2026-03-01,99.07
2026-04-01,101.57
2026-05-01,100.7
2026-06-01,99.95
2026-07-01,97.65
2026-08-01,98.18
