date,value
1994-01-01,128.93
1994-02-01,114.15
1994-03-01,100.39
1994-04-01,76.55
1994-05-01,81.74
1994-06-01,88.77
1994-07-01,88.55
1994-08-01,85.7
1994-09-01,87.13
1994-10-01,93.1
1994-11-01,97.82
1994-12-01,101.23
1995-01-01,100.14
1995-02-01,100.6
1995-03-01,98.27
1995-04-01,100.86
1995-05-01,102.38
1995-06-01,105.22
1995-07-01,102.78
1995-08-01,101.85
1995-09-01,110.53
1995-10-01,113.64
1995-11-01,114.6
1995-12-01,110.35
1996-01-01,111.76
1996-02-01,109.0
1996-03-01,106.12
1996-04-01,107.16
1996-05-01,106.34
1996-06-01,106.82
1996-07-01,102.36
1996-08-01,101.11
1996-09-01,105.74
1996-10-01,110.39
1996-11-01,110.53
1996-12-01,108.07
1997-01-01,107.93
1997-02-01,109.79
1997-03-01,109.69
1997-04-01,111.44
1997-05-01,109.75
1997-06-01,110.12
1997-07-01,109.6
1997-08-01,109.0
1997-09-01,113.5
1997-10-01,119.73
1997-11-01,121.97
1997-12-01,122.99
1998-01-01,125.67
1998-02-01,122.73
1998-03-01,119.04
1998-04-01,119.21
1998-05-01,118.21
1998-06-01,120.45
1998-07-01,118.91
1998-08-01,118.53
1998-09-01,126.35
1998-10-01,132.39
1998-11-01,134.38
1998-12-01,131.33
1999-01-01,130.24
1999-02-01,128.86
1999-03-01,127.08
1999-04-01,128.17
1999-05-01,126.13
1999-06-01,128.92
1999-07-01,127.07
1999-08-01,124.11
1999-09-01,129.73
1999-10-01,135.96
1999-11-01,137.84
1999-12-01,137.57
2000-01-01,138.87
2000-02-01,140.78
2000-03-01,139.62
2000-04-01,140.73
2000-05-01,142.36
2000-06-01,141.83
2000-07-01,140.15
2000-08-01,139.06
2000-09-01,145.82
2000-10-01,153.54
2000-11-01,159.69
2000-12-01,159.03
2001-01-01,159.57
2001-02-01,139.8
2001-03-01,118.15
2001-04-01,105.39
2001-05-01,118.31
2001-06-01,118.36
2001-07-01,108.59
2001-08-01,100.13
2001-09-01,102.04
2001-10-01,103.13
2001-11-01,116.74
2001-12-01,124.21
2002-01-01,138.76
2002-02-01,142.48
2002-03-01,140.53
2002-04-01,146.22
2002-05-01,134.29
2002-06-01,122.27
2002-07-01,109.17
2002-08-01,111.68
2002-09-01,117.08
2002-10-01,124.22
2002-11-01,131.6
2002-12-01,131.24
2003-01-01,126.6
2003-02-01,129.17
2003-03-01,128.45
2003-04-01,132.56
2003-05-01,139.86
2003-06-01,145.25
2003-07-01,150.0
2003-08-01,152.16
2003-09-01,155.38
2003-10-01,145.61
2003-11-01,143.27
2003-12-01,142.94
2004-01-01,149.66
2004-02-01,151.58
2004-03-01,156.55
2004-04-01,153.81
2004-05-01,139.1
2004-06-01,139.24
2004-07-01,142.78
2004-08-01,142.17
2004-09-01,140.39
2004-10-01,142.18
2004-11-01,143.25
2004-12-01,145.15
2005-01-01,152.5
2005-02-01,156.93
2005-03-01,154.55
2005-04-01,151.99
2005-05-01,154.29
2005-06-01,159.86
2005-07-01,162.98
2005-08-01,160.53
2005-09-01,162.09
2005-10-01,165.0
2005-11-01,169.81
2005-12-01,170.14
2006-01-01,170.51
2006-02-01,172.77
2006-03-01,170.64
2006-04-01,169.36
2006-05-01,155.36
2006-06-01,141.1
2006-07-01,146.4
2006-08-01,152.71
2006-09-01,153.63
2006-10-01,156.73
2006-11-01,158.05
2006-12-01,157.56
2007-01-01,161.85
