date,value
1994-01-01,88.66
1994-02-01,88.17
1994-03-01,88.27
1994-04-01,88.18
1994-05-01,87.42
1994-06-01,87.1
1994-07-01,85.91
1994-08-01,85.7
1994-09-01,84.74
1994-10-01,84.05
1994-11-01,84.23
1994-12-01,86.1
1995-01-01,88.01
1995-02-01,87.22
1995-03-01,86.0
1995-04-01,82.6
1995-05-01,82.16
1995-06-01,82.21
1995-07-01,82.17
1995-08-01,84.22
1995-09-01,85.21
1995-10-01,85.22
1995-11-01,86.15
1995-12-01,86.34
1996-01-01,86.78
1996-02-01,86.76
1996-03-01,86.81
1996-04-01,86.66
1996-05-01,86.76
1996-06-01,87.07
1996-07-01,87.12
1996-08-01,86.49
1996-09-01,86.82
1996-10-01,87.36
1996-11-01,86.95
1996-12-01,87.46
1997-01-01,88.2
1997-02-01,89.7
1997-03-01,90.56
1997-04-01,90.77
1997-05-01,89.46
1997-06-01,89.15
1997-07-01,90.09
1997-08-01,91.63
1997-09-01,91.77
1997-10-01,92.25
1997-11-01,93.77
1997-12-01,96.74
1998-01-01,99.12
1998-02-01,97.63
1998-03-01,97.23
1998-04-01,97.05
1998-05-01,97.76
1998-06-01,99.9
1998-07-01,100.33
1998-08-01,102.08
1998-09-01,100.34
1998-10-01,97.36
1998-11-01,97.05
1998-12-01,96.13
1999-01-01,96.19
1999-02-01,97.21
1999-03-01,98.41
1999-04-01,98.11
1999-05-01,97.86
1999-06-01,98.42
1999-07-01,98.73
1999-08-01,97.61
1999-09-01,96.98
1999-10-01,96.57
1999-11-01,96.78
1999-12-01,96.69
2000-01-01,96.51
2000-02-01,97.89
2000-03-01,98.5
2000-04-01,98.96
2000-05-01,101.3
2000-06-01,100.52
2000-07-01,100.71
2000-08-01,101.25
2000-09-01,102.3
2000-10-01,103.86
2000-11-01,104.37
2000-12-01,103.25
2001-01-01,103.7
2001-02-01,104.55
2001-03-01,106.28
2001-04-01,107.04
2001-05-01,106.89
2001-06-01,107.69
2001-07-01,108.0
2001-08-01,106.13
2001-09-01,106.56
2001-10-01,106.84
2001-11-01,107.37
2001-12-01,106.94
2002-01-01,108.04
2002-02-01,108.72
2002-03-01,108.47
2002-04-01,108.21
2002-05-01,106.71
2002-06-01,105.49
2002-07-01,104.06
2002-08-01,105.3
2002-09-01,105.8
2002-10-01,106.55
2002-11-01,105.2
2002-12-01,104.26
2003-01-01,102.9
2003-02-01,103.23
2003-03-01,103.09
2003-04-01,102.08
2003-05-01,98.45
2003-06-01,98.42
2003-07-01,99.5
2003-08-01,100.85
2003-09-01,99.75
2003-10-01,97.46
2003-11-01,96.77
2003-12-01,95.1
2004-01-01,93.74
2004-02-01,94.41
2004-03-01,95.66
2004-04-01,96.36
2004-05-01,98.24
2004-06-01,97.57
2004-07-01,96.66
2004-08-01,96.73
2004-09-01,96.17
2004-10-01,95.02
2004-11-01,92.39
2004-12-01,90.88
2005-01-01,91.58
2005-02-01,91.75
2005-03-01,91.67
2005-04-01,92.93
2005-05-01,93.17
2005-06-01,94.27
2005-07-01,94.89
2005-08-01,93.91
2005-09-01,94.49
2005-10-01,95.59
2005-11-01,95.53
2005-12-01,94.36
2006-01-01,93.49
2006-02-01,93.63
2006-03-01,94.2
2006-04-01,93.93
2006-05-01,92.26
2006-06-01,93.72
2006-07-01,93.68
2006-08-01,93.0
2006-09-01,92.62
2006-10-01,92.42
2006-11-01,91.3
2006-12-01,90.22
2007-01-01,91.43
2007-02-01,91.21
2007-03-01,91.29
2007-04-01,90.36
2007-05-01,89.98
2007-06-01,89.88
2007-07-01,88.5
2007-08-01,88.47
2007-09-01,87.2
2007-10-01,85.3
2007-11-01,84.03
2007-12-01,84.41
2008-01-01,83.89
2008-02-01,82.74
2008-03-01,81.48
2008-04-01,81.25
2008-05-01,81.87
2008-06-01,82.39
2008-07-01,81.9
2008-08-01,83.56
2008-09-01,85.32
2008-10-01,90.14
2008-11-01,91.06
2008-12-01,89.54
2009-01-01,90.47
2009-02-01,92.91
2009-03-01,93.46
2009-04-01,91.26
2009-05-01,88.69
2009-06-01,88.34
2009-07-01,87.96
2009-08-01,86.74
2009-09-01,85.97
2009-10-01,84.74
2009-11-01,84.15
2009-12-01,84.1
2010-01-01,84.36
2010-02-01,85.15
2010-03-01,84.66
2010-04-01,84.2
2010-05-01,86.72
2010-06-01,87.35
2010-07-01,85.84
2010-08-01,84.95
2010-09-01,83.93
2010-10-01,81.24
2010-11-01,81.2
2010-12-01,81.69
2011-01-01,80.9
2011-02-01,80.23
2011-03-01,79.87
2011-04-01,78.82
2011-05-01,78.98
2011-06-01,78.95
2011-07-01,78.42
2011-08-01,78.84
2011-09-01,80.96
2011-10-01,81.45
2011-11-01,81.77
2011-12-01,82.09
2012-01-01,81.81
2012-02-01,80.49
2012-03-01,81.21
2012-04-01,81.55
2012-05-01,83.0
2012-06-01,84.18
2012-07-01,83.62
2012-08-01,83.05
2012-09-01,81.79
2012-10-01,81.31
2012-11-01,81.47
2012-12-01,80.49
2013-01-01,80.69
2013-02-01,81.37
2013-03-01,82.26
2013-04-01,81.78
2013-05-01,82.37
2013-06-01,83.05
2013-07-01,83.5
2013-08-01,83.25
2013-09-01,82.85
2013-10-01,81.68
2013-11-01,82.09
2013-12-01,82.04
2014-01-01,82.95
2014-02-01,83.03
2014-03-01,83.32
2014-04-01,83.16
2014-05-01,83.08
2014-06-01,83.36
2014-07-01,83.13
2014-08-01,83.6
2014-09-01,84.61
2014-10-01,85.38
2014-11-01,86.33
2014-12-01,87.75
2015-01-01,89.44
2015-02-01,90.54
2015-03-01,92.42
2015-04-01,91.91
2015-05-01,91.51
2015-06-01,92.38
2015-07-01,93.86
2015-08-01,95.17
2015-09-01,95.53
2015-10-01,94.61
2015-11-01,95.93
2015-12-01,96.41
2016-01-01,98.72
2016-02-01,97.33
2016-03-01,95.71
2016-04-01,94.47
2016-05-01,95.8
2016-06-01,96.42
2016-07-01,96.83
2016-08-01,95.97
2016-09-01,96.59
2016-10-01,97.37
2016-11-01,99.63
2016-12-01,101.14
2017-01-01,101.34
2017-02-01,99.82
2017-03-01,99.27
2017-04-01,98.53
2017-05-01,98.12
2017-06-01,96.83
2017-07-01,95.45
2017-08-01,94.26
2017-09-01,93.56
2017-10-01,95.01
2017-11-01,94.99
2017-12-01,94.37
2018-01-01,92.68
2018-02-01,91.67
2018-03-01,92.16
2018-04-01,92.41
2018-05-01,95.28
2018-06-01,96.89
2018-07-01,97.14
2018-08-01,97.62
2018-09-01,97.61
2018-10-01,98.15
2018-11-01,99.03
2018-12-01,98.54
2019-01-01,97.37
2019-02-01,97.09
2019-03-01,97.67
2019-04-01,98.01
2019-05-01,99.1
2019-06-01,98.73
2019-07-01,98.37
2019-08-01,99.96
2019-09-01,100.09
2019-10-01,99.41
2019-11-01,98.87
2019-12-01,98.11
2020-01-01,97.58
2020-02-01,98.71
2020-03-01,102.43
2020-04-01,104.59
2020-05-01,103.99
2020-06-01,101.81
2020-07-01,101.25
2020-08-01,99.92
2020-09-01,99.26
2020-10-01,98.53
2020-11-01,96.95
2020-12-01,94.98
2021-01-01,94.52
2021-02-01,94.89
2021-03-01,96.81
2021-04-01,96.84
2021-05-01,96.29
2021-06-01,97.26
2021-07-01,98.63
2021-08-01,98.82
2021-09-01,98.69
2021-10-01,99.6
2021-11-01,100.45
2021-12-01,101.15
2022-01-01,100.94
2022-02-01,100.89
2022-03-01,102.7
2022-04-01,103.37
2022-05-01,106.44
2022-06-01,107.65
2022-07-01,109.45
2022-08-01,108.94
2022-09-01,111.42
2022-10-01,113.14
2022-11-01,110.21
2022-12-01,107.33
2023-01-01,105.47
2023-02-01,105.94
2023-03-01,106.52
2023-04-01,105.65
2023-05-01,106.43
2023-06-01,106.99
2023-07-01,105.95
2023-08-01,107.34
