date,value
1990-01-01,2426.1385045416
1990-02-01,3701.3214520807
1990-03-01,6390.4931771401
1990-04-01,6821.2165555717
1990-05-01,6214.8744662165
1990-06-01,5385.3739943848
1990-07-01,4748.9327900893
1990-08-01,3993.5141354477
1990-09-01,3304.59598998
1990-10-01,2685.6419231236
1990-11-01,2101.2746881908
1990-12-01,1620.9175952523
1991-01-01,1140.22
1991-02-01,751.9831559779
1991-03-01,422.8105207326
1991-04-01,375.1600270088
1991-05-01,374.4546253295
1991-06-01,372.0729625303
1991-07-01,369.9444963893
1991-08-01,381.3961685554
1991-09-01,386.5320332116
1991-10-01,411.5060817091
1991-11-01,448.2869959294
1991-12-01,472.6832830299
1992-01-01,497.2996726387
1992-02-01,515.1129783127
1992-03-01,567.2129190886
1992-04-01,662.1549724887
1992-05-01,785.8131524505
1992-06-01,857.6722119649
1992-07-01,937.9270786151
1992-08-01,996.3638893058
1992-09-01,1081.6993940008
1992-10-01,1130.9403613554
1992-11-01,1104.1992222416
1992-12-01,1119.0917081348
1993-01-01,1161.780035449
1993-02-01,1168.4793054061
1993-03-01,1229.709433267
1993-04-01,1316.4124983965
1993-05-01,1348.515868683
1993-06-01,1467.3279739075
1993-07-01,1581.6967825295
1993-08-01,1730.6728504658
1993-09-01,1893.1318277214
1993-10-01,2031.2698103003
1993-11-01,2258.6818765005
1993-12-01,2477.1480715921
1994-01-01,2693.8380143814
1994-02-01,3035.6348591236
1994-03-01,3417.3023017475
1994-04-01,3828.3655406031
1994-05-01,4331.0634473992
1994-06-01,4922.4623521024
1994-07-01,4004.9562342398
1994-08-01,3044.7867045114
1994-09-01,2253.0856824449
1994-10-01,1703.1186673577
1994-11-01,1267.5024399374
1994-12-01,916.4328646351
1995-01-01,631.5209277429
1995-02-01,426.8285741922
1995-03-01,274.7771744687
1995-04-01,169.0526072073
1995-05-01,91.7908156936
1995-06-01,33.0294296128
1995-07-01,27.4512580795
1995-08-01,26.3626797308
1995-09-01,25.6906040059
1995-10-01,24.2085768044
1995-11-01,22.5896730279
1995-12-01,22.4088800797
1996-01-01,21.9755742993
1996-02-01,21.9876486515
1996-03-01,20.5461402731
1996-04-01,19.1692098213
1996-05-01,17.4861928564
1996-06-01,16.256873222
1996-07-01,14.8371673786
1996-08-01,14.2117545259
1996-09-01,13.2617805097
1996-10-01,12.0220549198
1996-11-01,10.7524642749
1996-12-01,9.5638055182
1997-01-01,9.3908213975
1997-02-01,8.8169608062
1997-03-01,8.9904606954
1997-04-01,8.5814504932
1997-05-01,7.7125414296
1997-06-01,7.0206434999
1997-07-01,6.0786162743
1997-08-01,5.5927922578
1997-09-01,5.4979010884
1997-10-01,5.4242734198
1997-11-01,5.2666414372
1997-12-01,5.2247317518
1998-01-01,4.7359432323
1998-02-01,4.6942572988
1998-03-01,4.5171801425
1998-04-01,3.8541052386
1998-05-01,3.9471922637
1998-06-01,3.409570029
1998-07-01,3.0587493109
1998-08-01,2.5536604108
1998-09-01,2.266682339
1998-10-01,2.052415124
1998-11-01,1.7569653888
1998-12-01,1.655644112
1999-01-01,1.6455502161
1999-02-01,2.2425129397
1999-03-01,3.0169230468
1999-04-01,3.3457879072
1999-05-01,3.140124666
