date,value
1990-01-01,5.063937
1990-02-01,4.877492
1990-03-01,4.956603
1990-04-01,4.621999
1990-05-01,5.058305
1990-06-01,5.025153
1990-07-01,5.30987
1990-08-01,6.083616
1990-09-01,6.126049
1990-10-01,6.352134
1990-11-01,6.05573
1990-12-01,5.276209
1991-01-01,5.509448
1991-02-01,6.213795
1991-03-01,5.865693
1991-04-01,5.9019
1991-05-01,6.278928
1991-06-01,6.56687
1991-07-01,6.551343
1991-08-01,5.972826
1991-09-01,5.675826
1991-10-01,5.128966
1991-11-01,5.471578
1991-12-01,5.226703
1992-01-01,4.87069
1992-02-01,4.579689
1992-03-01,4.86888
1992-04-01,4.784552
1992-05-01,4.181344
1992-06-01,4.167656
1992-07-01,3.818143
1992-08-01,3.55101
1992-09-01,3.472658
1992-10-01,3.531259
1992-11-01,3.286345
1992-12-01,3.420841
1993-01-01,3.464596
1993-02-01,3.390757
1993-03-01,3.638656
1993-04-01,3.78804
1993-05-01,3.576021
1993-06-01,3.139696
1993-07-01,3.386921
1993-08-01,3.625539
1993-09-01,3.440052
1993-10-01,3.367083
1993-11-01,2.244286
1993-12-01,2.482325
1994-01-01,2.078669
1994-02-01,1.839384
1994-03-01,1.301565
1994-04-01,1.047455
1994-05-01,0.361236
1994-06-01,0.544862
1994-07-01,0.589921
1994-08-01,0.489391
1994-09-01,0.591889
1994-10-01,0.434256
1994-11-01,0.562543
1994-12-01,0.420195
1995-01-01,1.014891
1995-02-01,1.503421
1995-03-01,1.564114
1995-04-01,1.59642
1995-05-01,2.03846
1995-06-01,2.080315
1995-07-01,2.029049
1995-08-01,1.952146
1995-09-01,1.998041
1995-10-01,1.971242
1995-11-01,1.902623
1995-12-01,1.947981
1996-01-01,1.518403
1996-02-01,0.782521
1996-03-01,0.898507
1996-04-01,0.911436
1996-05-01,0.732551
1996-06-01,0.729197
1996-07-01,0.656351
1996-08-01,0.597786
1996-09-01,0.570358
1996-10-01,0.840086
1996-11-01,0.729638
1996-12-01,0.781453
1997-01-01,0.830151
1997-02-01,0.845257
1997-03-01,0.522737
1997-04-01,0.522113
1997-05-01,0.576809
1997-06-01,0.481667
1997-07-01,0.512857
1997-08-01,0.474491
1997-09-01,0.414083
1997-10-01,0.261922
1997-11-01,0.416898
1997-12-01,0.386283
1998-01-01,0.015386
1998-02-01,-0.037049
1998-03-01,0.03311
1998-04-01,-0.022521
1998-05-01,0.082366
1998-06-01,0.100973
1998-07-01,0.075195
1998-08-01,0.139608
1998-09-01,0.061645
1998-10-01,0.034166
1998-11-01,-0.098536
1998-12-01,-0.168569
1999-01-01,0.072924
1999-02-01,0.288056
1999-03-01,0.467029
1999-04-01,0.593785
1999-05-01,0.575733
1999-06-01,0.574109
1999-07-01,0.735036
1999-08-01,0.945997
1999-09-01,1.21747
1999-10-01,1.23661
1999-11-01,1.304453
1999-12-01,1.668189
2000-01-01,1.585333
2000-02-01,1.623732
2000-03-01,1.482895
2000-04-01,1.402397
2000-05-01,1.580544
2000-06-01,1.839062
2000-07-01,1.88879
2000-08-01,1.124721
2000-09-01,1.439913
2000-10-01,1.332223
2000-11-01,1.912452
2000-12-01,1.493356
2001-01-01,1.295488
