date,value
1990-01-01,26.6393
1990-02-01,27.0561
1990-03-01,27.5644
1990-04-01,27.9128
1990-05-01,28.1642
1990-06-01,28.8975
1990-07-01,28.6563
1990-08-01,28.9101
1990-09-01,30.1561
1990-10-01,30.5661
1990-11-01,30.8868
1990-12-01,32.2803
1991-01-01,31.8961
1991-02-01,31.578
1991-03-01,31.1048
1991-04-01,31.0921
1991-05-01,31.4136
1991-06-01,30.9366
1991-07-01,31.5309
1991-08-01,31.1295
1991-09-01,29.951
1991-10-01,29.186
1991-11-01,28.1604
1991-12-01,26.7603
1992-01-01,27.3634
1992-02-01,27.2771
1992-03-01,27.0164
1992-04-01,27.0782
1992-05-01,27.2274
1992-06-01,28.0541
1992-07-01,28.2805
1992-08-01,27.6218
1992-09-01,26.8418
1992-10-01,26.2534
1992-11-01,25.6298
1992-12-01,25.0599
1993-01-01,24.7578
1993-02-01,24.6491
1993-03-01,24.113
1993-04-01,23.0149
1993-05-01,22.1493
1993-06-01,21.313
1993-07-01,20.409
1993-08-01,21.0065
1993-09-01,21.3546
1993-10-01,21.6073
1993-11-01,22.2955
1993-12-01,22.5257
1994-01-01,22.4189
1994-02-01,22.9287
1994-03-01,23.339
1994-04-01,23.8592
1994-05-01,23.7861
1994-06-01,23.0059
1994-07-01,22.617
1994-08-01,22.2779
1994-09-01,22.2417
1994-10-01,22.3021
1994-11-01,22.0848
1994-12-01,22.5194
1995-01-01,20.9634
1995-02-01,20.7767
1995-03-01,21.2494
1995-04-01,21.0836
1995-05-01,21.2148
1995-06-01,21.5752
1995-07-01,21.4065
1995-08-01,20.9977
1995-09-01,20.6984
1995-10-01,20.4239
1995-11-01,20.0428
1995-12-01,19.3686
1996-01-01,20.1539
1996-02-01,20.7226
1996-03-01,20.1226
1996-04-01,19.8171
1996-05-01,19.6992
1996-06-01,19.6282
1996-07-01,20.5067
1996-08-01,21.0696
1996-09-01,21.4898
1996-10-01,21.8149
1996-11-01,21.827
1996-12-01,21.5856
1997-01-01,20.5656
1997-02-01,19.5223
1997-03-01,18.8784
1997-04-01,18.4704
1997-05-01,18.5521
1997-06-01,18.6224
1997-07-01,17.8278
1997-08-01,17.8744
1997-09-01,17.9559
1997-10-01,17.7344
1997-11-01,17.746
