date,value
1990-01-01,3.28084
1990-02-01,3.820817
1990-03-01,3.669725
1990-04-01,2.574003
1990-05-01,2.560819
1990-06-01,2.307692
1990-07-01,2.310655
1990-08-01,2.827763
1990-09-01,2.675159
1990-10-01,3.034134
1990-11-01,3.831418
1990-12-01,3.831418
1991-01-01,3.939009
1991-02-01,3.553299
1991-03-01,3.666245
1991-04-01,3.513174
1991-05-01,3.49563
1991-06-01,3.383459
1991-07-01,3.513174
1991-08-01,3.25
1991-09-01,2.729529
1991-10-01,2.699387
1991-11-01,3.075031
1991-12-01,2.583026
1992-01-01,1.833741
1992-02-01,1.960784
1992-03-01,1.95122
1992-04-01,2.424242
1992-05-01,1.930036
1992-06-01,2.424242
1992-07-01,1.575758
1992-08-01,1.815981
1992-09-01,2.05314
1992-10-01,0.955795
1992-11-01,0.71599
1992-12-01,1.199041
1993-01-01,1.20048
1993-02-01,1.442308
1993-03-01,1.196172
1993-04-01,0.828402
1993-05-01,0.946746
1993-06-01,0.828402
1993-07-01,1.909308
1993-08-01,1.902497
1993-09-01,1.420118
1993-10-01,1.420118
1993-11-01,0.947867
1993-12-01,1.066351
1994-01-01,1.18624
1994-02-01,1.066351
1994-03-01,1.300236
1994-04-01,0.821596
1994-05-01,0.820633
1994-06-01,0.586854
1994-07-01,-0.117096
1994-08-01,0.0
1994-09-01,0.233372
1994-10-01,0.700117
1994-11-01,1.056338
1994-12-01,0.586166
1995-01-01,0.586166
1995-02-01,0.3517
1995-03-01,-0.233372
1995-04-01,-0.232829
1995-05-01,-0.116279
1995-06-01,0.116686
1995-07-01,0.117233
1995-08-01,-0.233372
1995-09-01,0.116414
1995-10-01,-0.695249
1995-11-01,-0.696864
1995-12-01,-0.34965
1996-01-01,-0.4662
1996-02-01,-0.46729
1996-03-01,-0.116959
1996-04-01,0.233372
1996-05-01,0.232829
1996-06-01,0.0
1996-07-01,0.351288
1996-08-01,0.233918
1996-09-01,0.0
1996-10-01,0.583431
1996-11-01,0.467836
1996-12-01,0.584795
1997-01-01,0.58548
1997-02-01,0.586854
1997-03-01,0.468384
1997-04-01,1.862631
1997-05-01,1.858304
1997-06-01,2.214452
1997-07-01,1.983664
1997-08-01,2.10035
1997-09-01,2.44186
1997-10-01,2.436195
1997-11-01,2.09546
1997-12-01,1.744186
1998-01-01,1.862631
1998-02-01,1.983664
1998-03-01,2.214452
1998-04-01,0.457143
1998-05-01,0.4561
1998-06-01,0.114025
1998-07-01,-0.114416
1998-08-01,-0.342857
1998-09-01,-0.227015
1998-10-01,0.226501
1998-11-01,0.798176
1998-12-01,0.685714
1999-01-01,0.114286
1999-02-01,-0.114416
1999-03-01,-0.342075
1999-04-01,-0.113766
1999-05-01,-0.340522
1999-06-01,-0.341686
1999-07-01,-0.114548
1999-08-01,0.344037
1999-09-01,-0.227531
1999-10-01,-0.677966
1999-11-01,-1.131222
1999-12-01,-1.135074
2000-01-01,-0.684932
2000-02-01,-0.572738
2000-03-01,-0.572082
2000-04-01,-0.797267
2000-05-01,-0.683371
2000-06-01,-0.571429
2000-07-01,-0.458716
2000-08-01,-0.571429
2000-09-01,-0.912201
2000-10-01,-1.137656
2000-11-01,-0.800915
2000-12-01,-0.344432
2001-01-01,-0.229885
2001-02-01,-0.345622
2001-03-01,-0.690449
2001-04-01,-0.688863
2001-05-01,-0.688073
2001-06-01,-0.804598
2001-07-01,-0.806452
2001-08-01,-0.689655
2001-09-01,-0.690449
2001-10-01,-0.690449
2001-11-01,-1.038062
2001-12-01,-1.267281
2002-01-01,-1.382488
2002-02-01,-1.618497
2002-03-01,-1.158749
2002-04-01,-1.040462
2002-05-01,-0.923788
2002-06-01,-0.695249
2002-07-01,-0.813008
2002-08-01,-0.925926
2002-09-01,-0.811124
2002-10-01,-0.926999
2002-11-01,-0.34965
2002-12-01,-0.233372
2003-01-01,-0.46729
2003-02-01,-0.235018
2003-03-01,-0.117233
2003-04-01,-0.116822
2003-05-01,-0.2331
2003-06-01,-0.350058
2003-07-01,-0.234192
2003-08-01,-0.233645
2003-09-01,-0.116822
2003-10-01,0.0
2003-11-01,-0.584795
2003-12-01,-0.467836
2004-01-01,-0.352113
2004-02-01,0.0
2004-03-01,-0.117371
2004-04-01,-0.467836
2004-05-01,-0.46729
2004-06-01,0.0
2004-07-01,-0.117371
2004-08-01,-0.234192
2004-09-01,0.0
2004-10-01,0.467836
2004-11-01,0.823529
2004-12-01,0.235018
2005-01-01,0.235571
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.117509
2005-05-01,0.117371
2005-06-01,-0.468384
2005-07-01,-0.235018
2005-08-01,-0.234742
2005-09-01,-0.350877
2005-10-01,-0.814901
2005-11-01,-0.933489
2005-12-01,-0.3517
2006-01-01,-0.117509
2006-02-01,-0.117786
2006-03-01,-0.117509
2006-04-01,-0.117371
2006-05-01,0.117233
2006-06-01,0.470588
2006-07-01,0.235571
