date,value
1990-01-01,7.31863
1990-02-01,7.61734
1990-03-01,7.990579
1990-04-01,8.749249
1990-05-01,8.580224
1990-06-01,8.938138
1990-07-01,9.357715
1990-08-01,8.974036
1990-09-01,8.632175
1990-10-01,8.685901
1990-11-01,8.616448
1990-12-01,9.337133
1991-01-01,9.155806
1991-02-01,9.926639
1991-03-01,10.133518
1991-04-01,9.410341
1991-05-01,8.505657
1991-06-01,8.665493
1991-07-01,9.036953
1991-08-01,9.491865
1991-09-01,9.438397
1991-10-01,9.313938
1991-11-01,9.69154
1991-12-01,9.250778
1992-01-01,7.72394
1992-02-01,6.962134
1992-03-01,6.783713
1992-04-01,6.9375
1992-05-01,7.289944
1992-06-01,6.7883
1992-07-01,6.557959
1992-08-01,5.873239
1992-09-01,5.65932
1992-10-01,5.378825
1992-11-01,4.37587
1992-12-01,4.458392
1993-01-01,4.511797
1993-02-01,4.573192
1993-03-01,4.78549
1993-04-01,4.758801
1993-05-01,4.470909
1993-06-01,4.80439
1993-07-01,4.275403
1993-08-01,4.438828
1993-09-01,4.591656
1993-10-01,5.106486
1993-11-01,5.475037
1993-12-01,5.800186
1994-01-01,6.352315
1994-02-01,6.812221
1994-03-01,6.39501
1994-04-01,5.943823
1994-05-01,5.678294
1994-06-01,5.895122
1994-07-01,6.883919
1994-08-01,7.351817
1994-09-01,6.502725
1994-10-01,5.750537
1994-11-01,6.084427
1994-12-01,5.568129
1995-01-01,5.197062
1995-02-01,4.464633
1995-03-01,4.621065
1995-04-01,5.089826
1995-05-01,5.217356
1995-06-01,4.174203
1995-07-01,3.602885
1995-08-01,3.431091
1995-09-01,4.677458
1995-10-01,4.48079
1995-11-01,4.112365
1995-12-01,4.754342
1996-01-01,4.802643
1996-02-01,4.786994
1996-03-01,4.436344
1996-04-01,4.509887
1996-05-01,4.900942
1996-06-01,5.214623
1996-07-01,5.401039
1996-08-01,5.267485
1996-09-01,4.532879
1996-10-01,5.048466
1996-11-01,5.25894
1996-12-01,4.925147
1997-01-01,4.68577
1997-02-01,4.856166
1997-03-01,4.535665
1997-04-01,4.313429
1997-05-01,3.812021
1997-06-01,4.002714
1997-07-01,3.69904
1997-08-01,3.964982
1997-09-01,4.242051
1997-10-01,4.242051
1997-11-01,4.334506
1997-12-01,6.574076
1998-01-01,8.294196
1998-02-01,9.547748
1998-03-01,8.958352
1998-04-01,8.825245
1998-05-01,8.174223
1998-06-01,7.517498
1998-07-01,7.320722
1998-08-01,6.904263
1998-09-01,6.871065
1998-10-01,7.231053
1998-11-01,6.776363
1998-12-01,3.965497
1999-01-01,1.463261
1999-02-01,0.169235
1999-03-01,0.506936
1999-04-01,0.420748
1999-05-01,0.762511
1999-06-01,0.596868
1999-07-01,0.254161
1999-08-01,0.936397
