date,value
1990-01-01,60.0000209487
1990-02-01,59.4999924187
1990-03-01,62.7999877056
1990-04-01,63.5000122362
1990-05-01,63.600001569
1990-06-01,62.5999865828
1990-07-01,56.3000012783
1990-08-01,54.7999897946
1990-09-01,59.3000048163
1990-10-01,60.2999872695
1990-11-01,61.2999871207
1990-12-01,60.4000026141
1991-01-01,61.9899967543
1991-02-01,63.5399916122
1991-03-01,62.2700057054
1991-04-01,62.1499959006
1991-05-01,62.4499958749
1991-06-01,64.880001265
1991-07-01,68.5999979123
1991-08-01,70.9599982448
1991-09-01,66.8499948053
1991-10-01,66.4700014226
1991-11-01,66.8500013742
1991-12-01,71.1400008964
1992-01-01,84.1499961527
1992-02-01,77.8400004469
1992-03-01,78.6900015081
1992-04-01,73.9900072607
1992-05-01,69.8600014974
1992-06-01,65.7900036665
1992-07-01,65.8000031658
1992-08-01,65.540003562
1992-09-01,67.6700012084
1992-10-01,69.1800015121
1992-11-01,68.5900024688
1992-12-01,65.9699984054
1993-01-01,59.7700037013
1993-02-01,58.1600024824
1993-03-01,58.0100001511
1993-04-01,58.9699963919
1993-05-01,65.0300024109
1993-06-01,67.2400006819
1993-07-01,73.1199986264
1993-08-01,71.1999957645
1993-09-01,68.2500039323
1993-10-01,67.200001133
1993-11-01,69.6200004721
1993-12-01,71.0799999801
1994-01-01,69.6499965716
1994-02-01,72.9599983853
1994-03-01,73.6499992549
1994-04-01,107.45000165
1994-05-01,117.7999991815
1994-06-01,115.7999975674
1994-07-01,109.3000019279
1994-08-01,108.0000023856
1994-09-01,111.0999988667
1994-10-01,116.3000000715
1994-11-01,119.700000111
1994-12-01,125.5000009839
1995-01-01,130.6000010104
1995-02-01,130.0
1995-03-01,127.6999987374
1995-04-01,94.2999991008
1995-05-01,82.3999996835
1995-06-01,84.4000002208
1995-07-01,86.4999998566
1995-08-01,89.8999992938
1995-09-01,91.2999993323
1995-10-01,88.2999997128
1995-11-01,83.7999999102
1995-12-01,78.9000002732
1996-01-01,78.100000132
1996-02-01,77.4999994603
1996-03-01,79.2999996762
1996-04-01,80.8000003608
1996-05-01,82.9000003012
1996-06-01,82.8999997369
1996-07-01,81.1999998633
1996-08-01,81.9000000459
1996-09-01,79.3000003536
1996-10-01,79.6000002255
1996-11-01,80.4000003001
1996-12-01,79.8000000305
1997-01-01,75.7000003107
1997-02-01,77.700000065
1997-03-01,77.3000000907
1997-04-01,77.2000001927
1997-05-01,77.5000000494
1997-06-01,78.0000001385
1997-07-01,85.2000000604
1997-08-01,87.7999997202
1997-09-01,89.9000000489
1997-10-01,93.1999997097
1997-11-01,95.7999999023
1997-12-01,99.0999999601
1998-01-01,101.5999999731
1998-02-01,99.3000000325
1998-03-01,97.2000000981
1998-04-01,93.5999999923
1998-05-01,91.3999998174
1998-06-01,90.5999998946
1998-07-01,85.2999998696
1998-08-01,81.400000145
1998-09-01,80.3999999988
1998-10-01,76.600000134
1998-11-01,72.8000000879
1998-12-01,69.7000000955
1999-01-01,65.9000000112
1999-02-01,63.9000000485
1999-03-01,63.5000000403
1999-04-01,63.9000000071
1999-05-01,63.0000000572
1999-06-01,64.3000000068
1999-07-01,64.9999999954
1999-08-01,65.3999999574
1999-09-01,64.3000000231
1999-10-01,64.69999991
1999-11-01,64.6000000076
1999-12-01,68.799999967
2000-01-01,68.9000000076
2000-02-01,69.6999999561
2000-03-01,67.9000000364
2000-04-01,63.7999999977
2000-05-01,62.6999999866
2000-06-01,58.5999999745
2000-07-01,56.2000000021
2000-08-01,53.200000045
2000-09-01,48.999999989
2000-10-01,44.4000000445
2000-11-01,43.8000000111
2000-12-01,38.9999999926
2001-01-01,35.9000000088
2001-02-01,33.4000000045
2001-03-01,37.4999999762
2001-04-01,48.2999999984
2001-05-01,52.3999999863
2001-06-01,56.1000000137
2001-07-01,56.3000000234
2001-08-01,57.4999999751
2001-09-01,61.7999999799
2001-10-01,66.4999999891
2001-11-01,67.299999992
2001-12-01,68.5000000186
2002-01-01,73.2000000168
2002-02-01,73.0999999725
2002-03-01,65.1000000235
2002-04-01,52.699999993
2002-05-01,46.1999999883
2002-06-01,42.5999999901
2002-07-01,41.2999999762
2002-08-01,40.2000000173
2002-09-01,37.0000000008
2002-10-01,33.3999999955
2002-11-01,31.79999999
2002-12-01,29.6999999838
2003-01-01,28.5130294461
2003-02-01,29.2053588599
2003-03-01,32.2684653042
2003-04-01,30.4603204893
2003-05-01,31.887706638
2003-06-01,28.6521019552
2003-07-01,29.2288520614
2003-08-01,29.7093112744
2003-09-01,23.8660969771
2003-10-01,17.4445584436
2003-11-01,14.0788696392
2003-12-01,13.9112693011
2004-01-01,10.5940698533
2004-02-01,9.4772939832
2004-03-01,8.3978801468
2004-04-01,7.8716318498
2004-05-01,7.3070771691
2004-06-01,7.0815021974
2004-07-01,7.7954568198
2004-08-01,8.4424018383
2004-09-01,8.0145899054
2004-10-01,9.425669076
2004-11-01,9.4714506173
2004-12-01,9.3545908567
2005-01-01,9.2316544251
2005-02-01,8.6978544154
2005-03-01,7.9448270468
2005-04-01,8.1767412511
2005-05-01,8.7006239832
2005-06-01,8.9545005775
2005-07-01,7.8166722554
2005-08-01,7.9142441112
2005-09-01,7.9950000155
2005-10-01,7.5159544429
2005-11-01,7.6124453042
2005-12-01,7.7201177327
2006-01-01,7.9349912293
2006-02-01,8.1448587771
2006-03-01,8.1613099398
2006-04-01,8.8298884534
2006-05-01,9.8637417513
2006-06-01,10.1189966331
2006-07-01,11.692784618
2006-08-01,10.2621016756
2006-09-01,10.546776143
2006-10-01,9.9792445266
2006-11-01,9.8575407474
2006-12-01,9.6534856894
2007-01-01,9.9295945805
2007-02-01,10.1582687971
2007-03-01,10.8632629889
2007-04-01,10.719962102
2007-05-01,9.227768916
2007-06-01,8.5983053614
2007-07-01,6.8994757259
2007-08-01,7.394502597
2007-09-01,7.124837553
2007-10-01,7.6998564913
2007-11-01,8.3991653221
2007-12-01,8.3872405543
2008-01-01,8.1713780938
2008-02-01,9.1042370255
2008-03-01,9.1523207551
2008-04-01,9.6605181482
2008-05-01,10.7405557497
2008-06-01,10.6092060282
2008-07-01,12.064613928
2008-08-01,11.7664024616
2008-09-01,11.1253834328
2008-10-01,11.9857014352
2008-11-01,10.7597111354
2008-12-01,10.0637992105
2009-01-01,9.5004763449
2009-02-01,7.7331361944
2009-03-01,7.8858055481
2009-04-01,6.1260552541
2009-05-01,5.2363448506
2009-06-01,5.7342565754
2009-07-01,5.392535439
2009-08-01,5.3347953572
2009-09-01,5.272283615
2009-10-01,5.0760467211
2009-11-01,5.5307263132
2009-12-01,6.5258039086
2010-01-01,8.1852082894
2010-02-01,10.1278452925
2010-03-01,9.5608191865
2010-04-01,10.1942646138
2010-05-01,9.0998222532
2010-06-01,8.3675094172
2010-07-01,7.577237772
2010-08-01,8.3348644018
2010-09-01,9.2356494124
2010-10-01,8.6192518791
2010-11-01,7.2878064794
2010-12-01,6.4010298338
2011-01-01,4.9003273838
2011-02-01,4.1565207283
2011-03-01,3.9860376995
2011-04-01,4.2646071039
2011-05-01,7.1725455031
2011-06-01,6.2358788707
2011-07-01,6.3113683547
2011-08-01,6.6534765574
2011-09-01,6.1540180056
2011-10-01,7.655607318
2011-11-01,9.4846491068
2011-12-01,10.4481715694
2012-01-01,10.613362482
2012-02-01,10.433316997
2012-03-01,10.4277205068
2012-04-01,11.1379495281
2012-05-01,8.2804884371
2012-06-01,8.8685666696
2012-07-01,9.0651859463
2012-08-01,8.8832351876
2012-09-01,9.1851227728
2012-10-01,7.7988895711
2012-11-01,6.3695543746
2012-12-01,6.1638038379
2013-01-01,7.3076543191
2013-02-01,7.0254038582
2013-03-01,7.2906453104
2013-04-01,6.1337841928
2013-05-01,6.5146894879
2013-06-01,8.2975189996
2013-07-01,8.8844290716
2013-08-01,8.1682325227
2013-09-01,7.8824379834
2013-10-01,7.7119364368
2013-11-01,7.3156954145
2013-12-01,7.4004596342
2014-01-01,7.7512226481
2014-02-01,7.8890472538
2014-03-01,8.3855046721
2014-04-01,9.3833900994
2014-05-01,9.6560185233
2014-06-01,9.1634722956
2014-07-01,9.3193670456
2014-08-01,9.536024587
2014-09-01,8.8562368579
2014-10-01,8.9628850282
2014-11-01,9.1507281715
2014-12-01,8.169948848
2015-01-01,7.2407296203
2015-02-01,7.5466871677
2015-03-01,7.6102537956
2015-04-01,7.912801197
2015-05-01,8.0929885717
2015-06-01,7.2045276078
2015-07-01,6.8141628823
2015-08-01,7.1405094133
2015-09-01,7.9469927383
2015-10-01,7.581430913
2015-11-01,8.1022425421
2015-12-01,8.8083320368
2016-01-01,9.5787582829
2016-02-01,8.7773548803
2016-03-01,7.4599381511
2016-04-01,6.565403466
2016-05-01,6.5823270353
2016-06-01,7.637470679
2016-07-01,8.7934087984
2016-08-01,8.0450955008
2016-09-01,7.2821253158
2016-10-01,7.1594310976
2016-11-01,7.0005204706
2016-12-01,8.5330562908
2017-01-01,9.2187727078
2017-02-01,10.1282892285
2017-03-01,11.2917927889
2017-04-01,11.8696186231
2017-05-01,11.7221783195
2017-06-01,10.9010846904
2017-07-01,9.7883785465
2017-08-01,10.679301488
2017-09-01,11.1984979272
2017-10-01,11.8988580444
2017-11-01,12.9842604885
2017-12-01,11.919737524
2018-01-01,10.3456329606
2018-02-01,10.2591256942
2018-03-01,10.2345695125
2018-04-01,10.8495294799
2018-05-01,12.1470653719
2018-06-01,15.3851120444
2018-07-01,15.8490200604
2018-08-01,17.8964245824
2018-09-01,24.5189244774
2018-10-01,25.2403245871
2018-11-01,21.618795746
2018-12-01,20.3017622497
2019-01-01,20.3537414828
2019-02-01,19.6716390913
2019-03-01,19.7129100599
2019-04-01,19.5023046921
2019-05-01,18.7116036118
2019-06-01,15.7201208486
2019-07-01,16.6467266467
2019-08-01,15.0084316612
2019-09-01,9.2621020765
2019-10-01,8.5528446912
2019-11-01,10.56184885
2019-12-01,11.8360922005
2020-01-01,12.1536413245
2020-02-01,12.3673847756
2020-03-01,11.8591892125
2020-04-01,10.9366990056
2020-05-01,11.3900174212
2020-06-01,12.6223920562
2020-07-01,11.7641446318
2020-08-01,11.7704096189
2020-09-01,11.7483140113
2020-10-01,11.8896209502
2020-11-01,14.0263007909
2020-12-01,14.5993190137
2021-01-01,14.9736811903
2021-02-01,15.610910237
2021-03-01,16.1902437095
2021-04-01,17.1401535881
2021-05-01,16.5928531418
2021-06-01,17.5253305594
2021-07-01,18.9516817505
2021-08-01,19.2526607451
2021-09-01,19.5825737227
2021-10-01,19.8900242589
2021-11-01,21.3125275548
2021-12-01,36.0809016775
2022-01-01,48.6908241062
2022-02-01,54.4385666796
2022-03-01,61.1445380271
2022-04-01,69.9710700309
2022-05-01,73.4959500618
2022-06-01,78.6183970249
2022-07-01,79.6020524917
2022-08-01,80.2075940981
2022-09-01,83.4524935821
2022-10-01,85.5147863926
2022-11-01,84.389259965
2022-12-01,64.2695975302
2023-01-01,57.6824810665
2023-02-01,55.1798282334
2023-03-01,50.5085107094
2023-04-01,43.6841698017
2023-05-01,39.5853009598
2023-06-01,38.2135187587
2023-07-01,47.8317333074
2023-08-01,58.9435336881
2023-09-01,61.5298646138
2023-10-01,61.3570110517
2023-11-01,61.9801660556
2023-12-01,64.7729185907
2024-01-01,64.85691494
2024-02-01,67.0691919309
2024-03-01,68.4953731307
2024-04-01,69.8024675941
2024-05-01,75.4459480115
2024-06-01,71.59715593
2024-07-01,61.7810033737
2024-08-01,51.974527803
2024-09-01,49.3849938528
2024-10-01,48.5847087881
2024-11-01,47.0927207319
2024-12-01,44.378771424
2025-01-01,42.1180229902
2025-02-01,39.0509576115
2025-03-01,38.1038294458
2025-04-01,37.8586636464
2025-05-01,35.4050441526
2025-06-01,35.0486571241
2025-07-01,33.5224092479
2025-08-01,32.9501821976
2025-09-01,33.2940114719
2025-10-01,32.8668557228
2025-11-01,31.0748410984
2025-12-01,30.8923283161
2026-01-01,30.6527801241
2026-02-01,31.5348374549
2026-03-01,30.8654535273
2026-04-01,32.3717402433
2026-05-01,32.6148019946
2026-06-01,32.1090360322
2026-07-01,31.7540967906
