date,value
1956-01-01,102.445
1956-02-01,102.2634
1956-03-01,102.0691
1956-04-01,101.8468
1956-05-01,101.6043
1956-06-01,101.3722
1956-07-01,101.1691
1956-08-01,100.9896
1956-09-01,100.809
1956-10-01,100.6174
1956-11-01,100.4223
1956-12-01,100.2311
1957-01-01,100.0238
1957-02-01,99.78602
1957-03-01,99.53062
1957-04-01,99.25599
1957-05-01,98.96518
1957-06-01,98.64308
1957-07-01,98.28292
1957-08-01,97.90445
1957-09-01,97.5574
1957-10-01,97.29884
1957-11-01,97.17352
1957-12-01,97.18501
1958-01-01,97.34701
1958-02-01,97.67194
1958-03-01,98.13725
1958-04-01,98.71259
1958-05-01,99.35876
1958-06-01,100.0178
1958-07-01,100.634
1958-08-01,101.1655
1958-09-01,101.593
1958-10-01,101.912
1958-11-01,102.1254
1958-12-01,102.2589
1959-01-01,102.3455
1959-02-01,102.3796
1959-03-01,102.341
1959-04-01,102.219
1959-05-01,102.0017
1959-06-01,101.6891
1959-07-01,101.2962
1959-08-01,100.8653
1959-09-01,100.4713
1959-10-01,100.172
1959-11-01,99.96169
1959-12-01,99.80636
1960-01-01,99.644
1960-02-01,99.44122
1960-03-01,99.23228
1960-04-01,99.04823
1960-05-01,98.91889
1960-06-01,98.85683
1960-07-01,98.85474
1960-08-01,98.90385
1960-09-01,98.96619
1960-10-01,99.03969
1960-11-01,99.13972
1960-12-01,99.28353
1961-01-01,99.48189
1961-02-01,99.74298
1961-03-01,100.0604
1961-04-01,100.4127
1961-05-01,100.7651
1961-06-01,101.0975
1961-07-01,101.3854
1961-08-01,101.5976
1961-09-01,101.7064
1961-10-01,101.7221
1961-11-01,101.6609
1961-12-01,101.5227
1962-01-01,101.3016
1962-02-01,101.0175
1962-03-01,100.6794
1962-04-01,100.3058
1962-05-01,99.93732
1962-06-01,99.61956
1962-07-01,99.39138
1962-08-01,99.27419
1962-09-01,99.27352
1962-10-01,99.37151
1962-11-01,99.52962
1962-12-01,99.70863
1963-01-01,99.88541
1963-02-01,100.0548
1963-03-01,100.2227
1963-04-01,100.3879
1963-05-01,100.5105
1963-06-01,100.563
1963-07-01,100.5764
1963-08-01,100.588
1963-09-01,100.631
1963-10-01,100.6942
1963-11-01,100.777
1963-12-01,100.886
1964-01-01,101.0138
1964-02-01,101.1327
1964-03-01,101.235
1964-04-01,101.301
1964-05-01,101.3384
1964-06-01,101.3622
1964-07-01,101.3782
1964-08-01,101.3942
1964-09-01,101.4095
1964-10-01,101.4209
1964-11-01,101.4364
1964-12-01,101.4551
1965-01-01,101.4705
1965-02-01,101.476
1965-03-01,101.467
1965-04-01,101.4209
1965-05-01,101.3371
1965-06-01,101.2371
1965-07-01,101.1558
1965-08-01,101.1048
1965-09-01,101.086
1965-10-01,101.1029
1965-11-01,101.1454
1965-12-01,101.1911
1966-01-01,101.1999
1966-02-01,101.1351
1966-03-01,100.9814
1966-04-01,100.7461
1966-05-01,100.4606
1966-06-01,100.1672
1966-07-01,99.89048
1966-08-01,99.6458
1966-09-01,99.45309
1966-10-01,99.3168
1966-11-01,99.22334
1966-12-01,99.16976
1967-01-01,99.15142
1967-02-01,99.16609
1967-03-01,99.20831
1967-04-01,99.27978
1967-05-01,99.37919
1967-06-01,99.51451
1967-07-01,99.672
1967-08-01,99.82734
1967-09-01,99.94854
1967-10-01,100.0144
1967-11-01,100.031
1967-12-01,100.0062
1968-01-01,99.94344
1968-02-01,99.87746
1968-03-01,99.8604
1968-04-01,99.91753
1968-05-01,100.0262
1968-06-01,100.1839
1968-07-01,100.3918
1968-08-01,100.6375
1968-09-01,100.8999
1968-10-01,101.1507
1968-11-01,101.3552
1968-12-01,101.4911
1969-01-01,101.5593
1969-02-01,101.5457
1969-03-01,101.4476
1969-04-01,101.2604
1969-05-01,100.9991
1969-06-01,100.6735
1969-07-01,100.3334
1969-08-01,100.0205
1969-09-01,99.73687
1969-10-01,99.46707
1969-11-01,99.1868
1969-12-01,98.88998
1970-01-01,98.58654
1970-02-01,98.29901
1970-03-01,98.02469
1970-04-01,97.78078
1970-05-01,97.59234
1970-06-01,97.47012
1970-07-01,97.39983
1970-08-01,97.39134
1970-09-01,97.4513
1970-10-01,97.61263
1970-11-01,97.90386
1970-12-01,98.32558
1971-01-01,98.82253
1971-02-01,99.33212
1971-03-01,99.78983
1971-04-01,100.1757
1971-05-01,100.479
1971-06-01,100.7034
1971-07-01,100.8579
1971-08-01,100.9519
1971-09-01,101.0063
1971-10-01,101.0607
1971-11-01,101.1671
1971-12-01,101.3387
1972-01-01,101.5388
1972-02-01,101.7221
1972-03-01,101.8771
1972-04-01,102.0139
1972-05-01,102.1449
1972-06-01,102.2883
1972-07-01,102.4784
1972-08-01,102.7455
1972-09-01,103.0669
1972-10-01,103.3991
1972-11-01,103.6971
1972-12-01,103.9057
1973-01-01,103.9927
1973-02-01,103.947
1973-03-01,103.7858
1973-04-01,103.5394
1973-05-01,103.2546
1973-06-01,102.984
1973-07-01,102.7617
1973-08-01,102.5912
1973-09-01,102.4871
1973-10-01,102.4044
1973-11-01,102.2855
1973-12-01,102.1192
1974-01-01,101.9042
1974-02-01,101.6164
1974-03-01,101.2387
1974-04-01,100.7647
1974-05-01,100.2094
1974-06-01,99.59756
1974-07-01,98.95773
1974-08-01,98.30925
1974-09-01,97.70042
1974-10-01,97.18212
1974-11-01,96.80215
1974-12-01,96.61411
1975-01-01,96.66133
1975-02-01,96.91189
1975-03-01,97.29303
1975-04-01,97.7552
1975-05-01,98.23804
1975-06-01,98.70023
1975-07-01,99.10309
1975-08-01,99.42015
1975-09-01,99.65011
1975-10-01,99.82422
1975-11-01,99.97631
1975-12-01,100.1209
1976-01-01,100.2616
1976-02-01,100.3729
1976-03-01,100.4263
1976-04-01,100.4091
1976-05-01,100.313
1976-06-01,100.1537
1976-07-01,99.97122
1976-08-01,99.8093
1976-09-01,99.67853
1976-10-01,99.62141
1976-11-01,99.66836
1976-12-01,99.81071
1977-01-01,99.99376
1977-02-01,100.188
1977-03-01,100.3677
1977-04-01,100.5051
1977-05-01,100.6012
1977-06-01,100.6535
1977-07-01,100.6642
1977-08-01,100.654
1977-09-01,100.6588
1977-10-01,100.7007
1977-11-01,100.7866
1977-12-01,100.9083
1978-01-01,101.047
1978-02-01,101.2132
1978-03-01,101.4143
1978-04-01,101.6353
1978-05-01,101.851
1978-06-01,102.0381
1978-07-01,102.1881
1978-08-01,102.3009
1978-09-01,102.3791
1978-10-01,102.4028
1978-11-01,102.3763
1978-12-01,102.2966
1979-01-01,102.1703
1979-02-01,102.0175
1979-03-01,101.866
1979-04-01,101.7292
1979-05-01,101.6113
1979-06-01,101.5037
1979-07-01,101.3897
1979-08-01,101.2563
1979-09-01,101.0864
1979-10-01,100.8938
1979-11-01,100.7134
1979-12-01,100.5559
1980-01-01,100.4088
1980-02-01,100.2207
1980-03-01,100.0189
1980-04-01,99.87746
1980-05-01,99.87159
1980-06-01,100.0542
1980-07-01,100.4067
1980-08-01,100.8439
1980-09-01,101.2601
1980-10-01,101.5518
1980-11-01,101.6509
1980-12-01,101.5388
1981-01-01,101.2761
1981-02-01,100.9506
1981-03-01,100.6024
1981-04-01,100.213
1981-05-01,99.74352
1981-06-01,99.17898
1981-07-01,98.54507
1981-08-01,97.87984
1981-09-01,97.23565
1981-10-01,96.65581
1981-11-01,96.15086
1981-12-01,95.71729
1982-01-01,95.33949
1982-02-01,95.0129
1982-03-01,94.73613
1982-04-01,94.5276
1982-05-01,94.41152
1982-06-01,94.41217
1982-07-01,94.55185
1982-08-01,94.84852
1982-09-01,95.29831
1982-10-01,95.89992
1982-11-01,96.64837
1982-12-01,97.50603
1983-01-01,98.39622
1983-02-01,99.25651
1983-03-01,100.0393
1983-04-01,100.7232
1983-05-01,101.2902
1983-06-01,101.7314
1983-07-01,102.043
1983-08-01,102.233
1983-09-01,102.3232
1983-10-01,102.3158
1983-11-01,102.2123
1983-12-01,102.0014
1984-01-01,101.699
1984-02-01,101.3411
1984-03-01,100.9595
1984-04-01,100.5789
1984-05-01,100.2181
1984-06-01,99.89636
1984-07-01,99.62579
1984-08-01,99.41057
1984-09-01,99.24386
1984-10-01,99.13631
1984-11-01,99.09648
1984-12-01,99.12167
1985-01-01,99.21059
1985-02-01,99.34512
1985-03-01,99.51479
1985-04-01,99.70818
1985-05-01,99.91187
1985-06-01,100.1067
1985-07-01,100.2878
1985-08-01,100.4545
1985-09-01,100.5963
1985-10-01,100.702
1985-11-01,100.755
1985-12-01,100.7418
1986-01-01,100.6849
1986-02-01,100.6208
1986-03-01,100.5767
1986-04-01,100.5492
1986-05-01,100.5236
1986-06-01,100.4933
1986-07-01,100.482
1986-08-01,100.5136
1986-09-01,100.6054
1986-10-01,100.7733
1986-11-01,101.0219
1986-12-01,101.3507
1987-01-01,101.7319
1987-02-01,102.1137
1987-03-01,102.4525
1987-04-01,102.7082
1987-05-01,102.8596
1987-06-01,102.9052
1987-07-01,102.8487
1987-08-01,102.6983
1987-09-01,102.4825
1987-10-01,102.2496
1987-11-01,102.0446
1987-12-01,101.8843
1988-01-01,101.7492
1988-02-01,101.6257
1988-03-01,101.5104
1988-04-01,101.3997
1988-05-01,101.3046
1988-06-01,101.2298
1988-07-01,101.1544
1988-08-01,101.0828
1988-09-01,101.0108
1988-10-01,100.9345
1988-11-01,100.8484
1988-12-01,100.7341
1989-01-01,100.5635
1989-02-01,100.3226
1989-03-01,100.0274
1989-04-01,99.71618
1989-05-01,99.43353
1989-06-01,99.21467
1989-07-01,99.07011
1989-08-01,98.98413
1989-09-01,98.93463
1989-10-01,98.89513
1989-11-01,98.84763
1989-12-01,98.77284
1990-01-01,98.66405
1990-02-01,98.54205
1990-03-01,98.39553
1990-04-01,98.21388
1990-05-01,98.00185
1990-06-01,97.75218
1990-07-01,97.4754
1990-08-01,97.19897
1990-09-01,96.96798
1990-10-01,96.82124
1990-11-01,96.77837
1990-12-01,96.85402
1991-01-01,97.04525
1991-02-01,97.34302
1991-03-01,97.72404
1991-04-01,98.14719
1991-05-01,98.55926
1991-06-01,98.90952
1991-07-01,99.15965
1991-08-01,99.29036
1991-09-01,99.30984
1991-10-01,99.25069
1991-11-01,99.16326
1991-12-01,99.10028
1992-01-01,99.09747
1992-02-01,99.16668
1992-03-01,99.28101
1992-04-01,99.41471
1992-05-01,99.53472
1992-06-01,99.60921
1992-07-01,99.62662
1992-08-01,99.59436
1992-09-01,99.53394
1992-10-01,99.47959
1992-11-01,99.44906
1992-12-01,99.45119
1993-01-01,99.47818
1993-02-01,99.51523
1993-03-01,99.54909
1993-04-01,99.57695
1993-05-01,99.61903
1993-06-01,99.6924
1993-07-01,99.8113
1993-08-01,99.98547
1993-09-01,100.2008
1993-10-01,100.4407
1993-11-01,100.6925
1993-12-01,100.9514
1994-01-01,101.2049
1994-02-01,101.4349
1994-03-01,101.629
1994-04-01,101.7748
1994-05-01,101.876
1994-06-01,101.9287
1994-07-01,101.9356
1994-08-01,101.8825
1994-09-01,101.7528
1994-10-01,101.5474
1994-11-01,101.2655
1994-12-01,100.9145
1995-01-01,100.5046
1995-02-01,100.0456
1995-03-01,99.5784
1995-04-01,99.14672
1995-05-01,98.78474
1995-06-01,98.50977
1995-07-01,98.30962
1995-08-01,98.15678
1995-09-01,98.03362
1995-10-01,97.95291
1995-11-01,97.94555
1995-12-01,98.02459
1996-01-01,98.17911
1996-02-01,98.38589
1996-03-01,98.63001
1996-04-01,98.90022
1996-05-01,99.16965
1996-06-01,99.41287
1996-07-01,99.6152
1996-08-01,99.78861
1996-09-01,99.94627
1996-10-01,100.1048
1996-11-01,100.2805
1996-12-01,100.4591
1997-01-01,100.6361
1997-02-01,100.8058
1997-03-01,100.9763
1997-04-01,101.1593
1997-05-01,101.3425
1997-06-01,101.4936
1997-07-01,101.5834
1997-08-01,101.5718
1997-09-01,101.4782
1997-10-01,101.3286
1997-11-01,101.1527
1997-12-01,100.9697
1998-01-01,100.7755
1998-02-01,100.5613
1998-03-01,100.2909
1998-04-01,99.93337
1998-05-01,99.49874
1998-06-01,99.03911
1998-07-01,98.64101
1998-08-01,98.37295
1998-09-01,98.26031
1998-10-01,98.30663
1998-11-01,98.47768
1998-12-01,98.73438
1999-01-01,99.0282
1999-02-01,99.30621
1999-03-01,99.54185
1999-04-01,99.72031
1999-05-01,99.84781
1999-06-01,99.94049
1999-07-01,100.0181
1999-08-01,100.1096
1999-09-01,100.227
1999-10-01,100.3771
1999-11-01,100.5586
1999-12-01,100.7483
2000-01-01,100.9167
2000-02-01,101.057
2000-03-01,101.1608
2000-04-01,101.2157
2000-05-01,101.2289
2000-06-01,101.1974
2000-07-01,101.1012
2000-08-01,100.9161
2000-09-01,100.6302
2000-10-01,100.2611
2000-11-01,99.8493
2000-12-01,99.44701
2001-01-01,99.08953
2001-02-01,98.80271
2001-03-01,98.60123
2001-04-01,98.47076
2001-05-01,98.38316
2001-06-01,98.31914
2001-07-01,98.29192
2001-08-01,98.32727
2001-09-01,98.44425
2001-10-01,98.67247
2001-11-01,99.03294
2001-12-01,99.4755
2002-01-01,99.93766
2002-02-01,100.3463
2002-03-01,100.6356
2002-04-01,100.7666
2002-05-01,100.7412
2002-06-01,100.5787
2002-07-01,100.3171
2002-08-01,100.0222
2002-09-01,99.73338
2002-10-01,99.4655
2002-11-01,99.23663
2002-12-01,99.04468
2003-01-01,98.87606
2003-02-01,98.72074
2003-03-01,98.61626
2003-04-01,98.59956
2003-05-01,98.67623
2003-06-01,98.83989
2003-07-01,99.08797
2003-08-01,99.38662
2003-09-01,99.71516
2003-10-01,100.0397
2003-11-01,100.3399
2003-12-01,100.5939
2004-01-01,100.7907
2004-02-01,100.9143
2004-03-01,100.9627
2004-04-01,100.9358
2004-05-01,100.8427
2004-06-01,100.716
2004-07-01,100.5752
2004-08-01,100.4321
2004-09-01,100.306
2004-10-01,100.2087
2004-11-01,100.1463
2004-12-01,100.1133
2005-01-01,100.085
2005-02-01,100.0352
2005-03-01,99.96214
2005-04-01,99.8794
2005-05-01,99.81084
2005-06-01,99.76655
2005-07-01,99.74829
2005-08-01,99.76044
2005-09-01,99.81592
2005-10-01,99.91536
2005-11-01,100.0442
2005-12-01,100.176
2006-01-01,100.2862
2006-02-01,100.3452
2006-03-01,100.3533
2006-04-01,100.3169
2006-05-01,100.2414
2006-06-01,100.1609
2006-07-01,100.0904
2006-08-01,100.0462
2006-09-01,100.0395
2006-10-01,100.0866
2006-11-01,100.1862
2006-12-01,100.3157
2007-01-01,100.4333
2007-02-01,100.5349
2007-03-01,100.6209
2007-04-01,100.6892
2007-05-01,100.7311
2007-06-01,100.7454
2007-07-01,100.7338
2007-08-01,100.6985
2007-09-01,100.6443
2007-10-01,100.5691
2007-11-01,100.4809
2007-12-01,100.3957
2008-01-01,100.3402
2008-02-01,100.3081
2008-03-01,100.2707
2008-04-01,100.2009
2008-05-01,100.0557
2008-06-01,99.78976
2008-07-01,99.37566
2008-08-01,98.79987
2008-09-01,98.08894
2008-10-01,97.32251
2008-11-01,96.61301
2008-12-01,96.06165
2009-01-01,95.75379
2009-02-01,95.71205
2009-03-01,95.93044
2009-04-01,96.37901
2009-05-01,96.98543
2009-06-01,97.69086
2009-07-01,98.43196
2009-08-01,99.1385
2009-09-01,99.7602
2009-10-01,100.2768
2009-11-01,100.6988
2009-12-01,101.0482
2010-01-01,101.32
2010-02-01,101.4928
2010-03-01,101.5752
2010-04-01,101.5594
2010-05-01,101.4596
2010-06-01,101.304
2010-07-01,101.1503
2010-08-01,101.0502
2010-09-01,101.0275
2010-10-01,101.0754
2010-11-01,101.1646
2010-12-01,101.26
2011-01-01,101.3122
2011-02-01,101.2686
2011-03-01,101.1144
2011-04-01,100.8735
2011-05-01,100.5794
2011-06-01,100.2877
2011-07-01,100.0297
2011-08-01,99.81922
2011-09-01,99.67135
2011-10-01,99.5811
2011-11-01,99.54327
2011-12-01,99.5381
2012-01-01,99.54724
2012-02-01,99.54699
2012-03-01,99.52441
2012-04-01,99.46926
2012-05-01,99.38741
2012-06-01,99.29297
2012-07-01,99.21072
2012-08-01,99.15715
2012-09-01,99.1347
2012-10-01,99.13473
2012-11-01,99.16354
2012-12-01,99.21752
2013-01-01,99.28772
2013-02-01,99.35105
2013-03-01,99.39099
2013-04-01,99.42558
2013-05-01,99.49046
2013-06-01,99.59225
2013-07-01,99.72649
2013-08-01,99.87847
2013-09-01,100.0171
2013-10-01,100.1162
2013-11-01,100.1685
2013-12-01,100.1852
2014-01-01,100.202
2014-02-01,100.2456
2014-03-01,100.3102
2014-04-01,100.3865
2014-05-01,100.4668
2014-06-01,100.5373
2014-07-01,100.585
2014-08-01,100.5921
2014-09-01,100.5488
2014-10-01,100.4553
2014-11-01,100.3244
2014-12-01,100.1665
2015-01-01,99.98771
2015-02-01,99.81641
2015-03-01,99.6763
2015-04-01,99.56568
2015-05-01,99.47449
2015-06-01,99.37626
2015-07-01,99.24976
2015-08-01,99.09692
2015-09-01,98.93819
2015-10-01,98.79316
2015-11-01,98.66933
2015-12-01,98.57376
2016-01-01,98.52939
2016-02-01,98.55434
2016-03-01,98.65115
2016-04-01,98.79624
2016-05-01,98.9668
2016-06-01,99.14644
2016-07-01,99.32566
2016-08-01,99.49829
2016-09-01,99.67571
2016-10-01,99.8634
2016-11-01,100.0642
2016-12-01,100.2545
2017-01-01,100.4067
2017-02-01,100.5121
2017-03-01,100.5749
2017-04-01,100.6134
2017-05-01,100.6427
2017-06-01,100.6713
2017-07-01,100.7089
2017-08-01,100.7641
