date,value
2003-11-01,101.6768
2003-12-01,102.159
2004-01-01,102.8746
2004-02-01,103.2711
2004-03-01,103.2706
2004-04-01,102.8904
2004-05-01,102.4837
2004-06-01,102.388
2004-07-01,102.5816
2004-08-01,102.7346
2004-09-01,102.7759
2004-10-01,102.5447
2004-11-01,102.3222
2004-12-01,102.4353
2005-01-01,102.8564
2005-02-01,103.0402
2005-03-01,102.8506
2005-04-01,102.3848
2005-05-01,101.899
2005-06-01,101.7928
2005-07-01,101.8797
2005-08-01,102.1363
2005-09-01,102.4277
2005-10-01,102.4389
2005-11-01,102.3077
2005-12-01,102.2276
2006-01-01,102.4293
2006-02-01,102.8217
2006-03-01,102.8515
2006-04-01,102.3969
2006-05-01,101.6887
2006-06-01,101.0572
2006-07-01,100.8509
2006-08-01,100.8172
2006-09-01,101.0286
2006-10-01,101.1502
2006-11-01,101.2059
2006-12-01,101.3461
2007-01-01,101.7527
2007-02-01,101.9712
2007-03-01,101.8306
2007-04-01,101.4692
2007-05-01,101.2816
2007-06-01,101.333
2007-07-01,101.4527
2007-08-01,101.7012
2007-09-01,102.0126
2007-10-01,101.987
2007-11-01,101.6769
2007-12-01,101.4923
2008-01-01,101.3557
2008-02-01,101.0989
2008-03-01,100.4544
2008-04-01,99.9985
2008-05-01,99.69749
2008-06-01,99.44887
2008-07-01,99.31541
2008-08-01,99.27998
2008-09-01,98.79369
2008-10-01,97.45899
2008-11-01,96.05259
2008-12-01,95.15187
2009-01-01,94.58527
2009-02-01,94.29208
2009-03-01,94.26749
2009-04-01,94.60055
2009-05-01,95.20678
2009-06-01,96.14455
2009-07-01,97.38631
2009-08-01,98.79884
2009-09-01,99.87217
2009-10-01,100.2971
2009-11-01,100.4453
2009-12-01,100.8081
2010-01-01,101.725
2010-02-01,102.7806
2010-03-01,103.8417
2010-04-01,104.6361
2010-05-01,104.7169
2010-06-01,104.3869
2010-07-01,103.9497
2010-08-01,103.7353
2010-09-01,103.7544
2010-10-01,103.6328
2010-11-01,103.4525
2010-12-01,103.3067
2011-01-01,103.361
2011-02-01,103.4542
2011-03-01,103.2431
2011-04-01,102.859
2011-05-01,102.5547
2011-06-01,102.5114
2011-07-01,102.5238
2011-08-01,102.2975
2011-09-01,101.8996
2011-10-01,101.3248
2011-11-01,101.0543
2011-12-01,101.1919
2012-01-01,101.7667
2012-02-01,102.3444
2012-03-01,102.451
2012-04-01,102.1206
2012-05-01,101.7294
2012-06-01,101.4446
2012-07-01,101.3721
2012-08-01,101.4326
2012-09-01,101.6112
2012-10-01,101.8203
2012-11-01,101.9171
2012-12-01,101.9273
2013-01-01,102.1056
2013-02-01,102.243
2013-03-01,102.0942
2013-04-01,101.5848
2013-05-01,101.0076
2013-06-01,100.5576
2013-07-01,100.4702
2013-08-01,100.7761
2013-09-01,101.0158
2013-10-01,100.8889
2013-11-01,100.5526
2013-12-01,100.178
2014-01-01,100.2574
2014-02-01,100.3184
2014-03-01,99.83114
2014-04-01,99.02749
2014-05-01,98.29375
2014-06-01,97.69718
2014-07-01,97.33145
2014-08-01,97.12161
2014-09-01,96.97509
2014-10-01,96.86594
2014-11-01,96.89252
2014-12-01,97.3069
2015-01-01,98.01759
2015-02-01,98.57146
2015-03-01,98.85049
2015-04-01,98.66268
2015-05-01,98.06766
2015-06-01,97.45589
2015-07-01,96.79846
2015-08-01,96.50056
2015-09-01,96.71387
2015-10-01,96.93181
2015-11-01,96.99104
2015-12-01,97.09673
2016-01-01,97.51665
2016-02-01,97.91263
2016-03-01,97.73178
2016-04-01,97.24939
2016-05-01,96.83633
2016-06-01,96.71189
2016-07-01,96.85731
2016-08-01,97.32536
2016-09-01,97.82551
2016-10-01,97.99388
2016-11-01,97.74979
2016-12-01,97.73402
2017-01-01,98.07835
2017-02-01,98.47434
2017-03-01,98.38484
2017-04-01,98.05676
2017-05-01,97.8428
2017-06-01,97.70535
2017-07-01,97.86629
2017-08-01,98.26132
2017-09-01,98.73451
2017-10-01,99.08958
2017-11-01,99.20201
2017-12-01,99.55477
2018-01-01,100.6691
2018-02-01,101.7
2018-03-01,102.0258
2018-04-01,102.006
2018-05-01,101.8691
2018-06-01,101.6286
2018-07-01,101.2302
2018-08-01,100.9557
2018-09-01,100.8051
2018-10-01,100.3031
2018-11-01,99.68015
2018-12-01,99.44415
2019-01-01,99.81895
2019-02-01,100.0999
2019-03-01,99.81403
2019-04-01,99.22706
2019-05-01,98.82443
2019-06-01,98.7243
2019-07-01,98.95557
2019-08-01,99.25856
2019-09-01,99.22961
2019-10-01,98.57286
2019-11-01,97.31794
2019-12-01,96.74547
2020-01-01,97.21729
2020-02-01,97.71748
2020-03-01,97.19296
2020-04-01,96.02341
2020-05-01,95.75258
2020-06-01,96.60164
2020-07-01,97.88831
2020-08-01,99.34283
2020-09-01,100.7916
2020-10-01,101.6442
2020-11-01,101.9133
2020-12-01,101.8983
2021-01-01,102.3078
2021-02-01,102.7314
2021-03-01,102.8554
2021-04-01,102.6479
2021-05-01,102.9487
2021-06-01,103.576
2021-07-01,104.4916
2021-08-01,105.0156
2021-09-01,104.843
2021-10-01,104.1031
2021-11-01,103.1612
2021-12-01,102.4404
2022-01-01,102.0816
2022-02-01,101.6648
2022-03-01,101.2046
2022-04-01,100.5812
2022-05-01,99.76907
2022-06-01,98.74687
2022-07-01,97.74377
2022-08-01,97.29984
2022-09-01,97.26369
2022-10-01,96.97084
2022-11-01,96.46587
2022-12-01,96.0476
2023-01-01,96.11337
2023-02-01,96.3756
2023-03-01,96.41019
2023-04-01,96.21312
2023-05-01,96.20284
2023-06-01,96.60693
2023-07-01,97.1069
2023-08-01,97.42223
2023-09-01,97.39573
2023-10-01,97.09846
2023-11-01,96.64443
2023-12-01,96.35795
2024-01-01,96.87185
2024-02-01,97.56962
2024-03-01,97.89733
2024-04-01,97.98899
2024-05-01,98.05581
2024-06-01,98.10224
2024-07-01,98.38937
2024-08-01,98.88707
2024-09-01,99.18202
2024-10-01,99.14407
2024-11-01,98.89798
2024-12-01,98.84121
2025-01-01,99.08565
2025-02-01,99.31376
2025-03-01,98.96987
2025-04-01,98.31438
2025-05-01,98.09498
2025-06-01,98.1733
2025-07-01,98.46716
2025-08-01,98.54716
2025-09-01,98.56162
2025-10-01,98.67392
2025-11-01,98.88782
2025-12-01,99.30093
2026-01-01,99.8228
2026-02-01,100.152
2026-03-01,100.1076
2026-04-01,99.95625
