date,value
1992-05-01,101.9079
1992-06-01,102.1868
1992-07-01,102.4114
1992-08-01,102.5784
1992-09-01,102.6931
1992-10-01,102.7619
1992-11-01,102.7812
1992-12-01,102.7603
1993-01-01,102.7073
1993-02-01,102.6276
1993-03-01,102.5074
1993-04-01,102.3269
1993-05-01,102.0782
1993-06-01,101.7591
1993-07-01,101.3772
1993-08-01,100.979
1993-09-01,100.6351
1993-10-01,100.3865
1993-11-01,100.2542
1993-12-01,100.2298
1994-01-01,100.2674
1994-02-01,100.3331
1994-03-01,100.4028
1994-04-01,100.4554
1994-05-01,100.4708
1994-06-01,100.4489
1994-07-01,100.3946
1994-08-01,100.3293
1994-09-01,100.279
1994-10-01,100.2613
1994-11-01,100.2975
1994-12-01,100.3886
1995-01-01,100.5415
1995-02-01,100.7399
1995-03-01,100.9358
1995-04-01,101.117
1995-05-01,101.2724
1995-06-01,101.4034
1995-07-01,101.5202
1995-08-01,101.6177
1995-09-01,101.6784
1995-10-01,101.6944
1995-11-01,101.6577
1995-12-01,101.5609
1996-01-01,101.4081
1996-02-01,101.2106
1996-03-01,100.9972
1996-04-01,100.7991
1996-05-01,100.642
1996-06-01,100.5447
1996-07-01,100.5079
1996-08-01,100.5387
1996-09-01,100.5936
1996-10-01,100.6433
1996-11-01,100.6556
1996-12-01,100.5997
1997-01-01,100.4398
1997-02-01,100.1749
1997-03-01,99.8185
1997-04-01,99.39598
1997-05-01,98.9428
1997-06-01,98.49126
1997-07-01,98.05757
1997-08-01,97.64922
1997-09-01,97.28941
1997-10-01,96.99038
1997-11-01,96.7503
1997-12-01,96.5658
1998-01-01,96.43436
1998-02-01,96.38439
1998-03-01,96.42976
1998-04-01,96.57284
1998-05-01,96.80321
1998-06-01,97.10149
1998-07-01,97.45206
1998-08-01,97.83633
1998-09-01,98.21506
1998-10-01,98.55274
1998-11-01,98.82032
1998-12-01,99.01806
1999-01-01,99.15975
1999-02-01,99.34177
1999-03-01,99.51875
1999-04-01,99.70171
1999-05-01,99.88774
1999-06-01,100.0567
1999-07-01,100.1859
1999-08-01,100.2511
1999-09-01,100.237
1999-10-01,100.154
1999-11-01,100.0308
1999-12-01,99.9084
2000-01-01,99.81261
2000-02-01,99.75849
2000-03-01,99.73177
2000-04-01,99.71082
2000-05-01,99.66994
2000-06-01,99.59119
2000-07-01,99.46187
2000-08-01,99.29755
2000-09-01,99.11555
2000-10-01,98.94968
2000-11-01,98.82328
2000-12-01,98.73947
2001-01-01,98.68513
2001-02-01,98.64762
2001-03-01,98.61837
2001-04-01,98.57643
2001-05-01,98.49387
2001-06-01,98.36121
2001-07-01,98.17439
2001-08-01,97.96575
2001-09-01,97.78442
2001-10-01,97.66534
2001-11-01,97.63235
2001-12-01,97.69315
2002-01-01,97.83164
2002-02-01,98.05637
2002-03-01,98.35048
2002-04-01,98.68079
2002-05-01,99.0201
2002-06-01,99.35213
2002-07-01,99.66482
2002-08-01,99.92812
2002-09-01,100.1341
2002-10-01,100.2885
2002-11-01,100.4079
2002-12-01,100.5068
2003-01-01,100.6023
2003-02-01,100.6988
2003-03-01,100.7822
2003-04-01,100.8435
2003-05-01,100.8806
2003-06-01,100.8923
2003-07-01,100.8902
2003-08-01,100.8933
2003-09-01,100.9205
2003-10-01,100.9809
2003-11-01,101.0778
2003-12-01,101.1944
2004-01-01,101.2957
2004-02-01,101.3223
2004-03-01,101.2336
2004-04-01,101.0363
2004-05-01,100.7755
2004-06-01,100.5149
2004-07-01,100.3043
2004-08-01,100.1533
2004-09-01,100.0446
2004-10-01,99.95689
2004-11-01,99.87991
2004-12-01,99.80451
2005-01-01,99.73292
2005-02-01,99.6741
2005-03-01,99.63995
2005-04-01,99.63916
2005-05-01,99.66178
2005-06-01,99.70212
2005-07-01,99.744
2005-08-01,99.76983
2005-09-01,99.77213
2005-10-01,99.76483
2005-11-01,99.76359
2005-12-01,99.78483
2006-01-01,99.83246
2006-02-01,99.90215
2006-03-01,99.98605
2006-04-01,100.0866
2006-05-01,100.1995
2006-06-01,100.3174
2006-07-01,100.4391
2006-08-01,100.5983
2006-09-01,100.8342
2006-10-01,101.1664
2006-11-01,101.5891
2006-12-01,102.0823
2007-01-01,102.6257
2007-02-01,103.1955
2007-03-01,103.7788
2007-04-01,104.3669
2007-05-01,104.929
2007-06-01,105.4408
2007-07-01,105.8988
2007-08-01,106.2856
2007-09-01,106.5052
2007-10-01,106.4407
2007-11-01,106.0385
2007-12-01,105.3278
2008-01-01,104.361
2008-02-01,103.211
2008-03-01,101.9594
2008-04-01,100.66
2008-05-01,99.35299
2008-06-01,98.05979
2008-07-01,96.80128
2008-08-01,95.62278
2008-09-01,94.59764
2008-10-01,93.81425
2008-11-01,93.35808
2008-12-01,93.26966
2009-01-01,93.53719
2009-02-01,94.10725
2009-03-01,94.90712
2009-04-01,95.87415
2009-05-01,96.94932
2009-06-01,98.06216
2009-07-01,99.1297
2009-08-01,100.0692
2009-09-01,100.8487
2009-10-01,101.4664
2009-11-01,101.9154
2009-12-01,102.1778
2010-01-01,102.247
2010-02-01,102.1481
2010-03-01,101.9193
2010-04-01,101.5934
2010-05-01,101.2159
2010-06-01,100.8554
2010-07-01,100.5784
2010-08-01,100.4252
2010-09-01,100.4024
2010-10-01,100.4882
2010-11-01,100.6363
2010-12-01,100.8053
2011-01-01,100.971
2011-02-01,101.1158
2011-03-01,101.2217
2011-04-01,101.2693
2011-05-01,101.2482
2011-06-01,101.1504
2011-07-01,100.9831
2011-08-01,100.7596
2011-09-01,100.5114
2011-10-01,100.261
2011-11-01,100.0385
2011-12-01,99.86536
2012-01-01,99.75391
2012-02-01,99.68472
2012-03-01,99.62767
2012-04-01,99.58297
2012-05-01,99.56297
2012-06-01,99.56831
2012-07-01,99.59793
2012-08-01,99.65382
2012-09-01,99.7414
2012-10-01,99.87424
2012-11-01,100.0506
2012-12-01,100.2621
2013-01-01,100.4871
2013-02-01,100.6802
2013-03-01,100.8233
2013-04-01,100.9166
2013-05-01,100.977
2013-06-01,101.0264
2013-07-01,101.0748
2013-08-01,101.1211
2013-09-01,101.1521
2013-10-01,101.151
2013-11-01,101.1022
2013-12-01,101.0016
2014-01-01,100.8523
2014-02-01,100.6779
2014-03-01,100.4971
2014-04-01,100.329
2014-05-01,100.1833
2014-06-01,100.0638
2014-07-01,99.97703
2014-08-01,99.92693
2014-09-01,99.90479
2014-10-01,99.91843
2014-11-01,99.97166
2014-12-01,100.0657
2015-01-01,100.1792
2015-02-01,100.3041
2015-03-01,100.4341
2015-04-01,100.5368
2015-05-01,100.559
2015-06-01,100.4799
2015-07-01,100.3287
2015-08-01,100.1574
2015-09-01,100.002
2015-10-01,99.87599
2015-11-01,99.76778
2015-12-01,99.66093
2016-01-01,99.56124
2016-02-01,99.49099
2016-03-01,99.45837
2016-04-01,99.45842
2016-05-01,99.48817
2016-06-01,99.5547
2016-07-01,99.65914
2016-08-01,99.78915
2016-09-01,99.94057
2016-10-01,100.0933
2016-11-01,100.2318
2016-12-01,100.3403
2017-01-01,100.4196
2017-02-01,100.474
2017-03-01,100.5097
2017-04-01,100.5396
2017-05-01,100.5742
2017-06-01,100.6153
2017-07-01,100.6505
2017-08-01,100.6652
2017-09-01,100.6463
2017-10-01,100.5893
2017-11-01,100.4947
2017-12-01,100.3682
2018-01-01,100.2326
2018-02-01,100.097
2018-03-01,99.96535
2018-04-01,99.8269
2018-05-01,99.66606
2018-06-01,99.4711
2018-07-01,99.24708
2018-08-01,99.01063
2018-09-01,98.77812
2018-10-01,98.55234
2018-11-01,98.34829
2018-12-01,98.18892
2019-01-01,98.10821
2019-02-01,98.11848
2019-03-01,98.20093
2019-04-01,98.31973
2019-05-01,98.44395
2019-06-01,98.56393
2019-07-01,98.65919
2019-08-01,98.7186
2019-09-01,98.74619
2019-10-01,98.75871
2019-11-01,98.78662
2019-12-01,98.84857
2020-01-01,94.70908
2020-02-01,87.35873
2020-03-01,85.69992
