date,value
1985-01-01,99.71916
1985-02-01,99.4643
1985-03-01,99.30553
1985-04-01,99.30161
1985-05-01,99.37394
1985-06-01,99.42133
1985-07-01,99.46962
1985-08-01,99.56876
1985-09-01,99.70758
1985-10-01,99.80708
1985-11-01,99.82201
1985-12-01,99.73376
1986-01-01,99.64635
1986-02-01,99.61595
1986-03-01,99.60871
1986-04-01,99.60522
1986-05-01,99.62621
1986-06-01,99.64359
1986-07-01,99.65195
1986-08-01,99.63259
1986-09-01,99.56377
1986-10-01,99.49548
1986-11-01,99.48877
1986-12-01,99.4808
1987-01-01,99.40236
1987-02-01,99.35231
1987-03-01,99.41715
1987-04-01,99.51767
1987-05-01,99.62148
1987-06-01,99.71645
1987-07-01,99.85474
1987-08-01,100.058
1987-09-01,100.2342
1987-10-01,100.3079
1987-11-01,100.3018
1987-12-01,100.2828
1988-01-01,100.33
1988-02-01,100.4433
1988-03-01,100.5888
1988-04-01,100.7699
1988-05-01,100.9746
1988-06-01,101.1792
1988-07-01,101.3467
1988-08-01,101.5372
1988-09-01,101.7583
1988-10-01,101.9413
1988-11-01,101.9974
1988-12-01,101.9859
1989-01-01,101.9655
1989-02-01,101.9509
1989-03-01,101.914
1989-04-01,101.91
1989-05-01,101.966
1989-06-01,102.0112
1989-07-01,101.9876
1989-08-01,101.9151
1989-09-01,101.8419
1989-10-01,101.8237
1989-11-01,101.8312
1989-12-01,101.7864
1990-01-01,101.7031
1990-02-01,101.6023
1990-03-01,101.5401
1990-04-01,101.4493
1990-05-01,101.3316
1990-06-01,101.2372
1990-07-01,101.1604
1990-08-01,101.0789
1990-09-01,100.9936
1990-10-01,100.8248
1990-11-01,100.572
1990-12-01,100.1865
1991-01-01,99.65758
1991-02-01,99.21386
1991-03-01,98.96409
1991-04-01,98.87886
1991-05-01,98.85548
1991-06-01,98.84016
1991-07-01,98.81445
1991-08-01,98.77348
1991-09-01,98.69634
1991-10-01,98.66091
1991-11-01,98.62521
1991-12-01,98.57375
1992-01-01,98.55326
1992-02-01,98.52069
1992-03-01,98.43776
1992-04-01,98.32194
1992-05-01,98.19999
1992-06-01,98.00191
1992-07-01,97.68285
1992-08-01,97.27338
1992-09-01,96.77314
1992-10-01,96.24612
1992-11-01,95.82166
1992-12-01,95.55581
1993-01-01,95.43054
1993-02-01,95.41628
1993-03-01,95.44916
1993-04-01,95.46387
1993-05-01,95.50867
1993-06-01,95.56419
1993-07-01,95.66516
1993-08-01,95.90028
1993-09-01,96.23731
1993-10-01,96.62076
1993-11-01,97.00461
1993-12-01,97.35722
1994-01-01,97.7766
1994-02-01,98.23032
1994-03-01,98.69078
1994-04-01,99.12519
1994-05-01,99.46044
1994-06-01,99.75881
1994-07-01,100.0861
1994-08-01,100.435
1994-09-01,100.805
1994-10-01,101.1487
1994-11-01,101.3907
1994-12-01,101.5271
1995-01-01,101.5503
1995-02-01,101.4971
1995-03-01,101.3335
1995-04-01,101.1187
1995-05-01,100.8727
1995-06-01,100.6062
1995-07-01,100.3451
1995-08-01,100.0635
1995-09-01,99.7794
1995-10-01,99.53936
1995-11-01,99.27814
1995-12-01,98.966
1996-01-01,98.61107
1996-02-01,98.29418
1996-03-01,98.09857
1996-04-01,98.01994
1996-05-01,98.01424
1996-06-01,98.07618
1996-07-01,98.20808
1996-08-01,98.39482
1996-09-01,98.60143
1996-10-01,98.78967
1996-11-01,98.89635
1996-12-01,99.05182
1997-01-01,99.30694
1997-02-01,99.51455
1997-03-01,99.6845
1997-04-01,99.86852
1997-05-01,100.1011
1997-06-01,100.3637
1997-07-01,100.6289
1997-08-01,100.8573
1997-09-01,101.0833
1997-10-01,101.2235
1997-11-01,101.2949
1997-12-01,101.3669
1998-01-01,101.416
1998-02-01,101.4201
1998-03-01,101.4018
1998-04-01,101.2952
1998-05-01,101.1673
1998-06-01,101.0659
1998-07-01,100.8702
1998-08-01,100.5398
1998-09-01,100.1073
1998-10-01,99.67564
1998-11-01,99.40721
1998-12-01,99.2341
1999-01-01,99.08972
1999-02-01,99.00792
1999-03-01,98.99001
1999-04-01,99.04958
1999-05-01,99.21195
1999-06-01,99.49159
1999-07-01,99.82213
1999-08-01,100.1651
1999-09-01,100.5304
1999-10-01,100.8744
1999-11-01,101.1404
1999-12-01,101.3223
2000-01-01,101.4751
2000-02-01,101.6817
2000-03-01,101.8813
2000-04-01,102.014
2000-05-01,102.1171
2000-06-01,102.1552
2000-07-01,102.1394
2000-08-01,102.1075
2000-09-01,102.0659
2000-10-01,101.9843
2000-11-01,101.8559
2000-12-01,101.6499
2001-01-01,101.347
2001-02-01,100.9422
2001-03-01,100.489
2001-04-01,100.0784
2001-05-01,99.81217
2001-06-01,99.60258
2001-07-01,99.38358
2001-08-01,99.04295
2001-09-01,98.58578
2001-10-01,98.2718
2001-11-01,98.24047
2001-12-01,98.45519
2002-01-01,98.71616
2002-02-01,99.03729
2002-03-01,99.31133
2002-04-01,99.48787
2002-05-01,99.59519
2002-06-01,99.5452
2002-07-01,99.43293
2002-08-01,99.36456
2002-09-01,99.36639
2002-10-01,99.36074
2002-11-01,99.34901
2002-12-01,99.30637
2003-01-01,99.24905
2003-02-01,99.16589
2003-03-01,99.00185
2003-04-01,98.85203
2003-05-01,98.73743
2003-06-01,98.69933
2003-07-01,98.80294
2003-08-01,99.06461
2003-09-01,99.34813
2003-10-01,99.62086
2003-11-01,99.81802
2003-12-01,99.86591
2004-01-01,99.8914
2004-02-01,99.93374
2004-03-01,100.03
2004-04-01,100.1911
2004-05-01,100.3244
2004-06-01,100.3866
2004-07-01,100.398
2004-08-01,100.3998
2004-09-01,100.4233
2004-10-01,100.433
2004-11-01,100.3769
2004-12-01,100.2879
2005-01-01,100.1367
2005-02-01,99.92036
2005-03-01,99.66574
2005-04-01,99.46111
2005-05-01,99.37779
2005-06-01,99.45299
2005-07-01,99.66216
2005-08-01,99.89926
2005-09-01,100.1374
2005-10-01,100.3397
2005-11-01,100.4798
2005-12-01,100.6357
2006-01-01,100.8123
2006-02-01,101.0261
2006-03-01,101.2397
2006-04-01,101.4436
2006-05-01,101.5905
2006-06-01,101.7056
2006-07-01,101.7772
2006-08-01,101.8443
2006-09-01,101.9812
2006-10-01,102.1188
2006-11-01,102.2222
2006-12-01,102.2643
2007-01-01,102.2332
2007-02-01,102.2194
2007-03-01,102.2066
2007-04-01,102.178
2007-05-01,102.1292
2007-06-01,102.0597
2007-07-01,101.9662
2007-08-01,101.875
2007-09-01,101.8066
2007-10-01,101.7922
2007-11-01,101.8133
2007-12-01,101.7418
2008-01-01,101.578
2008-02-01,101.3737
2008-03-01,101.1564
2008-04-01,100.874
2008-05-01,100.5754
2008-06-01,100.2309
2008-07-01,99.84528
2008-08-01,99.35933
2008-09-01,98.6282
2008-10-01,97.55624
2008-11-01,96.32883
2008-12-01,95.30111
2009-01-01,94.70922
2009-02-01,94.36677
2009-03-01,94.33074
2009-04-01,94.63374
2009-05-01,95.09818
2009-06-01,95.62494
2009-07-01,96.19112
2009-08-01,96.7671
2009-09-01,97.24949
2009-10-01,97.6433
2009-11-01,97.93076
2009-12-01,98.1768
2010-01-01,98.42641
2010-02-01,98.71751
2010-03-01,99.10865
2010-04-01,99.51732
2010-05-01,99.84652
2010-06-01,100.1123
2010-07-01,100.3735
2010-08-01,100.5951
2010-09-01,100.7756
2010-10-01,100.9471
2010-11-01,101.106
2010-12-01,101.3001
2011-01-01,101.4512
2011-02-01,101.5311
2011-03-01,101.558
2011-04-01,101.4983
2011-05-01,101.3321
2011-06-01,101.0947
2011-07-01,100.765
2011-08-01,100.392
2011-09-01,100.0552
2011-10-01,99.83038
2011-11-01,99.66438
2011-12-01,99.59981
2012-01-01,99.60831
2012-02-01,99.59963
2012-03-01,99.52406
2012-04-01,99.3996
2012-05-01,99.22111
2012-06-01,99.04784
2012-07-01,98.86754
2012-08-01,98.7143
2012-09-01,98.57154
2012-10-01,98.4697
2012-11-01,98.55509
2012-12-01,98.71103
2013-01-01,98.86067
2013-02-01,98.97752
2013-03-01,98.97278
2013-04-01,98.9482
2013-05-01,99.03454
2013-06-01,99.23112
2013-07-01,99.48601
2013-08-01,99.7952
2013-09-01,100.0402
2013-10-01,100.215
2013-11-01,100.3291
2013-12-01,100.3988
2014-01-01,100.4444
2014-02-01,100.4758
2014-03-01,100.4838
2014-04-01,100.4457
2014-05-01,100.3547
2014-06-01,100.2388
2014-07-01,100.1601
2014-08-01,100.0712
2014-09-01,100.0053
2014-10-01,100.0167
2014-11-01,100.0811
2014-12-01,100.1387
2015-01-01,100.2522
2015-02-01,100.42
2015-03-01,100.5915
2015-04-01,100.6662
2015-05-01,100.6736
2015-06-01,100.6608
2015-07-01,100.649
2015-08-01,100.6271
2015-09-01,100.6196
2015-10-01,100.5969
2015-11-01,100.5758
2015-12-01,100.5679
2016-01-01,100.5268
2016-02-01,100.4857
2016-03-01,100.4872
2016-04-01,100.4952
2016-05-01,100.5044
2016-06-01,100.5321
2016-07-01,100.5534
2016-08-01,100.6033
2016-09-01,100.7369
2016-10-01,100.8682
2016-11-01,100.9879
2016-12-01,101.1431
2017-01-01,101.2809
2017-02-01,101.4071
2017-03-01,101.5039
2017-04-01,101.6257
2017-05-01,101.7655
2017-06-01,101.9176
2017-07-01,102.0492
2017-08-01,102.1698
2017-09-01,102.3475
2017-10-01,102.5146
2017-11-01,102.6228
2017-12-01,102.6606
2018-01-01,102.601
2018-02-01,102.4559
2018-03-01,102.3174
2018-04-01,102.2623
2018-05-01,102.1949
2018-06-01,102.1242
2018-07-01,102.0089
2018-08-01,101.9212
2018-09-01,101.8655
2018-10-01,101.7744
2018-11-01,101.638
2018-12-01,101.3916
2019-01-01,101.0892
2019-02-01,100.8171
2019-03-01,100.5707
2019-04-01,100.3608
2019-05-01,100.219
2019-06-01,100.0014
2019-07-01,99.80748
2019-08-01,99.69834
2019-09-01,99.57655
2019-10-01,99.55403
2019-11-01,99.64858
2019-12-01,99.76944
2020-01-01,99.75216
2020-02-01,99.16378
2020-03-01,97.74539
2020-04-01,96.09293
2020-05-01,95.8738
2020-06-01,96.70903
2020-07-01,97.8346
2020-08-01,98.76388
2020-09-01,99.36379
2020-10-01,99.72064
2020-11-01,99.92844
2020-12-01,100.2128
2021-01-01,100.5382
2021-02-01,100.9894
2021-03-01,101.5567
2021-04-01,102.1473
2021-05-01,102.665
2021-06-01,103.1035
2021-07-01,103.4171
2021-08-01,103.5446
2021-09-01,103.5949
2021-10-01,103.6082
2021-11-01,103.5801
2021-12-01,103.5222
2022-01-01,103.3601
2022-02-01,103.0849
2022-03-01,102.6554
2022-04-01,102.3479
2022-05-01,102.1499
2022-06-01,101.9755
2022-07-01,101.6414
2022-08-01,101.2816
2022-09-01,100.9974
2022-10-01,100.8287
2022-11-01,100.7801
2022-12-01,100.8406
2023-01-01,100.8854
2023-02-01,100.7807
2023-03-01,100.5618
2023-04-01,100.2413
2023-05-01,99.88044
2023-06-01,99.5579
2023-07-01,99.30584
2023-08-01,99.19186
2023-09-01,99.2013
2023-10-01,99.20335
2023-11-01,99.20038
2023-12-01,99.19657
2024-01-01,99.14535
2024-02-01,99.10111
2024-03-01,99.06709
2024-04-01,99.02109
2024-05-01,99.00496
2024-06-01,99.00423
2024-07-01,98.98267
2024-08-01,98.93857
2024-09-01,98.83376
2024-10-01,98.73026
2024-11-01,98.6731
2024-12-01,98.59056
2025-01-01,98.66556
2025-02-01,98.80806
2025-03-01,98.91293
2025-04-01,98.95775
2025-05-01,98.97191
2025-06-01,98.95483
2025-07-01,99.0097
2025-08-01,99.08321
2025-09-01,99.16956
2025-10-01,99.27386
2025-11-01,99.32589
2025-12-01,99.40852
2026-01-01,99.52084
2026-02-01,99.56944
2026-03-01,99.57045
2026-04-01,99.52695
