date,value
1957-12-01,97.30731
1958-01-01,97.35678
1958-02-01,97.47272
1958-03-01,97.62405
1958-04-01,97.78455
1958-05-01,97.96851
1958-06-01,98.20988
1958-07-01,98.54498
1958-08-01,98.93712
1958-09-01,99.3494
1958-10-01,99.72628
1958-11-01,100.0072
1958-12-01,100.1221
1959-01-01,100.0564
1959-02-01,99.89523
1959-03-01,99.72767
1959-04-01,99.60539
1959-05-01,99.51673
1959-06-01,99.56897
1959-07-01,99.83736
1959-08-01,100.4169
1959-09-01,101.3646
1959-10-01,102.4783
1959-11-01,103.4685
1959-12-01,104.1003
1960-01-01,104.2057
1960-02-01,103.8697
1960-03-01,103.3125
1960-04-01,102.6927
1960-05-01,102.1334
1960-06-01,101.6862
1960-07-01,101.3604
1960-08-01,101.1426
1960-09-01,100.9837
1960-10-01,100.8395
1960-11-01,100.7288
1960-12-01,100.6923
1961-01-01,100.7161
1961-02-01,100.7474
1961-03-01,100.674
1961-04-01,100.4146
1961-05-01,99.97265
1961-06-01,99.3569
1961-07-01,98.59344
1961-08-01,97.79191
1961-09-01,97.11737
1961-10-01,96.67431
1961-11-01,96.48457
1961-12-01,96.46769
1962-01-01,96.54993
1962-02-01,96.69112
1962-03-01,96.87561
1962-04-01,97.09383
1962-05-01,97.27866
1962-06-01,97.41312
1962-07-01,97.57767
1962-08-01,97.80402
1962-09-01,98.05212
1962-10-01,98.31151
1962-11-01,98.54984
1962-12-01,98.75657
1963-01-01,98.96085
1963-02-01,99.22012
1963-03-01,99.54793
1963-04-01,99.91103
1963-05-01,100.2603
1963-06-01,100.5897
1963-07-01,100.9611
1963-08-01,101.3492
1963-09-01,101.7109
1963-10-01,101.9875
1963-11-01,102.122
1963-12-01,102.1376
1964-01-01,102.0594
1964-02-01,101.9281
1964-03-01,101.8171
1964-04-01,101.787
1964-05-01,101.8367
1964-06-01,101.9687
1964-07-01,102.1036
1964-08-01,102.1737
1964-09-01,102.106
1964-10-01,101.8367
1964-11-01,101.3973
1964-12-01,100.858
1965-01-01,100.3318
1965-02-01,99.85638
1965-03-01,99.39873
1965-04-01,98.96746
1965-05-01,98.64562
1965-06-01,98.46748
1965-07-01,98.41633
1965-08-01,98.49366
1965-09-01,98.69743
1965-10-01,99.0094
1965-11-01,99.3907
1965-12-01,99.80827
1966-01-01,100.2034
1966-02-01,100.5121
1966-03-01,100.6543
1966-04-01,100.517
1966-05-01,100.0032
1966-06-01,99.14084
1966-07-01,98.0498
1966-08-01,96.91185
1966-09-01,95.97648
1966-10-01,95.35696
1966-11-01,95.09916
1966-12-01,95.18168
1967-01-01,95.53481
1967-02-01,96.03425
1967-03-01,96.64569
1967-04-01,97.35323
1967-05-01,98.09998
1967-06-01,98.81597
1967-07-01,99.44476
1967-08-01,99.99483
1967-09-01,100.4569
1967-10-01,100.7874
1967-11-01,100.9505
1967-12-01,100.9331
1968-01-01,100.7946
1968-02-01,100.5717
1968-03-01,100.3071
1968-04-01,100.1075
1968-05-01,100.0937
1968-06-01,100.2353
1968-07-01,100.534
1968-08-01,100.8938
1968-09-01,101.1833
1968-10-01,101.3279
1968-11-01,101.2738
1968-12-01,101.0166
1969-01-01,100.611
1969-02-01,100.1452
1969-03-01,99.67009
1969-04-01,99.1996
1969-05-01,98.6964
1969-06-01,98.20287
1969-07-01,97.76023
1969-08-01,97.38789
1969-09-01,97.06356
1969-10-01,96.81332
1969-11-01,96.68537
1969-12-01,96.7336
1970-01-01,96.90665
1970-02-01,97.11736
1970-03-01,97.28909
1970-04-01,97.37395
1970-05-01,97.36067
1970-06-01,97.28996
1970-07-01,97.17088
1970-08-01,97.03572
1970-09-01,96.94014
1970-10-01,96.88766
1970-11-01,96.89144
1970-12-01,96.97095
1971-01-01,97.12642
1971-02-01,97.39148
1971-03-01,97.80218
1971-04-01,98.37544
1971-05-01,99.07011
1971-06-01,99.86252
1971-07-01,100.736
1971-08-01,101.609
1971-09-01,102.4473
1971-10-01,103.2239
1971-11-01,103.9351
1971-12-01,104.5783
1972-01-01,105.1185
1972-02-01,105.6148
1972-03-01,106.109
1972-04-01,106.5359
1972-05-01,106.7716
1972-06-01,106.7562
1972-07-01,106.5786
1972-08-01,106.3545
1972-09-01,106.1449
1972-10-01,106.0048
1972-11-01,105.8806
1972-12-01,105.7159
1973-01-01,105.4801
1973-02-01,105.2179
1973-03-01,104.9545
1973-04-01,104.6828
1973-05-01,104.382
1973-06-01,104.0105
1973-07-01,103.495
1973-08-01,102.7762
1973-09-01,101.8324
1973-10-01,100.7456
1973-11-01,99.54883
1973-12-01,98.33457
1974-01-01,97.27753
1974-02-01,96.50917
1974-03-01,95.95664
1974-04-01,95.54975
1974-05-01,95.23533
1974-06-01,94.92582
1974-07-01,94.56374
1974-08-01,94.19427
1974-09-01,93.86951
1974-10-01,93.59527
1974-11-01,93.44384
1974-12-01,93.49684
1975-01-01,93.79488
1975-02-01,94.29219
1975-03-01,94.90028
1975-04-01,95.55376
1975-05-01,96.20333
1975-06-01,96.79153
1975-07-01,97.28882
1975-08-01,97.73196
1975-09-01,98.19641
1975-10-01,98.64
1975-11-01,99.13857
1975-12-01,99.68672
1976-01-01,100.2376
1976-02-01,100.7131
1976-03-01,101.0692
1976-04-01,101.2514
1976-05-01,101.2136
1976-06-01,100.977
1976-07-01,100.6255
1976-08-01,100.2156
1976-09-01,99.83019
1976-10-01,99.57803
1976-11-01,99.48734
1976-12-01,99.51861
1977-01-01,99.67982
1977-02-01,99.9904
1977-03-01,100.3806
1977-04-01,100.8394
1977-05-01,101.3375
1977-06-01,101.8324
1977-07-01,102.319
1977-08-01,102.7163
1977-09-01,103.0183
1977-10-01,103.1921
1977-11-01,103.2275
1977-12-01,103.1762
1978-01-01,103.0871
1978-02-01,102.9779
1978-03-01,102.8927
1978-04-01,102.8508
1978-05-01,102.8798
1978-06-01,102.9887
1978-07-01,103.1004
1978-08-01,103.1605
1978-09-01,103.1216
1978-10-01,102.9609
1978-11-01,102.7749
1978-12-01,102.6757
1979-01-01,102.7027
1979-02-01,102.841
1979-03-01,103.0232
1979-04-01,103.0745
1979-05-01,102.8366
1979-06-01,102.2941
1979-07-01,101.6276
1979-08-01,101.0129
1979-09-01,100.5258
1979-10-01,100.1324
1979-11-01,99.74963
1979-12-01,99.36501
1980-01-01,98.97675
1980-02-01,98.57091
1980-03-01,98.12191
1980-04-01,97.63622
1980-05-01,97.21559
1980-06-01,96.87209
1980-07-01,96.60477
1980-08-01,96.44012
1980-09-01,96.4371
1980-10-01,96.56626
1980-11-01,96.83398
1980-12-01,97.22356
1981-01-01,97.70721
1981-02-01,98.21896
1981-03-01,98.70642
1981-04-01,99.07693
1981-05-01,99.25532
1981-06-01,99.2477
1981-07-01,99.12656
1981-08-01,98.93913
1981-09-01,98.77061
1981-10-01,98.63095
1981-11-01,98.52194
1981-12-01,98.43654
1982-01-01,98.4146
1982-02-01,98.49097
1982-03-01,98.60117
1982-04-01,98.68175
1982-05-01,98.753
1982-06-01,98.87127
1982-07-01,99.06389
1982-08-01,99.31091
1982-09-01,99.59912
1982-10-01,99.91698
1982-11-01,100.1875
1982-12-01,100.4202
1983-01-01,100.6503
1983-02-01,100.8808
1983-03-01,101.1342
1983-04-01,101.3912
1983-05-01,101.6254
1983-06-01,101.8335
1983-07-01,101.9787
1983-08-01,102.0366
1983-09-01,102.0128
1983-10-01,101.9946
1983-11-01,101.977
1983-12-01,101.9604
1984-01-01,101.9363
1984-02-01,101.8828
1984-03-01,101.7649
1984-04-01,101.5899
1984-05-01,101.3389
1984-06-01,101.0492
1984-07-01,100.7827
1984-08-01,100.6066
1984-09-01,100.4961
1984-10-01,100.4127
1984-11-01,100.3643
1984-12-01,100.3271
1985-01-01,100.2902
1985-02-01,100.16
1985-03-01,100.0255
1985-04-01,99.89342
1985-05-01,99.77405
1985-06-01,99.69048
1985-07-01,99.65163
1985-08-01,99.6618
1985-09-01,99.69081
1985-10-01,99.7289
1985-11-01,99.75097
1985-12-01,99.74856
1986-01-01,99.72147
1986-02-01,99.71096
1986-03-01,99.74073
1986-04-01,99.80531
1986-05-01,99.8528
1986-06-01,99.89486
1986-07-01,99.92875
1986-08-01,99.97003
1986-09-01,100.0429
1986-10-01,100.1903
1986-11-01,100.4355
1986-12-01,100.788
1987-01-01,101.2589
1987-02-01,101.6664
1987-03-01,102.0875
1987-04-01,102.4957
1987-05-01,102.8359
1987-06-01,103.04
1987-07-01,103.0661
1987-08-01,102.9354
1987-09-01,102.6929
1987-10-01,102.3674
1987-11-01,102.0233
1987-12-01,101.7125
1988-01-01,101.4708
1988-02-01,101.3129
1988-03-01,101.2413
1988-04-01,101.2455
1988-05-01,101.2796
1988-06-01,101.279
1988-07-01,101.225
1988-08-01,101.1183
1988-09-01,100.9607
1988-10-01,100.7883
1988-11-01,100.6553
1988-12-01,100.5695
1989-01-01,100.5399
1989-02-01,100.5473
1989-03-01,100.5637
1989-04-01,100.5967
1989-05-01,100.6053
1989-06-01,100.5549
1989-07-01,100.4556
1989-08-01,100.3076
1989-09-01,100.1086
1989-10-01,99.89877
1989-11-01,99.73014
1989-12-01,99.60402
1990-01-01,99.49644
1990-02-01,99.40491
1990-03-01,99.36684
1990-04-01,99.39709
1990-05-01,99.4421
1990-06-01,99.44431
1990-07-01,99.38166
1990-08-01,99.25745
1990-09-01,99.08901
1990-10-01,98.90629
1990-11-01,98.73015
1990-12-01,98.61254
1991-01-01,98.58389
1991-02-01,98.69085
1991-03-01,98.92269
1991-04-01,99.1939
1991-05-01,99.46809
1991-06-01,99.73937
1991-07-01,100.0066
1991-08-01,100.2471
1991-09-01,100.4077
1991-10-01,100.4644
1991-11-01,100.4417
1991-12-01,100.388
1992-01-01,100.3613
1992-02-01,100.3807
1992-03-01,100.4213
1992-04-01,100.421
1992-05-01,100.2885
1992-06-01,100.0108
1992-07-01,99.65601
1992-08-01,99.33802
1992-09-01,99.14441
1992-10-01,99.10635
1992-11-01,99.20014
1992-12-01,99.38275
1993-01-01,99.58885
1993-02-01,99.80791
1993-03-01,100.0262
1993-04-01,100.2344
1993-05-01,100.4221
1993-06-01,100.581
1993-07-01,100.737
1993-08-01,100.8887
1993-09-01,100.9968
1993-10-01,101.0489
1993-11-01,101.048
1993-12-01,101.0006
1994-01-01,100.9122
1994-02-01,100.7625
1994-03-01,100.5773
1994-04-01,100.4109
1994-05-01,100.2994
1994-06-01,100.2347
1994-07-01,100.1918
1994-08-01,100.1595
1994-09-01,100.1018
1994-10-01,100.0146
1994-11-01,99.91243
1994-12-01,99.80706
1995-01-01,99.73998
1995-02-01,99.71315
1995-03-01,99.71664
1995-04-01,99.75256
1995-05-01,99.81921
1995-06-01,99.89996
1995-07-01,99.96418
1995-08-01,100.0067
1995-09-01,100.0219
1995-10-01,100.0159
1995-11-01,99.99883
1995-12-01,99.98961
1996-01-01,99.99592
1996-02-01,100.023
1996-03-01,100.054
1996-04-01,100.0769
1996-05-01,100.0715
1996-06-01,100.0612
1996-07-01,100.0699
1996-08-01,100.1044
1996-09-01,100.157
1996-10-01,100.2185
1996-11-01,100.2732
1996-12-01,100.3365
1997-01-01,100.4246
1997-02-01,100.5383
1997-03-01,100.6618
1997-04-01,100.7887
1997-05-01,100.9021
1997-06-01,100.997
1997-07-01,101.0808
1997-08-01,101.1659
1997-09-01,101.2365
1997-10-01,101.2731
1997-11-01,101.2748
1997-12-01,101.2674
1998-01-01,101.2537
1998-02-01,101.2337
1998-03-01,101.1762
1998-04-01,101.0448
1998-05-01,100.8233
1998-06-01,100.5152
1998-07-01,100.1541
1998-08-01,99.80733
1998-09-01,99.54224
1998-10-01,99.38319
1998-11-01,99.35201
1998-12-01,99.41907
1999-01-01,99.57087
1999-02-01,99.83208
1999-03-01,100.1771
1999-04-01,100.5201
1999-05-01,100.7775
1999-06-01,100.9126
1999-07-01,100.9192
1999-08-01,100.8406
1999-09-01,100.7116
1999-10-01,100.5697
1999-11-01,100.4418
1999-12-01,100.3364
2000-01-01,100.2498
2000-02-01,100.1982
2000-03-01,100.2258
2000-04-01,100.2973
2000-05-01,100.3725
2000-06-01,100.4229
2000-07-01,100.4496
2000-08-01,100.4672
2000-09-01,100.4836
2000-10-01,100.5107
2000-11-01,100.5589
2000-12-01,100.6061
2001-01-01,100.6328
2001-02-01,100.6507
2001-03-01,100.6715
2001-04-01,100.6873
2001-05-01,100.6935
2001-06-01,100.6637
2001-07-01,100.5769
2001-08-01,100.4369
2001-09-01,100.2796
2001-10-01,100.1467
2001-11-01,100.0945
2001-12-01,100.1273
2002-01-01,100.2368
2002-02-01,100.3907
2002-03-01,100.5455
2002-04-01,100.6606
2002-05-01,100.6844
2002-06-01,100.625
2002-07-01,100.5189
2002-08-01,100.3742
2002-09-01,100.1911
2002-10-01,99.96265
2002-11-01,99.69027
2002-12-01,99.39223
2003-01-01,99.11777
2003-02-01,98.9377
2003-03-01,98.87641
2003-04-01,98.92426
2003-05-01,99.03535
2003-06-01,99.17913
2003-07-01,99.32567
2003-08-01,99.46825
2003-09-01,99.61237
2003-10-01,99.75776
2003-11-01,99.90682
2003-12-01,100.0536
2004-01-01,100.1688
2004-02-01,100.2349
2004-03-01,100.2517
2004-04-01,100.2243
2004-05-01,100.1737
2004-06-01,100.121
2004-07-01,100.088
2004-08-01,100.0964
2004-09-01,100.1472
2004-10-01,100.2277
2004-11-01,100.3057
2004-12-01,100.3588
2005-01-01,100.3794
2005-02-01,100.3616
2005-03-01,100.3117
2005-04-01,100.2379
2005-05-01,100.154
2005-06-01,100.0858
2005-07-01,100.045
2005-08-01,100.0314
2005-09-01,100.0596
2005-10-01,100.1279
2005-11-01,100.2449
2005-12-01,100.3944
2006-01-01,100.5458
2006-02-01,100.7154
2006-03-01,100.8836
2006-04-01,101.0447
2006-05-01,101.1918
2006-06-01,101.3325
2006-07-01,101.4836
2006-08-01,101.6619
2006-09-01,101.8741
2006-10-01,102.1028
2006-11-01,102.3312
2006-12-01,102.5527
2007-01-01,102.7575
2007-02-01,102.9523
2007-03-01,103.1195
2007-04-01,103.2407
2007-05-01,103.2977
2007-06-01,103.27
2007-07-01,103.1586
2007-08-01,102.991
2007-09-01,102.7838
2007-10-01,102.5287
2007-11-01,102.2079
2007-12-01,101.8333
2008-01-01,101.3999
2008-02-01,100.9058
2008-03-01,100.3485
2008-04-01,99.68871
2008-05-01,98.92164
2008-06-01,98.06866
2008-07-01,97.18468
2008-08-01,96.33591
2008-09-01,95.54453
2008-10-01,94.85738
2008-11-01,94.34201
2008-12-01,94.0407
2009-01-01,93.95255
2009-02-01,94.1176
2009-03-01,94.54777
2009-04-01,95.23148
2009-05-01,96.10958
2009-06-01,97.12564
2009-07-01,98.20784
2009-08-01,99.25409
2009-09-01,100.1725
2009-10-01,100.8942
2009-11-01,101.3784
2009-12-01,101.6527
2010-01-01,101.7631
2010-02-01,101.7619
2010-03-01,101.6841
2010-04-01,101.547
2010-05-01,101.368
2010-06-01,101.1864
2010-07-01,101.0274
2010-08-01,100.918
2010-09-01,100.8524
2010-10-01,100.8197
2010-11-01,100.8071
2010-12-01,100.8002
2011-01-01,100.7804
2011-02-01,100.7371
2011-03-01,100.6424
2011-04-01,100.4896
2011-05-01,100.2721
2011-06-01,99.97009
2011-07-01,99.60861
2011-08-01,99.22781
2011-09-01,98.86699
2011-10-01,98.56088
2011-11-01,98.33307
2011-12-01,98.19388
2012-01-01,98.13837
2012-02-01,98.13778
2012-03-01,98.16619
2012-04-01,98.21031
2012-05-01,98.28151
2012-06-01,98.40784
2012-07-01,98.59469
2012-08-01,98.81228
2012-09-01,99.03758
2012-10-01,99.24918
2012-11-01,99.43827
2012-12-01,99.61528
2013-01-01,99.81105
2013-02-01,100.0315
2013-03-01,100.2794
2013-04-01,100.5441
2013-05-01,100.8121
2013-06-01,101.0772
2013-07-01,101.3397
2013-08-01,101.5689
2013-09-01,101.7501
2013-10-01,101.8794
2013-11-01,101.9883
2013-12-01,102.0939
2014-01-01,102.1959
2014-02-01,102.2839
2014-03-01,102.351
2014-04-01,102.3716
2014-05-01,102.3327
2014-06-01,102.2351
2014-07-01,102.0969
2014-08-01,101.9404
2014-09-01,101.7765
2014-10-01,101.6259
2014-11-01,101.4974
2014-12-01,101.4046
2015-01-01,101.3545
2015-02-01,101.3442
2015-03-01,101.3468
2015-04-01,101.3346
2015-05-01,101.2921
2015-06-01,101.2178
2015-07-01,101.0975
2015-08-01,100.9426
2015-09-01,100.7669
2015-10-01,100.5899
2015-11-01,100.4198
2015-12-01,100.2612
2016-01-01,100.1068
2016-02-01,99.97953
2016-03-01,99.89874
2016-04-01,99.85467
2016-05-01,99.84904
2016-06-01,99.88872
