date,value
1996-01-01,100.9662
1996-02-01,100.6937
1996-03-01,100.2014
1996-04-01,99.73555
1996-05-01,99.69706
1996-06-01,99.72927
1996-07-01,99.60622
1996-08-01,99.47603
1996-09-01,99.70837
1996-10-01,100.4046
1996-11-01,100.8437
1996-12-01,100.9454
1997-01-01,101.1287
1997-02-01,101.1317
1997-03-01,100.7006
1997-04-01,100.2755
1997-05-01,100.6178
1997-06-01,101.1917
1997-07-01,101.6584
1997-08-01,102.0151
1997-09-01,102.3113
1997-10-01,102.4762
1997-11-01,102.4585
1997-12-01,102.4983
1998-01-01,102.5473
1998-02-01,102.459
1998-03-01,102.1688
1998-04-01,101.9209
1998-05-01,101.5472
1998-06-01,101.2213
1998-07-01,100.8666
1998-08-01,100.4832
1998-09-01,100.0656
1998-10-01,99.57316
1998-11-01,99.09473
1998-12-01,98.97381
1999-01-01,99.29936
1999-02-01,99.20005
1999-03-01,98.83817
1999-04-01,98.13101
1999-05-01,97.64101
1999-06-01,97.859
1999-07-01,98.45401
1999-08-01,99.11181
1999-09-01,99.72063
1999-10-01,100.1957
1999-11-01,100.4675
1999-12-01,100.6498
2000-01-01,100.9054
2000-02-01,101.0118
2000-03-01,100.8168
2000-04-01,100.9363
2000-05-01,101.066
2000-06-01,100.9872
2000-07-01,100.8277
2000-08-01,100.7728
2000-09-01,100.9268
2000-10-01,101.2524
2000-11-01,101.4632
2000-12-01,101.4099
2001-01-01,101.3285
2001-02-01,101.228
2001-03-01,100.9484
2001-04-01,100.3536
2001-05-01,99.61048
2001-06-01,99.07218
2001-07-01,98.73491
2001-08-01,98.56962
2001-09-01,98.37702
2001-10-01,98.09064
2001-11-01,97.90054
2001-12-01,98.1033
2002-01-01,98.48845
2002-02-01,98.68671
2002-03-01,98.68064
2002-04-01,98.813
2002-05-01,99.24168
2002-06-01,99.41688
2002-07-01,99.46674
2002-08-01,99.65472
2002-09-01,99.73254
2002-10-01,99.7169
2002-11-01,99.53593
2002-12-01,99.25162
2003-01-01,99.10293
2003-02-01,98.94043
2003-03-01,98.65054
