date,value
1959-01-01,98.46539
1959-02-01,98.84994
1959-03-01,99.19489
1959-04-01,99.51347
1959-05-01,99.80876
1959-06-01,100.0834
1959-07-01,100.3399
1959-08-01,100.579
1959-09-01,100.8
1959-10-01,101.0007
1959-11-01,101.1723
1959-12-01,101.3044
1960-01-01,101.3895
1960-02-01,101.4331
1960-03-01,101.4411
1960-04-01,101.4255
1960-05-01,101.4139
1960-06-01,101.4343
1960-07-01,101.5016
1960-08-01,101.6133
1960-09-01,101.7732
1960-10-01,101.9709
1960-11-01,102.1907
1960-12-01,102.4089
1961-01-01,102.6184
1961-02-01,102.8015
1961-03-01,102.9363
1961-04-01,103.0247
1961-05-01,103.042
1961-06-01,102.9717
1961-07-01,102.8069
1961-08-01,102.5459
1961-09-01,102.2049
1961-10-01,101.8277
1961-11-01,101.4491
1961-12-01,101.088
1962-01-01,100.7485
1962-02-01,100.4139
1962-03-01,100.0948
1962-04-01,99.79578
1962-05-01,99.52859
1962-06-01,99.29143
1962-07-01,99.09454
1962-08-01,98.94771
1962-09-01,98.8602
1962-10-01,98.83991
1962-11-01,98.89997
1962-12-01,99.02716
1963-01-01,99.20715
1963-02-01,99.44194
1963-03-01,99.71522
1963-04-01,99.98365
1963-05-01,100.2141
1963-06-01,100.3835
1963-07-01,100.4791
1963-08-01,100.5033
1963-09-01,100.484
1963-10-01,100.4419
1963-11-01,100.394
1963-12-01,100.3537
1964-01-01,100.3182
1964-02-01,100.2804
1964-03-01,100.2283
1964-04-01,100.1574
1964-05-01,100.0791
1964-06-01,99.9851
1964-07-01,99.87222
1964-08-01,99.74113
1964-09-01,99.59048
1964-10-01,99.4187
1964-11-01,99.24305
1964-12-01,99.08223
1965-01-01,98.92776
1965-02-01,98.76227
1965-03-01,98.58424
1965-04-01,98.41161
1965-05-01,98.2698
1965-06-01,98.1804
1965-07-01,98.15841
1965-08-01,98.21391
1965-09-01,98.33609
1965-10-01,98.51079
1965-11-01,98.71568
1965-12-01,98.936
1966-01-01,99.1753
1966-02-01,99.4331
1966-03-01,99.68729
1966-04-01,99.92378
1966-05-01,100.1324
1966-06-01,100.301
1966-07-01,100.4196
1966-08-01,100.4914
1966-09-01,100.5394
1966-10-01,100.5779
1966-11-01,100.6016
1966-12-01,100.6126
1967-01-01,100.6202
1967-02-01,100.6111
1967-03-01,100.5801
1967-04-01,100.5268
1967-05-01,100.4586
1967-06-01,100.3853
1967-07-01,100.322
1967-08-01,100.2672
1967-09-01,100.2246
1967-10-01,100.2086
1967-11-01,100.2153
1967-12-01,100.2376
1968-01-01,100.2697
1968-02-01,100.2783
1968-03-01,100.261
1968-04-01,100.2347
1968-05-01,100.1969
1968-06-01,100.1597
1968-07-01,100.1711
1968-08-01,100.2574
1968-09-01,100.384
1968-10-01,100.5074
1968-11-01,100.6023
1968-12-01,100.6614
1969-01-01,100.7105
1969-02-01,100.7635
1969-03-01,100.8271
1969-04-01,100.8997
1969-05-01,100.9691
1969-06-01,101.0193
1969-07-01,101.0471
1969-08-01,101.0771
1969-09-01,101.1206
1969-10-01,101.1815
1969-11-01,101.2753
1969-12-01,101.3935
1970-01-01,101.5061
1970-02-01,101.5603
1970-03-01,101.5087
1970-04-01,101.3459
1970-05-01,101.0859
1970-06-01,100.7734
1970-07-01,100.4202
1970-08-01,100.0437
1970-09-01,99.65685
1970-10-01,99.28554
1970-11-01,98.94117
1970-12-01,98.63049
1971-01-01,98.36964
1971-02-01,98.19099
1971-03-01,98.11355
1971-04-01,98.1085
1971-05-01,98.15951
1971-06-01,98.24495
1971-07-01,98.33901
1971-08-01,98.41312
1971-09-01,98.47878
1971-10-01,98.563
1971-11-01,98.69628
1971-12-01,98.90419
1972-01-01,99.20068
1972-02-01,99.57032
1972-03-01,100.0042
1972-04-01,100.4893
1972-05-01,101.0047
1972-06-01,101.5231
1972-07-01,102.0483
1972-08-01,102.6163
1972-09-01,103.2375
1972-10-01,103.9006
1972-11-01,104.5533
1972-12-01,105.1304
1973-01-01,105.5734
1973-02-01,105.8537
1973-03-01,105.9947
1973-04-01,105.9768
1973-05-01,105.8369
1973-06-01,105.6127
1973-07-01,105.3486
1973-08-01,105.0895
1973-09-01,104.7999
1973-10-01,104.4467
1973-11-01,103.984
1973-12-01,103.4031
1974-01-01,102.6977
1974-02-01,101.6383
1974-03-01,100.5331
1974-04-01,99.46516
1974-05-01,98.49249
1974-06-01,97.65701
1974-07-01,96.95226
1974-08-01,96.34729
1974-09-01,95.80921
1974-10-01,95.32736
1974-11-01,94.93568
1974-12-01,94.65897
1975-01-01,94.52864
1975-02-01,94.57722
1975-03-01,94.8003
1975-04-01,95.16382
1975-05-01,95.64903
1975-06-01,96.21324
1975-07-01,96.82553
1975-08-01,97.44778
1975-09-01,98.06367
1975-10-01,98.64704
1975-11-01,99.1832
1975-12-01,99.67389
1976-01-01,100.0996
1976-02-01,100.465
1976-03-01,100.7816
1976-04-01,101.067
1976-05-01,101.3084
1976-06-01,101.4786
1976-07-01,101.554
1976-08-01,101.5401
1976-09-01,101.4567
1976-10-01,101.3181
1976-11-01,101.1305
1976-12-01,100.8917
1977-01-01,100.5983
1977-02-01,100.2348
1977-03-01,99.82642
1977-04-01,99.41136
1977-05-01,99.03385
1977-06-01,98.72647
1977-07-01,98.55253
1977-08-01,98.53645
1977-09-01,98.62694
1977-10-01,98.77538
1977-11-01,98.95294
1977-12-01,99.1555
1978-01-01,99.37796
1978-02-01,99.60162
1978-03-01,99.82018
1978-04-01,100.0244
1978-05-01,100.2176
1978-06-01,100.4187
1978-07-01,100.644
1978-08-01,100.8811
1978-09-01,101.1387
1978-10-01,101.4037
1978-11-01,101.6611
1978-12-01,101.9212
1979-01-01,102.1776
1979-02-01,102.4377
1979-03-01,102.6742
1979-04-01,102.8446
1979-05-01,102.9276
1979-06-01,102.9331
1979-07-01,102.8459
1979-08-01,102.6598
1979-09-01,102.3993
1979-10-01,102.0783
1979-11-01,101.7052
1979-12-01,101.282
1980-01-01,100.8284
1980-02-01,100.3539
1980-03-01,99.87623
1980-04-01,99.40823
1980-05-01,98.97861
1980-06-01,98.62137
1980-07-01,98.34856
1980-08-01,98.17196
1980-09-01,98.11042
1980-10-01,98.15461
1980-11-01,98.27939
1980-12-01,98.47167
1981-01-01,98.70556
1981-02-01,98.95662
1981-03-01,99.19924
1981-04-01,99.42779
1981-05-01,99.62001
1981-06-01,99.76416
1981-07-01,99.86964
1981-08-01,99.96281
1981-09-01,100.0453
1981-10-01,100.1198
1981-11-01,100.169
1981-12-01,100.1696
1982-01-01,100.1131
1982-02-01,100.0047
1982-03-01,99.86532
1982-04-01,99.71893
1982-05-01,99.59376
1982-06-01,99.49434
1982-07-01,99.41657
1982-08-01,99.34841
1982-09-01,99.28108
1982-10-01,99.2131
1982-11-01,99.13725
1982-12-01,99.05512
1983-01-01,98.97945
1983-02-01,98.89891
1983-03-01,98.8605
1983-04-01,98.87761
1983-05-01,98.93974
1983-06-01,99.03665
1983-07-01,99.13357
1983-08-01,99.2379
1983-09-01,99.34455
1983-10-01,99.45036
1983-11-01,99.54324
1983-12-01,99.60907
1984-01-01,99.6429
1984-02-01,99.6442
1984-03-01,99.60589
1984-04-01,99.52864
1984-05-01,99.41339
1984-06-01,99.2629
1984-07-01,99.10691
1984-08-01,98.96184
1984-09-01,98.848
1984-10-01,98.80595
1984-11-01,98.86815
1984-12-01,99.04205
1985-01-01,99.28992
1985-02-01,99.55186
1985-03-01,99.75669
1985-04-01,99.84514
1985-05-01,99.79787
1985-06-01,99.63583
1985-07-01,99.40405
1985-08-01,99.14545
1985-09-01,98.89962
1985-10-01,98.67841
1985-11-01,98.48532
1985-12-01,98.34944
1986-01-01,98.28266
1986-02-01,98.27663
1986-03-01,98.31796
1986-04-01,98.40425
1986-05-01,98.50918
1986-06-01,98.61376
1986-07-01,98.70731
1986-08-01,98.77472
1986-09-01,98.81495
1986-10-01,98.83406
1986-11-01,98.86176
1986-12-01,98.93204
1987-01-01,99.04633
1987-02-01,99.21992
1987-03-01,99.48297
1987-04-01,99.84578
1987-05-01,100.28
1987-06-01,100.7307
1987-07-01,101.1384
1987-08-01,101.4615
1987-09-01,101.6813
1987-10-01,101.8064
1987-11-01,101.8663
1987-12-01,101.8742
1988-01-01,101.8675
1988-02-01,101.8582
1988-03-01,101.8349
1988-04-01,101.8148
1988-05-01,101.8049
1988-06-01,101.7784
1988-07-01,101.7069
1988-08-01,101.5999
1988-09-01,101.4747
1988-10-01,101.3784
1988-11-01,101.3506
1988-12-01,101.3873
1989-01-01,101.4689
1989-02-01,101.5671
1989-03-01,101.6375
1989-04-01,101.6228
1989-05-01,101.5424
1989-06-01,101.4367
1989-07-01,101.3415
1989-08-01,101.2875
1989-09-01,101.2792
1989-10-01,101.3199
1989-11-01,101.3981
1989-12-01,101.4989
1990-01-01,101.5945
1990-02-01,101.6663
1990-03-01,101.7083
1990-04-01,101.721
